Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,Makespan_Best,Energy_Best
1,Balanced,GA_Makespan_Dominance,200,0.038057,0.100555,0.658236,0.004697,6,0,2747,15.000000,0.532646169
1,Balanced,GA_Makespan_Dominance,201,0.203974,0.140108,0.570132,0.049061,5,0,1986,14.000000,0.537162202
1,Balanced,GA_Makespan_Dominance,202,0.153600,0.124083,0.599991,0.027224,6,0,1967,14.000000,0.537162202
1,Balanced,GA_Makespan_Dominance,203,0.042217,0.072011,0.663632,0.006159,4,0,1955,15.000000,0.529424906
1,Balanced,GA_Makespan_Dominance,204,0.163537,0.142937,0.594688,0.025581,6,0,1941,14.000000,0.537162202
1,Balanced,GA_Makespan_Dominance,205,0.106668,0.142679,0.603089,0.034206,6,0,1914,15.000000,0.529603037
1,Balanced,GA_Makespan_Dominance,206,0.073208,0.111596,0.639047,0.007901,6,0,1947,15.000000,0.533449738
1,Balanced,GA_Makespan_Dominance,207,0.058957,0.098045,0.659282,0.014142,4,0,1912,15.000000,0.533759128
1,Balanced,GA_Makespan_Dominance,208,0.058112,0.167686,0.606060,0.144596,6,0,1922,15.000000,0.529163838
1,Balanced,GA_Makespan_Dominance,209,0.154700,0.130556,0.574575,0.020684,6,0,1945,14.000000,0.523303021
1,Balanced,GA_Makespan_Dominance,MEAN,0.105303,0.123026,0.616873,0.033425,,0,2023,14.000000,0.523303021
1,Balanced,GA_Energy_Dominance,200,0.529667,0.126953,0.165291,0.094870,12,0,2047,14.000000,0.249485876
1,Balanced,GA_Energy_Dominance,201,0.517123,0.133100,0.181321,0.132974,9,0,2033,14.000000,0.246235626
1,Balanced,GA_Energy_Dominance,202,0.511734,0.168053,0.179802,0.070280,14,0,2021,14.000000,0.253730228
1,Balanced,GA_Energy_Dominance,203,0.420381,0.204374,0.246733,0.121796,13,0,1996,14.000000,0.250225879
1,Balanced,GA_Energy_Dominance,204,0.518351,0.120183,0.191510,0.131579,11,1,2029,14.000000,0.249564901
1,Balanced,GA_Energy_Dominance,205,0.555384,0.103819,0.139605,0.046332,17,1,2027,14.000000,0.257085162
1,Balanced,GA_Energy_Dominance,206,0.457427,0.173671,0.207472,0.067295,15,0,2018,14.000000,0.261694381
1,Balanced,GA_Energy_Dominance,207,0.507795,0.144065,0.172927,0.066134,13,0,2019,14.000000,0.250570660
1,Balanced,GA_Energy_Dominance,208,0.502466,0.173917,0.192428,0.074541,13,0,2044,14.000000,0.248700987
1,Balanced,GA_Energy_Dominance,209,0.512189,0.169337,0.191718,0.038271,15,0,2035,14.000000,0.252679628
1,Balanced,GA_Energy_Dominance,MEAN,0.503252,0.151747,0.186881,0.084407,,2,2026,14.000000,0.246235626
1,Balanced,SA_Makespan_Dominance,200,0.480171,0.116135,0.288886,0.054090,5,0,1253,17.000000,0.386760980
1,Balanced,SA_Makespan_Dominance,201,0.372484,0.102197,0.360521,0.006972,4,0,758,17.000000,0.411554858
1,Balanced,SA_Makespan_Dominance,202,0.516544,0.096738,0.225345,0.029816,6,0,804,17.000000,0.351901104
1,Balanced,SA_Makespan_Dominance,203,0.290309,0.042234,0.470376,0.000000,2,0,768,16.000000,0.429953976
1,Balanced,SA_Makespan_Dominance,204,0.526015,0.066043,0.212310,0.027333,6,1,771,18.000000,0.334092984
1,Balanced,SA_Makespan_Dominance,205,0.528429,0.041223,0.210296,0.028866,6,3,797,18.000000,0.333381303
1,Balanced,SA_Makespan_Dominance,206,0.549320,0.111864,0.214302,0.133616,5,0,786,18.000000,0.368272073
1,Balanced,SA_Makespan_Dominance,207,0.406476,0.014818,0.386539,0.000000,2,1,786,17.000000,0.389380735
1,Balanced,SA_Makespan_Dominance,208,0.329465,0.044154,0.415562,0.032585,3,1,783,16.000000,0.417350802
1,Balanced,SA_Makespan_Dominance,209,0.478260,0.000000,0.317975,0.016168,3,3,779,18.000000,0.361196415
1,Balanced,SA_Makespan_Dominance,MEAN,0.447747,0.063541,0.310211,0.032945,,9,828,16.000000,0.333381303
