Scenario,Algorithm,Uncapped,190kW,120kW
Balanced,AMOSA,0.418211,0.420984,0.197798
Balanced,GA_Energy_Dominance,0.633167,0.627481,0.414125
Balanced,GA_WaitingTime_Dominance,0.369074,0.215746,0.059962
Balanced,NSGA-II,0.595544,0.518123,0.39161
Balanced,SA_Energy_Dominance,0.684332,0.68255,0.556145
Balanced,SA_WaitingTime_Dominance,0.365125,0.167792,0.163299
Balanced,SPEA-II,0.599068,0.531632,0.429657
CPU_Stress,AMOSA,0.455736,0.457954,0.435896
CPU_Stress,GA_Energy_Dominance,0.699513,0.699513,0.678463
CPU_Stress,GA_WaitingTime_Dominance,0.301013,0.267766,0.031908
CPU_Stress,NSGA-II,0.590221,0.598057,0.498412
CPU_Stress,SA_Energy_Dominance,0.705603,0.705603,0.64591
CPU_Stress,SA_WaitingTime_Dominance,0.287345,0.153146,0.041734
CPU_Stress,SPEA-II,0.595487,0.592886,0.504717
GPU_Stress,AMOSA,0.401623,0.367997,0.123528
GPU_Stress,GA_Energy_Dominance,0.612396,0.597657,0.355693
GPU_Stress,GA_WaitingTime_Dominance,0.377224,0.027201,0.027201
GPU_Stress,NSGA-II,0.574162,0.497152,0.318083
GPU_Stress,SA_Energy_Dominance,0.666899,0.661994,0.579655
GPU_Stress,SA_WaitingTime_Dominance,0.392612,0.10161,0.10161
GPU_Stress,SPEA-II,0.568669,0.511988,0.329303
