Scenario,Algorithm,Uncapped,190kW,120kW
Balanced,AMOSA,16.0,11.0,0.0
Balanced,GA_Energy_Dominance,0.0,1.0,0.0
Balanced,GA_WaitingTime_Dominance,18.0,0.0,0.0
Balanced,NSGA-II,11.0,25.0,0.0
Balanced,SA_Energy_Dominance,7.0,7.0,7.0
Balanced,SA_WaitingTime_Dominance,2.0,1.0,1.0
Balanced,SPEA-II,32.0,19.0,11.0
CPU_Stress,AMOSA,10.0,9.0,19.0
CPU_Stress,GA_Energy_Dominance,7.0,7.0,26.0
CPU_Stress,GA_WaitingTime_Dominance,21.0,14.0,0.0
CPU_Stress,NSGA-II,12.0,14.0,0.0
CPU_Stress,SA_Energy_Dominance,26.0,23.0,12.0
CPU_Stress,SA_WaitingTime_Dominance,0.0,0.0,2.0
CPU_Stress,SPEA-II,38.0,36.0,0.0
GPU_Stress,AMOSA,1.0,15.0,0.0
GPU_Stress,GA_Energy_Dominance,0.0,0.0,0.0
GPU_Stress,GA_WaitingTime_Dominance,17.0,0.0,0.0
GPU_Stress,NSGA-II,19.0,0.0,0.0
GPU_Stress,SA_Energy_Dominance,8.0,8.0,8.0
GPU_Stress,SA_WaitingTime_Dominance,0.0,1.0,4.0
GPU_Stress,SPEA-II,56.0,44.0,0.0
