Scenario,Algorithm,Uncapped,190kW,120kW
Balanced,AMOSA,3960.0,8611.0,8439.0
Balanced,GA_Energy_Dominance,2052.0,6139.0,6056.0
Balanced,GA_WaitingTime_Dominance,2046.0,6591.0,6651.0
Balanced,NSGA-II,2201.0,6697.0,6425.0
Balanced,SA_Energy_Dominance,884.0,4402.0,4387.0
Balanced,SA_WaitingTime_Dominance,833.0,5211.0,5199.0
Balanced,SPEA-II,2791.0,7414.0,7009.0
CPU_Stress,AMOSA,4196.0,8494.0,8493.0
CPU_Stress,GA_Energy_Dominance,2117.0,6095.0,6103.0
CPU_Stress,GA_WaitingTime_Dominance,1950.0,6633.0,6636.0
CPU_Stress,NSGA-II,2139.0,6633.0,6546.0
CPU_Stress,SA_Energy_Dominance,841.0,4322.0,4306.0
CPU_Stress,SA_WaitingTime_Dominance,792.0,5166.0,5175.0
CPU_Stress,SPEA-II,2852.0,7297.0,7191.0
GPU_Stress,AMOSA,4031.0,8428.0,8329.0
GPU_Stress,GA_Energy_Dominance,2090.0,5873.0,5833.0
GPU_Stress,GA_WaitingTime_Dominance,2093.0,6785.0,6800.0
GPU_Stress,NSGA-II,2339.0,6552.0,6175.0
GPU_Stress,SA_Energy_Dominance,840.0,4193.0,4184.0
GPU_Stress,SA_WaitingTime_Dominance,822.0,5162.0,5153.0
GPU_Stress,SPEA-II,2957.0,7198.0,6692.0
