Scenario,ScenarioName,Algorithm,CapWatts,NumSeeds,MeanFeasibilityRate,StdFeasibilityRate,MinFeasibilityRate,MaxFeasibilityRate,TotalSolutionsAcrossSeeds,TotalFeasibleAcrossSeeds
1,Balanced,GA_WaitingTime_Dominance,220000.0,10,0.4553,0.1026,0.2593,0.5926,267,122
1,Balanced,GA_WaitingTime_Dominance,190000.0,10,0.0000,0.0000,0.0000,0.0000,267,0
1,Balanced,GA_WaitingTime_Dominance,120000.0,10,0.0000,0.0000,0.0000,0.0000,267,0
1,Balanced,GA_Energy_Dominance,220000.0,10,1.0000,0.0000,1.0000,1.0000,646,646
1,Balanced,GA_Energy_Dominance,190000.0,10,0.9443,0.0403,0.8657,0.9833,646,610
1,Balanced,GA_Energy_Dominance,120000.0,10,0.5144,0.0704,0.3881,0.6393,646,332
1,Balanced,SA_WaitingTime_Dominance,220000.0,10,0.7619,0.1470,0.5000,0.9630,192,150
1,Balanced,SA_WaitingTime_Dominance,190000.0,10,0.0000,0.0000,0.0000,0.0000,192,0
1,Balanced,SA_WaitingTime_Dominance,120000.0,10,0.0000,0.0000,0.0000,0.0000,192,0
1,Balanced,SA_Energy_Dominance,220000.0,10,1.0000,0.0000,1.0000,1.0000,255,255
1,Balanced,SA_Energy_Dominance,190000.0,10,0.7374,0.1526,0.4821,0.9333,255,178
1,Balanced,SA_Energy_Dominance,120000.0,10,0.3637,0.1744,0.1176,0.5714,255,69
1,Balanced,NSGA-II,220000.0,10,0.9639,0.0289,0.9149,1.0000,521,503
1,Balanced,NSGA-II,190000.0,10,0.4497,0.0960,0.2941,0.5902,521,236
1,Balanced,NSGA-II,120000.0,10,0.0000,0.0000,0.0000,0.0000,521,0
1,Balanced,SPEA-II,220000.0,10,0.9740,0.0254,0.9216,1.0000,546,531
1,Balanced,SPEA-II,190000.0,10,0.4407,0.0491,0.3636,0.5091,546,241
1,Balanced,SPEA-II,120000.0,10,0.0020,0.0062,0.0000,0.0196,546,1
1,Balanced,AMOSA,220000.0,10,0.9355,0.0846,0.7692,1.0000,208,194
1,Balanced,AMOSA,190000.0,10,0.0387,0.0459,0.0000,0.1176,208,8
1,Balanced,AMOSA,120000.0,10,0.0000,0.0000,0.0000,0.0000,208,0
1,Balanced,NSGA-II_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,450,450
1,Balanced,NSGA-II_PC_190kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,450,450
1,Balanced,NSGA-II_PC_190kW,120000.0,10,0.0104,0.0249,0.0000,0.0769,450,5
1,Balanced,NSGA-II_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,189,189
1,Balanced,NSGA-II_PC_120kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,189,189
1,Balanced,NSGA-II_PC_120kW,120000.0,10,1.0000,0.0000,1.0000,1.0000,189,189
1,Balanced,SPEA-II_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,394,394
1,Balanced,SPEA-II_PC_190kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,394,394
1,Balanced,SPEA-II_PC_190kW,120000.0,10,0.0118,0.0372,0.0000,0.1176,394,4
1,Balanced,SPEA-II_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,186,186
1,Balanced,SPEA-II_PC_120kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,186,186
1,Balanced,SPEA-II_PC_120kW,120000.0,10,1.0000,0.0000,1.0000,1.0000,186,186
1,Balanced,AMOSA_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,323,323
1,Balanced,AMOSA_PC_190kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,323,323
1,Balanced,AMOSA_PC_190kW,120000.0,10,0.0000,0.0000,0.0000,0.0000,323,0
1,Balanced,AMOSA_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,101,101
1,Balanced,AMOSA_PC_120kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,101,101
1,Balanced,AMOSA_PC_120kW,120000.0,10,1.0000,0.0000,1.0000,1.0000,101,101
1,Balanced,GA_WaitingTime_Dominance_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,20,20
1,Balanced,GA_WaitingTime_Dominance_PC_190kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,20,20
1,Balanced,GA_WaitingTime_Dominance_PC_190kW,120000.0,10,0.0000,0.0000,0.0000,0.0000,20,0
1,Balanced,GA_WaitingTime_Dominance_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,10,10
1,Balanced,GA_WaitingTime_Dominance_PC_120kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,10,10
1,Balanced,GA_WaitingTime_Dominance_PC_120kW,120000.0,10,0.0000,0.0000,0.0000,0.0000,10,0
1,Balanced,GA_Energy_Dominance_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,648,648
1,Balanced,GA_Energy_Dominance_PC_190kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,648,648
1,Balanced,GA_Energy_Dominance_PC_190kW,120000.0,10,0.5111,0.0660,0.4000,0.6094,648,332
1,Balanced,GA_Energy_Dominance_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,363,363
1,Balanced,GA_Energy_Dominance_PC_120kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,363,363
1,Balanced,GA_Energy_Dominance_PC_120kW,120000.0,10,1.0000,0.0000,1.0000,1.0000,363,363
1,Balanced,SA_WaitingTime_Dominance_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,20,20
1,Balanced,SA_WaitingTime_Dominance_PC_190kW,190000.0,10,0.1000,0.3162,0.0000,1.0000,20,2
1,Balanced,SA_WaitingTime_Dominance_PC_190kW,120000.0,10,0.0000,0.0000,0.0000,0.0000,20,0
1,Balanced,SA_WaitingTime_Dominance_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,19,19
1,Balanced,SA_WaitingTime_Dominance_PC_120kW,190000.0,10,0.1000,0.3162,0.0000,1.0000,19,1
1,Balanced,SA_WaitingTime_Dominance_PC_120kW,120000.0,10,0.0000,0.0000,0.0000,0.0000,19,0
1,Balanced,SA_Energy_Dominance_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,210,210
1,Balanced,SA_Energy_Dominance_PC_190kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,210,210
1,Balanced,SA_Energy_Dominance_PC_190kW,120000.0,10,0.4139,0.1818,0.1304,0.6364,210,69
1,Balanced,SA_Energy_Dominance_PC_120kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,69,69
1,Balanced,SA_Energy_Dominance_PC_120kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,69,69
1,Balanced,SA_Energy_Dominance_PC_120kW,120000.0,10,1.0000,0.0000,1.0000,1.0000,69,69
1,Balanced,WorkloadAware_Admission_PC_190kW,220000.0,10,1.0000,0.0000,1.0000,1.0000,10,10
1,Balanced,WorkloadAware_Admission_PC_190kW,190000.0,10,1.0000,0.0000,1.0000,1.0000,10,10
1,Balanced,WorkloadAware_Admission_PC_190kW,120000.0,10,1.0000,0.0000,1.0000,1.0000,10,10
