Scenario,ScenarioName,Algorithm,Seed,WaitingTime,Energy,PeakPowerWatts
1,Balanced,GA_WaitingTime_Dominance,200,4.842000,0.537162202,198454.299
1,Balanced,GA_WaitingTime_Dominance,200,4.848000,0.534693037,201395.034
1,Balanced,GA_WaitingTime_Dominance,200,4.954000,0.521809328,212682.559
1,Balanced,GA_WaitingTime_Dominance,200,4.810000,0.537885957,208699.187
1,Balanced,GA_WaitingTime_Dominance,200,5.104000,0.517524118,201912.151
1,Balanced,GA_WaitingTime_Dominance,200,4.854000,0.532343000,202439.161
1,Balanced,GA_WaitingTime_Dominance,200,4.774000,0.547712215,206642.273
1,Balanced,GA_WaitingTime_Dominance,200,4.700000,0.568521066,217163.273
1,Balanced,GA_WaitingTime_Dominance,200,4.708000,0.562595985,212200.105
1,Balanced,GA_WaitingTime_Dominance,200,4.636000,0.596193366,204212.105
1,Balanced,GA_WaitingTime_Dominance,200,4.668000,0.570014001,195151.049
1,Balanced,GA_WaitingTime_Dominance,200,4.580000,0.609091356,220942.355
1,Balanced,GA_WaitingTime_Dominance,200,4.608000,0.596202094,212947.656
1,Balanced,GA_WaitingTime_Dominance,200,4.434000,0.635367647,220311.733
1,Balanced,GA_WaitingTime_Dominance,200,4.466000,0.630025954,231897.978
1,Balanced,GA_WaitingTime_Dominance,200,4.442000,0.630227864,226829.529
1,Balanced,GA_WaitingTime_Dominance,200,4.476000,0.611921607,221460.023
1,Balanced,GA_WaitingTime_Dominance,200,4.296000,0.643388065,235095.605
1,Balanced,GA_WaitingTime_Dominance,200,4.272000,0.655262026,245181.523
1,Balanced,GA_WaitingTime_Dominance,200,4.290000,0.654511579,256796.569
1,Balanced,GA_WaitingTime_Dominance,200,4.232000,0.658593979,252052.661
1,Balanced,GA_WaitingTime_Dominance,200,4.310000,0.640226746,233296.712
1,Balanced,GA_WaitingTime_Dominance,200,4.200000,0.680936116,227957.937
1,Balanced,GA_WaitingTime_Dominance,200,4.202000,0.659443746,236247.391
1,Balanced,GA_WaitingTime_Dominance,200,4.242000,0.655940919,229484.253
1,Balanced,GA_WaitingTime_Dominance,201,4.842000,0.537162202,198454.299
1,Balanced,GA_WaitingTime_Dominance,201,4.776000,0.575624459,211254.845
1,Balanced,GA_WaitingTime_Dominance,201,4.716000,0.592707163,228885.034
1,Balanced,GA_WaitingTime_Dominance,201,4.720000,0.589754254,204440.406
1,Balanced,GA_WaitingTime_Dominance,201,4.792000,0.574501820,200566.876
1,Balanced,GA_WaitingTime_Dominance,201,4.732000,0.585719695,215750.105
1,Balanced,GA_WaitingTime_Dominance,201,4.734000,0.582342534,220102.988
1,Balanced,GA_WaitingTime_Dominance,201,4.578000,0.616479267,208735.212
1,Balanced,GA_WaitingTime_Dominance,201,4.616000,0.598730486,201252.243
1,Balanced,GA_WaitingTime_Dominance,201,4.560000,0.620717623,215928.671
1,Balanced,GA_WaitingTime_Dominance,201,4.522000,0.621905808,234262.631
1,Balanced,GA_WaitingTime_Dominance,201,4.370000,0.624019585,215159.886
1,Balanced,GA_WaitingTime_Dominance,201,4.312000,0.639143436,230591.018
1,Balanced,GA_WaitingTime_Dominance,201,4.290000,0.649251036,237289.768
1,Balanced,GA_WaitingTime_Dominance,201,4.340000,0.636986183,220235.054
1,Balanced,GA_WaitingTime_Dominance,201,4.330000,0.637813542,264499.386
1,Balanced,GA_WaitingTime_Dominance,201,4.310000,0.642138780,238834.646
1,Balanced,GA_WaitingTime_Dominance,201,4.244000,0.658741163,252594.671
1,Balanced,GA_WaitingTime_Dominance,201,4.304000,0.645543382,225198.523
1,Balanced,GA_WaitingTime_Dominance,201,4.252000,0.649370135,238569.054
1,Balanced,GA_WaitingTime_Dominance,201,4.232000,0.670464376,265386.585
1,Balanced,GA_WaitingTime_Dominance,201,4.218000,0.677176242,242773.508
