Scenario,ScenarioName,Algorithm,Seed,CapWatts,TotalSolutions,FeasibleSolutions,FeasibilityRate,PeakPowerMax
1,Balanced,GA_WaitingTime_Dominance,200,220000.0,25,12,0.4800,256796.569
1,Balanced,GA_WaitingTime_Dominance,200,190000.0,25,0,0.0000,256796.569
1,Balanced,GA_WaitingTime_Dominance,200,120000.0,25,0,0.0000,256796.569
1,Balanced,GA_WaitingTime_Dominance,201,220000.0,24,9,0.3750,265386.585
1,Balanced,GA_WaitingTime_Dominance,201,190000.0,24,0,0.0000,265386.585
1,Balanced,GA_WaitingTime_Dominance,201,120000.0,24,0,0.0000,265386.585
1,Balanced,GA_WaitingTime_Dominance,202,220000.0,25,11,0.4400,268526.023
1,Balanced,GA_WaitingTime_Dominance,202,190000.0,25,0,0.0000,268526.023
1,Balanced,GA_WaitingTime_Dominance,202,120000.0,25,0,0.0000,268526.023
1,Balanced,GA_WaitingTime_Dominance,203,220000.0,27,7,0.2593,270032.809
1,Balanced,GA_WaitingTime_Dominance,203,190000.0,27,0,0.0000,270032.809
1,Balanced,GA_WaitingTime_Dominance,203,120000.0,27,0,0.0000,270032.809
1,Balanced,GA_WaitingTime_Dominance,204,220000.0,25,10,0.4000,255058.105
1,Balanced,GA_WaitingTime_Dominance,204,190000.0,25,0,0.0000,255058.105
1,Balanced,GA_WaitingTime_Dominance,204,120000.0,25,0,0.0000,255058.105
1,Balanced,GA_WaitingTime_Dominance,205,220000.0,27,16,0.5926,255631.080
1,Balanced,GA_WaitingTime_Dominance,205,190000.0,27,0,0.0000,255631.080
1,Balanced,GA_WaitingTime_Dominance,205,120000.0,27,0,0.0000,255631.080
1,Balanced,GA_WaitingTime_Dominance,206,220000.0,24,13,0.5417,250020.901
1,Balanced,GA_WaitingTime_Dominance,206,190000.0,24,0,0.0000,250020.901
1,Balanced,GA_WaitingTime_Dominance,206,120000.0,24,0,0.0000,250020.901
1,Balanced,GA_WaitingTime_Dominance,207,220000.0,29,17,0.5862,264914.498
1,Balanced,GA_WaitingTime_Dominance,207,190000.0,29,0,0.0000,264914.498
1,Balanced,GA_WaitingTime_Dominance,207,120000.0,29,0,0.0000,264914.498
1,Balanced,GA_WaitingTime_Dominance,208,220000.0,34,16,0.4706,283889.758
1,Balanced,GA_WaitingTime_Dominance,208,190000.0,34,0,0.0000,283889.758
1,Balanced,GA_WaitingTime_Dominance,208,120000.0,34,0,0.0000,283889.758
1,Balanced,GA_WaitingTime_Dominance,209,220000.0,27,11,0.4074,286790.217
1,Balanced,GA_WaitingTime_Dominance,209,190000.0,27,0,0.0000,286790.217
1,Balanced,GA_WaitingTime_Dominance,209,120000.0,27,0,0.0000,286790.217
1,Balanced,GA_Energy_Dominance,200,220000.0,61,61,1.0000,198702.574
1,Balanced,GA_Energy_Dominance,200,190000.0,61,59,0.9672,198702.574
1,Balanced,GA_Energy_Dominance,200,120000.0,61,39,0.6393,198702.574
1,Balanced,GA_Energy_Dominance,201,220000.0,72,72,1.0000,204066.830
1,Balanced,GA_Energy_Dominance,201,190000.0,72,69,0.9583,204066.830
1,Balanced,GA_Energy_Dominance,201,120000.0,72,41,0.5694,204066.830
1,Balanced,GA_Energy_Dominance,202,220000.0,63,63,1.0000,190715.962
1,Balanced,GA_Energy_Dominance,202,190000.0,63,61,0.9683,190715.962
1,Balanced,GA_Energy_Dominance,202,120000.0,63,27,0.4286,190715.962
1,Balanced,GA_Energy_Dominance,203,220000.0,53,53,1.0000,190715.962
1,Balanced,GA_Energy_Dominance,203,190000.0,53,52,0.9811,190715.962
1,Balanced,GA_Energy_Dominance,203,120000.0,53,28,0.5283,190715.962
1,Balanced,GA_Energy_Dominance,204,220000.0,72,72,1.0000,206172.942
1,Balanced,GA_Energy_Dominance,204,190000.0,72,66,0.9167,206172.942
1,Balanced,GA_Energy_Dominance,204,120000.0,72,38,0.5278,206172.942
1,Balanced,GA_Energy_Dominance,205,220000.0,58,58,1.0000,194839.238
1,Balanced,GA_Energy_Dominance,205,190000.0,58,55,0.9483,194839.238
1,Balanced,GA_Energy_Dominance,205,120000.0,58,28,0.4828,194839.238
1,Balanced,GA_Energy_Dominance,206,220000.0,60,60,1.0000,190715.962
1,Balanced,GA_Energy_Dominance,206,190000.0,60,59,0.9833,190715.962
1,Balanced,GA_Energy_Dominance,206,120000.0,60,33,0.5500,190715.962
1,Balanced,GA_Energy_Dominance,207,220000.0,67,67,1.0000,209409.728
1,Balanced,GA_Energy_Dominance,207,190000.0,67,58,0.8657,209409.728
1,Balanced,GA_Energy_Dominance,207,120000.0,67,26,0.3881,209409.728
1,Balanced,GA_Energy_Dominance,208,220000.0,86,86,1.0000,197623.034
1,Balanced,GA_Energy_Dominance,208,190000.0,86,83,0.9651,197623.034
1,Balanced,GA_Energy_Dominance,208,120000.0,86,44,0.5116,197623.034
1,Balanced,GA_Energy_Dominance,209,220000.0,54,54,1.0000,205034.804
1,Balanced,GA_Energy_Dominance,209,190000.0,54,48,0.8889,205034.804
1,Balanced,GA_Energy_Dominance,209,120000.0,54,28,0.5185,205034.804
1,Balanced,SA_WaitingTime_Dominance,200,220000.0,23,22,0.9565,241666.544
1,Balanced,SA_WaitingTime_Dominance,200,190000.0,23,0,0.0000,241666.544
1,Balanced,SA_WaitingTime_Dominance,200,120000.0,23,0,0.0000,241666.544
1,Balanced,SA_WaitingTime_Dominance,201,220000.0,20,13,0.6500,262395.722
1,Balanced,SA_WaitingTime_Dominance,201,190000.0,20,0,0.0000,262395.722
1,Balanced,SA_WaitingTime_Dominance,201,120000.0,20,0,0.0000,262395.722
1,Balanced,SA_WaitingTime_Dominance,202,220000.0,27,26,0.9630,238332.421
1,Balanced,SA_WaitingTime_Dominance,202,190000.0,27,0,0.0000,238332.421
1,Balanced,SA_WaitingTime_Dominance,202,120000.0,27,0,0.0000,238332.421
1,Balanced,SA_WaitingTime_Dominance,203,220000.0,21,16,0.7619,243563.401
1,Balanced,SA_WaitingTime_Dominance,203,190000.0,21,0,0.0000,243563.401
1,Balanced,SA_WaitingTime_Dominance,203,120000.0,21,0,0.0000,243563.401
1,Balanced,SA_WaitingTime_Dominance,204,220000.0,18,15,0.8333,288138.192
1,Balanced,SA_WaitingTime_Dominance,204,190000.0,18,0,0.0000,288138.192
1,Balanced,SA_WaitingTime_Dominance,204,120000.0,18,0,0.0000,288138.192
1,Balanced,SA_WaitingTime_Dominance,205,220000.0,11,9,0.8182,259298.008
1,Balanced,SA_WaitingTime_Dominance,205,190000.0,11,0,0.0000,259298.008
1,Balanced,SA_WaitingTime_Dominance,205,120000.0,11,0,0.0000,259298.008
1,Balanced,SA_WaitingTime_Dominance,206,220000.0,12,6,0.5000,262921.569
1,Balanced,SA_WaitingTime_Dominance,206,190000.0,12,0,0.0000,262921.569
1,Balanced,SA_WaitingTime_Dominance,206,120000.0,12,0,0.0000,262921.569
1,Balanced,SA_WaitingTime_Dominance,207,220000.0,12,9,0.7500,269905.335
1,Balanced,SA_WaitingTime_Dominance,207,190000.0,12,0,0.0000,269905.335
1,Balanced,SA_WaitingTime_Dominance,207,120000.0,12,0,0.0000,269905.335
1,Balanced,SA_WaitingTime_Dominance,208,220000.0,20,12,0.6000,250306.406
1,Balanced,SA_WaitingTime_Dominance,208,190000.0,20,0,0.0000,250306.406
1,Balanced,SA_WaitingTime_Dominance,208,120000.0,20,0,0.0000,250306.406
1,Balanced,SA_WaitingTime_Dominance,209,220000.0,28,22,0.7857,267094.432
1,Balanced,SA_WaitingTime_Dominance,209,190000.0,28,0,0.0000,267094.432
1,Balanced,SA_WaitingTime_Dominance,209,120000.0,28,0,0.0000,267094.432
1,Balanced,SA_Energy_Dominance,200,220000.0,51,51,1.0000,200124.493
1,Balanced,SA_Energy_Dominance,200,190000.0,51,41,0.8039,200124.493
1,Balanced,SA_Energy_Dominance,200,120000.0,51,6,0.1176,200124.493
1,Balanced,SA_Energy_Dominance,201,220000.0,12,12,1.0000,197001.044
1,Balanced,SA_Energy_Dominance,201,190000.0,12,9,0.7500,197001.044
1,Balanced,SA_Energy_Dominance,201,120000.0,12,5,0.4167,197001.044
1,Balanced,SA_Energy_Dominance,202,220000.0,15,15,1.0000,190715.962
1,Balanced,SA_Energy_Dominance,202,190000.0,15,14,0.9333,190715.962
1,Balanced,SA_Energy_Dominance,202,120000.0,15,7,0.4667,190715.962
1,Balanced,SA_Energy_Dominance,203,220000.0,15,15,1.0000,205549.942
1,Balanced,SA_Energy_Dominance,203,190000.0,15,11,0.7333,205549.942
1,Balanced,SA_Energy_Dominance,203,120000.0,15,7,0.4667,205549.942
1,Balanced,SA_Energy_Dominance,204,220000.0,28,28,1.0000,190715.962
1,Balanced,SA_Energy_Dominance,204,190000.0,28,26,0.9286,190715.962
1,Balanced,SA_Energy_Dominance,204,120000.0,28,7,0.2500,190715.962
1,Balanced,SA_Energy_Dominance,205,220000.0,15,15,1.0000,190715.962
1,Balanced,SA_Energy_Dominance,205,190000.0,15,12,0.8000,190715.962
1,Balanced,SA_Energy_Dominance,205,120000.0,15,8,0.5333,190715.962
1,Balanced,SA_Energy_Dominance,206,220000.0,14,14,1.0000,190715.962
1,Balanced,SA_Energy_Dominance,206,190000.0,14,11,0.7857,190715.962
1,Balanced,SA_Energy_Dominance,206,120000.0,14,7,0.5000,190715.962
1,Balanced,SA_Energy_Dominance,207,220000.0,56,56,1.0000,210271.600
1,Balanced,SA_Energy_Dominance,207,190000.0,56,27,0.4821,210271.600
1,Balanced,SA_Energy_Dominance,207,120000.0,56,8,0.1429,210271.600
1,Balanced,SA_Energy_Dominance,208,220000.0,35,35,1.0000,216359.391
1,Balanced,SA_Energy_Dominance,208,190000.0,35,18,0.5143,216359.391
1,Balanced,SA_Energy_Dominance,208,120000.0,35,6,0.1714,216359.391
1,Balanced,SA_Energy_Dominance,209,220000.0,14,14,1.0000,192992.018
1,Balanced,SA_Energy_Dominance,209,190000.0,14,9,0.6429,192992.018
1,Balanced,SA_Energy_Dominance,209,120000.0,14,8,0.5714,192992.018
1,Balanced,NSGA-II,200,220000.0,56,53,0.9464,239435.860
1,Balanced,NSGA-II,200,190000.0,56,22,0.3929,239435.860
1,Balanced,NSGA-II,200,120000.0,56,0,0.0000,239435.860
1,Balanced,NSGA-II,201,220000.0,43,41,0.9535,234605.768
1,Balanced,NSGA-II,201,190000.0,43,21,0.4884,234605.768
1,Balanced,NSGA-II,201,120000.0,43,0,0.0000,234605.768
1,Balanced,NSGA-II,202,220000.0,42,41,0.9762,229379.692
1,Balanced,NSGA-II,202,190000.0,42,16,0.3810,229379.692
1,Balanced,NSGA-II,202,120000.0,42,0,0.0000,229379.692
1,Balanced,NSGA-II,203,220000.0,59,59,1.0000,219427.013
1,Balanced,NSGA-II,203,190000.0,59,24,0.4068,219427.013
1,Balanced,NSGA-II,203,120000.0,59,0,0.0000,219427.013
1,Balanced,NSGA-II,204,220000.0,41,39,0.9512,226982.605
1,Balanced,NSGA-II,204,190000.0,41,23,0.5610,226982.605
1,Balanced,NSGA-II,204,120000.0,41,0,0.0000,226982.605
1,Balanced,NSGA-II,205,220000.0,65,65,1.0000,219406.238
1,Balanced,NSGA-II,205,190000.0,65,36,0.5538,219406.238
1,Balanced,NSGA-II,205,120000.0,65,0,0.0000,219406.238
1,Balanced,NSGA-II,206,220000.0,56,53,0.9464,230519.513
1,Balanced,NSGA-II,206,190000.0,56,25,0.4464,230519.513
1,Balanced,NSGA-II,206,120000.0,56,0,0.0000,230519.513
1,Balanced,NSGA-II,207,220000.0,61,58,0.9508,236794.661
1,Balanced,NSGA-II,207,190000.0,61,36,0.5902,236794.661
1,Balanced,NSGA-II,207,120000.0,61,0,0.0000,236794.661
1,Balanced,NSGA-II,208,220000.0,47,43,0.9149,241457.008
1,Balanced,NSGA-II,208,190000.0,47,18,0.3830,241457.008
1,Balanced,NSGA-II,208,120000.0,47,0,0.0000,241457.008
1,Balanced,NSGA-II,209,220000.0,51,51,1.0000,216806.080
1,Balanced,NSGA-II,209,190000.0,51,15,0.2941,216806.080
1,Balanced,NSGA-II,209,120000.0,51,0,0.0000,216806.080
1,Balanced,SPEA-II,200,220000.0,51,50,0.9804,231756.279
1,Balanced,SPEA-II,200,190000.0,51,21,0.4118,231756.279
1,Balanced,SPEA-II,200,120000.0,51,1,0.0196,231756.279
1,Balanced,SPEA-II,201,220000.0,40,40,1.0000,216683.452
1,Balanced,SPEA-II,201,190000.0,40,16,0.4000,216683.452
1,Balanced,SPEA-II,201,120000.0,40,0,0.0000,216683.452
1,Balanced,SPEA-II,202,220000.0,53,51,0.9623,223140.626
1,Balanced,SPEA-II,202,190000.0,53,23,0.4340,223140.626
1,Balanced,SPEA-II,202,120000.0,53,0,0.0000,223140.626
1,Balanced,SPEA-II,203,220000.0,53,53,1.0000,215027.988
1,Balanced,SPEA-II,203,190000.0,53,26,0.4906,215027.988
