Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
GA_WaitingTime_Dominance,200,0.362572,0.017419,0.159972,0.029655,20,20,0,2536
GA_WaitingTime_Dominance,201,0.387950,0.029425,0.162382,0.031831,22,22,0,2061
GA_WaitingTime_Dominance,202,0.372387,0.020487,0.159188,0.028218,21,21,2,2042
GA_WaitingTime_Dominance,203,0.372767,0.021630,0.157197,0.013030,31,31,1,2029
GA_WaitingTime_Dominance,204,0.367634,0.019967,0.158617,0.018052,30,30,1,2077
GA_WaitingTime_Dominance,205,0.392176,0.024586,0.154227,0.006857,35,35,0,2053
GA_WaitingTime_Dominance,206,0.391383,0.027277,0.150971,0.010957,26,26,0,2043
GA_WaitingTime_Dominance,207,0.346035,0.013892,0.159387,0.017158,28,28,13,2034
GA_WaitingTime_Dominance,208,0.402021,0.025496,0.151986,0.008361,33,33,0,2024
GA_WaitingTime_Dominance,209,0.377316,0.042547,0.167889,0.034149,25,25,0,2035
GA_WaitingTime_Dominance,MEAN,0.377224,0.024273,0.158182,0.019827,27,27,17,2093
GA_WaitingTime_Dominance,STDDEV,0.015737,0.007521,0.004740,0.009752,,,,
GA_Energy_Dominance,200,0.618237,0.144981,0.139301,0.009729,71,71,0,2122
GA_Energy_Dominance,201,0.615932,0.149464,0.123896,0.017395,62,62,0,2123
GA_Energy_Dominance,202,0.610922,0.149931,0.126334,0.018347,62,62,0,2115
GA_Energy_Dominance,203,0.607346,0.186694,0.165303,0.009934,60,60,0,2089
GA_Energy_Dominance,204,0.589907,0.187414,0.157509,0.016410,53,53,0,2106
GA_Energy_Dominance,205,0.628812,0.160980,0.136226,0.010201,63,63,0,2066
GA_Energy_Dominance,206,0.606549,0.168298,0.146854,0.009880,75,75,0,2068
GA_Energy_Dominance,207,0.608024,0.152778,0.142685,0.014725,59,59,0,2104
GA_Energy_Dominance,208,0.625085,0.156028,0.132610,0.010399,50,50,0,2051
GA_Energy_Dominance,209,0.613150,0.150135,0.141662,0.013564,49,49,0,2057
GA_Energy_Dominance,MEAN,0.612396,0.160670,0.141238,0.013058,60,60,0,2090
GA_Energy_Dominance,STDDEV,0.010317,0.014604,0.012263,0.003275,,,,
SA_WaitingTime_Dominance,200,0.386863,0.056220,0.175405,0.016197,19,20,0,808
SA_WaitingTime_Dominance,201,0.381614,0.027170,0.162987,0.039475,34,36,0,815
SA_WaitingTime_Dominance,202,0.397142,0.041310,0.164918,0.008638,44,44,0,808
SA_WaitingTime_Dominance,203,0.386408,0.031927,0.159250,0.024583,40,44,0,821
SA_WaitingTime_Dominance,204,0.408538,0.036354,0.152058,0.007969,58,59,0,887
SA_WaitingTime_Dominance,205,0.408600,0.053708,0.169436,0.009406,31,33,0,840
SA_WaitingTime_Dominance,206,0.382787,0.044034,0.162295,0.016238,44,48,0,834
