Algorithm,Makespan,Energy
GA_Makespan_Dominance,10.745000,0.042714853
GA_Makespan_Dominance,10.925000,0.042573720
GA_Makespan_Dominance,11.220000,0.042329937
GA_Makespan_Dominance,11.745000,0.042138094
GA_Makespan_Dominance,12.405000,0.041675852
GA_Makespan_Dominance,13.000000,0.041661026
GA_Energy_Dominance,17.000000,0.043361423
GA_Energy_Dominance,48.740000,0.043340187
GA_Energy_Dominance,52.840000,0.042518166
GA_Energy_Dominance,64.740000,0.042045144
GA_Energy_Dominance,73.220000,0.041999147
GA_Energy_Dominance,75.740000,0.041917825
GA_Energy_Dominance,77.320000,0.041530517
GA_Energy_Dominance,79.320000,0.041512953
GA_Energy_Dominance,79.740000,0.041120249
GA_Energy_Dominance,80.320000,0.040430110
GA_Energy_Dominance,87.180000,0.040246404
GA_Energy_Dominance,91.300000,0.040113334
GA_Energy_Dominance,94.320000,0.040013538
GA_Energy_Dominance,95.840000,0.039786015
GA_Energy_Dominance,99.700000,0.039781410
GA_Energy_Dominance,100.740000,0.039227824
GA_Energy_Dominance,103.300000,0.038820672
GA_Energy_Dominance,103.320000,0.038749116
GA_Energy_Dominance,103.740000,0.038441520
GA_Energy_Dominance,105.840000,0.038435145
GA_Energy_Dominance,110.740000,0.037914237
GA_Energy_Dominance,112.840000,0.037910943
GA_Energy_Dominance,113.740000,0.037758558
GA_Energy_Dominance,114.180000,0.037438113
GA_Energy_Dominance,117.500000,0.037344102
GA_Energy_Dominance,118.220000,0.037053391
GA_Energy_Dominance,121.300000,0.036697469
GA_Energy_Dominance,121.680000,0.036598011
GA_Energy_Dominance,123.320000,0.036512826
GA_Energy_Dominance,123.740000,0.036388942
GA_Energy_Dominance,124.000000,0.035717776
GA_Energy_Dominance,124.740000,0.035344180
GA_Energy_Dominance,126.320000,0.035324584
GA_Energy_Dominance,129.320000,0.035177631
GA_Energy_Dominance,132.300000,0.035173816
GA_Energy_Dominance,132.320000,0.034847898
GA_Energy_Dominance,135.320000,0.034456327
GA_Energy_Dominance,135.740000,0.034260771
GA_Energy_Dominance,136.620000,0.034077979
GA_Energy_Dominance,137.740000,0.033515718
GA_Energy_Dominance,137.980000,0.033275513
GA_Energy_Dominance,140.740000,0.033181995
GA_Energy_Dominance,142.740000,0.032997545
GA_Energy_Dominance,143.840000,0.032822011
GA_Energy_Dominance,143.980000,0.032553794
GA_Energy_Dominance,145.320000,0.032379065
GA_Energy_Dominance,146.700000,0.032363099
GA_Energy_Dominance,146.980000,0.032225158
GA_Energy_Dominance,148.740000,0.031910968
GA_Energy_Dominance,149.740000,0.031662535
GA_Energy_Dominance,153.980000,0.031500616
GA_Energy_Dominance,155.980000,0.031379803
GA_Energy_Dominance,159.740000,0.031194482
GA_Energy_Dominance,160.740000,0.031009498
GA_Energy_Dominance,176.740000,0.030882723
GA_Energy_Dominance,179.000000,0.030643987
GA_Energy_Dominance,184.680000,0.030213082
GA_Energy_Dominance,205.840000,0.030180059
SA_Makespan_Dominance,12.460000,0.044554231
SA_Makespan_Dominance,12.680000,0.040873337
SA_Makespan_Dominance,15.300000,0.039691180
SA_Makespan_Dominance,16.840000,0.039675323
SA_Makespan_Dominance,17.300000,0.039512774
SA_Makespan_Dominance,17.460000,0.039279657
