Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed
GA_Makespan_Dominance,200,0.044716,0.001067,0.612723,0.000000,1,1,0,3785,0.252988
GA_Makespan_Dominance,201,0.023763,0.006887,0.630191,0.000000,1,1,0,3682,0.237150
GA_Makespan_Dominance,202,0.045777,0.000000,0.611910,0.000000,1,1,1,3771,0.253818
GA_Makespan_Dominance,203,0.036961,0.006344,0.618096,0.000000,2,2,0,3877,0.246930
GA_Makespan_Dominance,204,0.067223,0.015055,0.594313,0.000000,1,1,0,3905,0.269741
GA_Makespan_Dominance,205,0.036923,0.006948,0.618703,0.000000,1,1,0,3598,0.246900
GA_Makespan_Dominance,206,0.000000,0.000000,0.650675,0.000000,1,1,1,3573,0.219073
GA_Makespan_Dominance,207,0.083353,0.001636,0.581643,0.000000,2,2,1,3823,0.282522
GA_Makespan_Dominance,208,0.030633,0.000000,0.624689,0.000000,1,1,1,3947,0.242516
GA_Makespan_Dominance,209,0.011249,0.000000,0.640870,0.000000,1,1,1,3855,0.227675
GA_Makespan_Dominance,MEAN,0.038060,0.003794,0.618381,0.000000,1,1,5,3781,0.247931
GA_Makespan_Dominance,STDDEV,0.023314,0.004717,0.019316,0.000000,,,,,0.017673
GA_Energy_Dominance,200,0.401025,0.173962,0.193884,0.047943,43,43,2,4751,0.541572
GA_Energy_Dominance,201,0.329497,0.199273,0.226785,0.052086,35,35,0,6298,0.487079
GA_Energy_Dominance,202,0.394891,0.142650,0.189308,0.053640,41,41,2,5518,0.534881
GA_Energy_Dominance,203,0.365980,0.181509,0.218030,0.037802,42,42,0,5422,0.519414
GA_Energy_Dominance,204,0.338617,0.193504,0.226592,0.038340,37,37,1,5565,0.499344
GA_Energy_Dominance,205,0.247393,0.238742,0.273130,0.041093,48,48,1,5701,0.432928
GA_Energy_Dominance,206,0.374453,0.190980,0.204512,0.025696,52,52,2,6779,0.524750
GA_Energy_Dominance,207,0.364071,0.188699,0.205860,0.035752,46,46,0,5267,0.510981
GA_Energy_Dominance,208,0.342124,0.219489,0.220296,0.038895,42,42,0,4926,0.497259
GA_Energy_Dominance,209,0.425780,0.135907,0.180034,0.037908,46,46,17,4987,0.556414
GA_Energy_Dominance,MEAN,0.358383,0.186471,0.213843,0.040915,43,43,25,5521,0.510462
GA_Energy_Dominance,STDDEV,0.046744,0.029528,0.024896,0.007898,,,,,0.032889
SA_Makespan_Dominance,200,0.433295,0.042755,0.383014,0.314565,3,3,2,2276,0.494940
SA_Makespan_Dominance,201,0.360972,0.026121,0.420359,0.170631,5,5,4,2257,0.426183
SA_Makespan_Dominance,202,0.406718,0.064133,0.394422,0.000000,2,2,1,2319,0.470084
SA_Makespan_Dominance,203,0.346581,0.048105,0.426759,0.221044,3,3,0,2224,0.415058
SA_Makespan_Dominance,204,0.341836,0.088474,0.432645,0.204568,3,3,1,2221,0.406696
SA_Makespan_Dominance,205,0.395381,0.027301,0.397391,0.006514,10,10,8,2319,0.450237
SA_Makespan_Dominance,206,0.415713,0.088849,0.390757,0.280803,3,3,1,2366,0.475289
SA_Makespan_Dominance,207,0.364408,0.090432,0.420461,0.214483,3,3,0,2388,0.424413
SA_Makespan_Dominance,208,0.145455,0.000000,0.540153,0.000000,1,1,1,2114,0.330791
SA_Makespan_Dominance,209,0.334072,0.044258,0.440193,0.194369,3,3,2,2303,0.400191
SA_Makespan_Dominance,MEAN,0.354443,0.052043,0.424615,0.160698,4,4,20,2278,0.429388
SA_Makespan_Dominance,STDDEV,0.076703,0.029081,0.042692,0.111001,,,,,0.044524
SA_Energy_Dominance,200,0.366744,0.132070,0.314723,0.147088,6,6,0,2337,0.488149
SA_Energy_Dominance,201,0.441501,0.056368,0.315302,0.152217,7,7,4,2403,0.543960
SA_Energy_Dominance,202,0.425861,0.116169,0.303387,0.074240,9,9,0,2307,0.535120
SA_Energy_Dominance,203,0.397281,0.103862,0.289290,0.119130,15,15,1,2444,0.517103
SA_Energy_Dominance,204,0.434611,0.042828,0.313403,0.169617,8,8,0,2793,0.538804
SA_Energy_Dominance,205,0.400181,0.084314,0.325971,0.085116,7,7,0,2411,0.511219
SA_Energy_Dominance,206,0.418303,0.053627,0.318537,0.123182,9,9,0,2438,0.524802
SA_Energy_Dominance,207,0.429322,0.105018,0.296954,0.101205,13,13,1,2415,0.539916
SA_Energy_Dominance,208,0.435050,0.046327,0.312416,0.177496,8,8,0,2370,0.539068
SA_Energy_Dominance,209,0.436226,0.124744,0.302245,0.055622,11,11,2,2291,0.542156
SA_Energy_Dominance,MEAN,0.418508,0.086533,0.309223,0.120491,9,9,8,2420,0.528030
SA_Energy_Dominance,STDDEV,0.022389,0.032524,0.010453,0.039187,,,,,0.016987
NSGA-II,200,0.474204,0.085467,0.219568,0.006576,49,49,0,7965,0.542201
NSGA-II,201,0.475488,0.070887,0.232153,0.013017,51,51,0,7872,0.537452
NSGA-II,202,0.469171,0.084975,0.233479,0.017192,40,40,0,7902,0.529251
NSGA-II,203,0.488991,0.085040,0.202751,0.017633,50,50,0,8834,0.549440
NSGA-II,204,0.475784,0.097414,0.207045,0.009027,36,36,0,8626,0.543364
NSGA-II,205,0.468782,0.069856,0.243934,0.014633,43,43,0,8499,0.531048
NSGA-II,206,0.466400,0.078080,0.243391,0.014765,45,45,0,8563,0.529688
NSGA-II,207,0.486589,0.079505,0.200787,0.021447,41,41,0,8200,0.544889
NSGA-II,208,0.468378,0.092226,0.233204,0.015132,48,48,0,7835,0.532106
NSGA-II,209,0.457302,0.070008,0.256770,0.009659,38,38,0,8023,0.522075
NSGA-II,MEAN,0.473109,0.081346,0.227308,0.013908,44,44,0,8231,0.536152
NSGA-II,STDDEV,0.008941,0.008969,0.018101,0.004251,,,,,0.008205
SPEA-II,200,0.424585,0.053030,0.308643,0.025603,30,30,1,8758,0.502916
