Algorithm,Seed,SeedUniversalFrontSize,SeedUniversalHV_fixed,ContributionCount,ContributionPct
GA_Makespan_Dominance,200,35,0.690965,1,2.857143
GA_Makespan_Dominance,201,32,0.673622,1,3.125000
GA_Makespan_Dominance,202,34,0.700233,1,2.941176
GA_Makespan_Dominance,203,51,0.670537,2,3.921569
GA_Makespan_Dominance,204,35,0.668906,1,2.857143
GA_Makespan_Dominance,205,47,0.622993,1,2.127660
GA_Makespan_Dominance,206,38,0.672459,1,2.631579
GA_Makespan_Dominance,207,39,0.686930,2,5.128205
GA_Makespan_Dominance,208,32,0.672775,1,3.125000
GA_Makespan_Dominance,209,41,0.703392,1,2.439024
GA_Makespan_Dominance,MEAN,,,1.200000,3.115350
GA_Makespan_Dominance,STDDEV,,,0.400000,0.808234
GA_Energy_Dominance,200,35,0.690965,14,40.000000
GA_Energy_Dominance,201,32,0.673622,16,50.000000
GA_Energy_Dominance,202,34,0.700233,20,58.823529
GA_Energy_Dominance,203,51,0.670537,15,29.411765
GA_Energy_Dominance,204,35,0.668906,17,48.571429
GA_Energy_Dominance,205,47,0.622993,25,53.191489
GA_Energy_Dominance,206,38,0.672459,20,52.631579
GA_Energy_Dominance,207,39,0.686930,15,38.461538
GA_Energy_Dominance,208,32,0.672775,13,40.625000
GA_Energy_Dominance,209,41,0.703392,19,46.341463
GA_Energy_Dominance,MEAN,,,17.400000,45.805779
GA_Energy_Dominance,STDDEV,,,3.440930,8.242442
SA_Makespan_Dominance,200,35,0.690965,2,5.714286
SA_Makespan_Dominance,201,32,0.673622,4,12.500000
SA_Makespan_Dominance,202,34,0.700233,1,2.941176
SA_Makespan_Dominance,203,51,0.670537,2,3.921569
SA_Makespan_Dominance,204,35,0.668906,1,2.857143
SA_Makespan_Dominance,205,47,0.622993,8,17.021277
SA_Makespan_Dominance,206,38,0.672459,1,2.631579
SA_Makespan_Dominance,207,39,0.686930,1,2.564103
SA_Makespan_Dominance,208,32,0.672775,1,3.125000
SA_Makespan_Dominance,209,41,0.703392,2,4.878049
SA_Makespan_Dominance,MEAN,,,2.300000,5.815418
SA_Makespan_Dominance,STDDEV,,,2.100000,4.687103
SA_Energy_Dominance,200,35,0.690965,3,8.571429
SA_Energy_Dominance,201,32,0.673622,4,12.500000
SA_Energy_Dominance,202,34,0.700233,3,8.823529
SA_Energy_Dominance,203,51,0.670537,9,17.647059
SA_Energy_Dominance,204,35,0.668906,6,17.142857
SA_Energy_Dominance,205,47,0.622993,4,8.510638
SA_Energy_Dominance,206,38,0.672459,5,13.157895
SA_Energy_Dominance,207,39,0.686930,7,17.948718
SA_Energy_Dominance,208,32,0.672775,6,18.750000
SA_Energy_Dominance,209,41,0.703392,4,9.756098
SA_Energy_Dominance,MEAN,,,5.100000,13.280822
SA_Energy_Dominance,STDDEV,,,1.813836,4.043878
NSGA-II,200,35,0.690965,4,11.428571
NSGA-II,201,32,0.673622,7,21.875000
NSGA-II,202,34,0.700233,6,17.647059
NSGA-II,203,51,0.670537,9,17.647059
NSGA-II,204,35,0.668906,1,2.857143
NSGA-II,205,47,0.622993,5,10.638298
NSGA-II,206,38,0.672459,5,13.157895
NSGA-II,207,39,0.686930,9,23.076923
NSGA-II,208,32,0.672775,0,0.000000
NSGA-II,209,41,0.703392,5,12.195122
NSGA-II,MEAN,,,5.100000,13.052307
NSGA-II,STDDEV,,,2.808914,7.099791
SPEA-II,200,35,0.690965,11,31.428571
SPEA-II,201,32,0.673622,0,0.000000
SPEA-II,202,34,0.700233,3,8.823529
SPEA-II,203,51,0.670537,14,27.450980
SPEA-II,204,35,0.668906,9,25.714286
SPEA-II,205,47,0.622993,4,8.510638
SPEA-II,206,38,0.672459,6,15.789474
SPEA-II,207,39,0.686930,7,17.948718
SPEA-II,208,32,0.672775,11,34.375000
SPEA-II,209,41,0.703392,10,24.390244
SPEA-II,MEAN,,,7.500000,19.443144
SPEA-II,STDDEV,,,4.080441,10.585139
AMOSA,200,35,0.690965,0,0.000000
AMOSA,201,32,0.673622,0,0.000000
AMOSA,202,34,0.700233,0,0.000000
AMOSA,203,51,0.670537,0,0.000000
AMOSA,204,35,0.668906,0,0.000000
AMOSA,205,47,0.622993,0,0.000000
AMOSA,206,38,0.672459,0,0.000000
AMOSA,207,39,0.686930,0,0.000000
AMOSA,208,32,0.672775,0,0.000000
AMOSA,209,41,0.703392,0,0.000000
AMOSA,MEAN,,,0.000000,0.000000
AMOSA,STDDEV,,,0.000000,0.000000
Universal_Pareto,MEAN,38.400000,0.676281,,
Universal_Pareto,STDDEV,6.036555,0.021445,,
