Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,Makespan_Best,Energy_Best,ScoredSeeds
1,Balanced,GA_Makespan_Dominance,200,0.001248,0.003305,0.680878,0.000000,2,1,5599,15.507143,0.060755740,
1,Balanced,GA_Makespan_Dominance,201,0.003897,0.033853,0.692600,0.002586,5,0,4128,15.580000,0.061183957,
1,Balanced,GA_Makespan_Dominance,202,0.111418,0.017448,0.593579,0.000084,3,0,3764,17.325000,0.059353878,
1,Balanced,GA_Makespan_Dominance,203,0.001898,0.010381,0.686537,0.000000,2,0,3548,15.660714,0.060888946,
1,Balanced,GA_Makespan_Dominance,204,0.003160,0.002430,0.681052,0.000040,4,0,3751,15.660714,0.060735571,
1,Balanced,GA_Makespan_Dominance,205,0.083918,0.042741,0.619450,0.000000,1,0,3829,16.500000,0.059708763,
1,Balanced,GA_Makespan_Dominance,206,0.015918,0.000414,0.669717,0.000000,2,1,3841,15.545000,0.060570852,
1,Balanced,GA_Makespan_Dominance,207,0.016758,0.000000,0.669112,0.000000,2,2,3682,15.555000,0.060560435,
1,Balanced,GA_Makespan_Dominance,208,0.077492,0.049201,0.624073,0.000000,1,0,3914,16.500000,0.059790146,
1,Balanced,GA_Makespan_Dominance,209,0.014972,0.003822,0.668052,0.003309,3,0,3666,16.000000,0.060582352,
1,Balanced,GA_Makespan_Dominance,MEAN,0.033068,0.016359,0.658505,0.000602,,4,3972,15.507143,0.059353878,10
1,Balanced,GA_Energy_Dominance,200,0.440624,0.161058,0.175395,0.030485,44,6,4852,18.000000,0.049923840,
1,Balanced,GA_Energy_Dominance,201,0.417594,0.177171,0.186606,0.030421,41,0,4567,18.000000,0.050598331,
1,Balanced,GA_Energy_Dominance,202,0.327023,0.215221,0.234503,0.029556,57,3,4782,18.000000,0.048716751,
1,Balanced,GA_Energy_Dominance,203,0.237288,0.269115,0.281963,0.034039,43,2,5292,18.000000,0.048337589,
1,Balanced,GA_Energy_Dominance,204,0.379994,0.213898,0.214181,0.021851,51,1,4805,18.000000,0.049268156,
1,Balanced,GA_Energy_Dominance,205,0.412245,0.118836,0.249674,0.006067,33,0,4465,18.000000,0.053931105,
1,Balanced,GA_Energy_Dominance,206,0.449644,0.141376,0.168835,0.013557,47,0,4303,18.000000,0.050707668,
1,Balanced,GA_Energy_Dominance,207,0.429400,0.158710,0.176902,0.022439,52,11,4583,18.000000,0.051143689,
1,Balanced,GA_Energy_Dominance,208,0.379259,0.179693,0.208399,0.017582,51,3,4821,18.000000,0.049322238,
1,Balanced,GA_Energy_Dominance,209,0.263775,0.224139,0.262772,0.039356,45,2,4908,18.000000,0.048176362,
1,Balanced,GA_Energy_Dominance,MEAN,0.373685,0.185922,0.215923,0.024535,,28,4737,18.000000,0.048176362,10
1,Balanced,SA_Makespan_Dominance,200,0.472807,0.076745,0.416126,0.325720,3,0,2288,19.985714,0.056026604,
1,Balanced,SA_Makespan_Dominance,201,0.129014,0.002566,0.581805,0.001180,7,4,1921,16.325000,0.059139053,
1,Balanced,SA_Makespan_Dominance,202,0.444281,0.167593,0.438552,0.235715,4,1,2191,18.985714,0.056740061,
1,Balanced,SA_Makespan_Dominance,203,0.172984,0.003658,0.555720,0.001961,4,1,2155,17.386667,0.058569741,
1,Balanced,SA_Makespan_Dominance,204,0.423395,0.147295,0.455462,0.256647,3,1,2492,18.420000,0.057206859,
1,Balanced,SA_Makespan_Dominance,205,0.478102,0.147887,0.416864,0.323164,3,1,2254,18.420000,0.055962799,
1,Balanced,SA_Makespan_Dominance,206,0.440623,0.122116,0.424742,0.002708,4,0,2144,18.985714,0.056610763,
1,Balanced,SA_Makespan_Dominance,207,0.457527,0.155944,0.402197,0.337754,3,0,2166,18.985714,0.056059481,
1,Balanced,SA_Makespan_Dominance,208,0.478765,0.110308,0.397181,0.000000,2,1,2211,18.420000,0.055646783,
1,Balanced,SA_Makespan_Dominance,209,0.188178,0.000000,0.550330,0.000000,1,1,2120,17.700000,0.058372318,
1,Balanced,SA_Makespan_Dominance,MEAN,0.368568,0.093411,0.463898,0.148485,,10,2194,16.325000,0.055646783,10
1,Balanced,SA_Energy_Dominance,200,0.452260,0.089893,0.234789,0.038700,24,5,2412,18.000000,0.053310981,
1,Balanced,SA_Energy_Dominance,201,0.356244,0.184794,0.260144,0.088141,15,0,2107,18.000000,0.054059388,
1,Balanced,SA_Energy_Dominance,202,0.415109,0.116810,0.265290,0.068546,13,2,2162,18.000000,0.053944541,
1,Balanced,SA_Energy_Dominance,203,0.453776,0.088396,0.219984,0.027719,31,3,2181,18.000000,0.052941430,
1,Balanced,SA_Energy_Dominance,204,0.357494,0.129568,0.230690,0.149946,15,0,1926,18.000000,0.053089298,
1,Balanced,SA_Energy_Dominance,205,0.434654,0.078329,0.224255,0.058674,25,1,2155,18.000000,0.053291545,
1,Balanced,SA_Energy_Dominance,206,0.369993,0.173502,0.224828,0.090010,21,2,2297,18.000000,0.052752308,
1,Balanced,SA_Energy_Dominance,207,0.406493,0.074621,0.267126,0.012070,36,10,2571,18.000000,0.054508068,
1,Balanced,SA_Energy_Dominance,208,0.404184,0.142493,0.241408,0.013897,28,0,2457,18.000000,0.053529855,
1,Balanced,SA_Energy_Dominance,209,0.434655,0.132295,0.263791,0.165886,9,1,2307,18.000000,0.053449788,
1,Balanced,SA_Energy_Dominance,MEAN,0.408486,0.121070,0.243230,0.071359,,24,2257,18.000000,0.052752308,10
1,Balanced,NSGA-II,200,0.422858,0.077478,0.212318,0.005586,48,0,8445,18.000000,0.054465947,
1,Balanced,NSGA-II,201,0.379345,0.070353,0.274989,0.007290,37,0,7405,17.985714,0.055417488,
1,Balanced,NSGA-II,202,0.398576,0.071806,0.238227,0.006780,44,0,7153,18.000000,0.054787415,
1,Balanced,NSGA-II,203,0.380064,0.103750,0.237043,0.008937,40,0,7203,17.985714,0.055045480,
1,Balanced,NSGA-II,204,0.357689,0.077751,0.270416,0.007071,43,0,7342,18.000000,0.055560918,
1,Balanced,NSGA-II,205,0.437217,0.088087,0.206225,0.006002,47,0,7365,18.000000,0.054275059,
1,Balanced,NSGA-II,206,0.381608,0.136148,0.204821,0.017294,39,0,7380,18.000000,0.053752522,
1,Balanced,NSGA-II,207,0.415912,0.090559,0.202101,0.014759,42,0,8051,18.000000,0.054524368,
1,Balanced,NSGA-II,208,0.359738,0.100182,0.242535,0.008739,40,0,7198,17.985714,0.055192104,
1,Balanced,NSGA-II,209,0.366418,0.116316,0.249287,0.009073,39,0,6870,18.000000,0.055015825,
1,Balanced,NSGA-II,MEAN,0.389942,0.093243,0.233796,0.009153,,0,7441,17.985714,0.053752522,10
1,Balanced,SPEA-II,200,0.303252,0.076168,0.349207,0.009433,27,0,8010,17.985714,0.056445495,
1,Balanced,SPEA-II,201,0.197263,0.011362,0.524879,0.002747,9,0,7392,17.985714,0.058249362,
1,Balanced,SPEA-II,202,0.281080,0.069111,0.373584,0.007455,28,0,8307,17.985714,0.056882646,
1,Balanced,SPEA-II,203,0.260982,0.065938,0.400794,0.004656,16,0,7515,17.985714,0.057097090,
1,Balanced,SPEA-II,204,0.326525,0.107429,0.272705,0.010374,34,0,7985,17.985714,0.055704326,
1,Balanced,SPEA-II,205,0.251742,0.087962,0.412990,0.007367,20,0,7433,17.985714,0.057230739,
1,Balanced,SPEA-II,206,0.352042,0.090186,0.237911,0.016451,34,0,8227,18.232143,0.055369166,
1,Balanced,SPEA-II,207,0.211496,0.000000,0.534955,0.001024,5,5,7289,17.985714,0.058070375,
1,Balanced,SPEA-II,208,0.320656,0.102955,0.292533,0.006425,29,0,8143,17.985714,0.055867832,
1,Balanced,SPEA-II,209,0.323964,0.088773,0.300816,0.013055,21,0,8598,17.985714,0.055952074,
1,Balanced,SPEA-II,MEAN,0.282900,0.069988,0.370037,0.007899,,5,7889,17.985714,0.055369166,10
1,Balanced,AMOSA,200,0.171197,0.024763,0.540312,0.013463,4,0,5375,17.985714,0.058570420,
1,Balanced,AMOSA,201,0.142039,0.034718,0.546195,0.007277,12,0,5740,17.985714,0.058944650,
1,Balanced,AMOSA,202,0.163616,0.027411,0.537677,0.004576,12,0,5797,17.925000,0.058670437,
1,Balanced,AMOSA,203,0.178822,0.005878,0.553267,0.000810,4,0,5479,17.917857,0.058488784,
1,Balanced,AMOSA,204,0.231100,0.114259,0.420339,0.010195,8,0,5925,17.985714,0.057452490,
1,Balanced,AMOSA,205,0.162453,0.014822,0.556569,0.013170,5,0,5771,17.985714,0.058694488,
1,Balanced,AMOSA,206,0.152658,0.023888,0.553756,0.004347,10,0,5569,17.985714,0.058813796,
1,Balanced,AMOSA,207,0.121445,0.033647,0.574363,0.004212,7,0,5521,17.985714,0.059214785,
1,Balanced,AMOSA,208,0.159990,0.016929,0.560411,0.005777,4,0,5743,17.985714,0.058727813,
1,Balanced,AMOSA,209,0.188481,0.056207,0.503114,0.010979,13,0,5791,17.985714,0.058296932,
1,Balanced,AMOSA,MEAN,0.167180,0.035252,0.534600,0.007481,,0,5671,17.917857,0.057452490,10
2,GPU_Stress,GA_Makespan_Dominance,200,0.003274,0.010105,0.524564,0.001594,3,0,3712,24.745000,0.080209146,
2,GPU_Stress,GA_Makespan_Dominance,201,0.013894,0.008355,0.508965,0.000180,4,0,3907,25.000000,0.079901780,
2,GPU_Stress,GA_Makespan_Dominance,202,0.030412,0.000000,0.494611,0.002820,4,4,4175,24.875000,0.079666803,
2,GPU_Stress,GA_Makespan_Dominance,203,0.009935,0.002988,0.513021,0.001224,4,0,3846,25.000000,0.079958081,
2,GPU_Stress,GA_Makespan_Dominance,204,0.001820,0.003103,0.521545,0.000000,2,0,4196,24.745000,0.080101677,
2,GPU_Stress,GA_Makespan_Dominance,205,0.002207,0.012437,0.526893,0.000125,4,0,4011,24.857143,0.080255243,
2,GPU_Stress,GA_Makespan_Dominance,206,0.001491,0.003517,0.521867,0.000650,4,0,4121,25.000000,0.080113219,
2,GPU_Stress,GA_Makespan_Dominance,207,0.002589,0.021730,0.530105,0.000552,4,0,4138,24.745000,0.080386193,
2,GPU_Stress,GA_Makespan_Dominance,208,0.002475,0.002036,0.519911,0.001626,3,1,4095,24.745000,0.080064374,
2,GPU_Stress,GA_Makespan_Dominance,209,0.005122,0.000000,0.518392,0.000000,1,1,4172,24.857143,0.080026795,
2,GPU_Stress,GA_Makespan_Dominance,MEAN,0.007322,0.006427,0.517987,0.000877,,6,4037,24.745000,0.079666803,10
2,GPU_Stress,GA_Energy_Dominance,200,0.472240,0.215523,0.218676,0.020787,36,0,4387,27.000000,0.069985600,
2,GPU_Stress,GA_Energy_Dominance,201,0.570450,0.137765,0.181015,0.017823,38,2,4363,27.000000,0.068242119,
2,GPU_Stress,GA_Energy_Dominance,202,0.385507,0.253804,0.263734,0.037104,48,5,4728,27.000000,0.066923297,
2,GPU_Stress,GA_Energy_Dominance,203,0.304541,0.282552,0.283028,0.044670,47,3,4673,27.000000,0.065879553,
2,GPU_Stress,GA_Energy_Dominance,204,0.535570,0.170434,0.206086,0.036477,34,4,4854,27.000000,0.068505446,
2,GPU_Stress,GA_Energy_Dominance,205,0.401779,0.009082,0.223521,0.005297,32,17,4084,27.000000,0.074277708,
2,GPU_Stress,GA_Energy_Dominance,206,0.477212,0.219601,0.230434,0.026599,40,3,4443,27.000000,0.067714799,
2,GPU_Stress,GA_Energy_Dominance,207,0.544796,0.103356,0.169941,0.008711,45,1,4688,27.000000,0.070375942,
2,GPU_Stress,GA_Energy_Dominance,208,0.545991,0.030437,0.144962,0.004535,57,21,4211,27.000000,0.071572762,
