Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
GA_Makespan_Dominance,200,0.003274,0.010105,0.524564,0.001594,3,3,0,2320,0.243781,
GA_Makespan_Dominance,201,0.013894,0.008355,0.508965,0.000180,4,4,0,2359,0.259802,
GA_Makespan_Dominance,202,0.030412,0.000000,0.494611,0.002820,4,4,4,2366,0.272294,
GA_Makespan_Dominance,203,0.009935,0.002988,0.513021,0.001224,4,4,0,2369,0.256831,
GA_Makespan_Dominance,204,0.001820,0.003103,0.521545,0.000000,2,2,0,2355,0.249457,
GA_Makespan_Dominance,205,0.002207,0.012437,0.526893,0.000125,4,4,0,2346,0.241270,
GA_Makespan_Dominance,206,0.001491,0.003517,0.521867,0.000650,4,4,0,2346,0.248656,
GA_Makespan_Dominance,207,0.002589,0.021730,0.530105,0.000552,4,4,0,2344,0.234438,
GA_Makespan_Dominance,208,0.002475,0.002036,0.519911,0.001626,3,3,1,2350,0.251427,
GA_Makespan_Dominance,209,0.005122,0.000000,0.518392,0.000000,1,1,1,2356,0.253327,
GA_Makespan_Dominance,MEAN,0.007322,0.006427,0.517987,0.000877,3,3,6,2351,0.251128,10
GA_Makespan_Dominance,STDDEV,0.008607,0.006487,0.009765,0.000879,,,,,0.009996,
GA_Energy_Dominance,200,0.472240,0.215523,0.218676,0.020787,36,36,0,2578,0.618533,
GA_Energy_Dominance,201,0.570450,0.137765,0.181015,0.017823,38,38,2,2678,0.693896,
GA_Energy_Dominance,202,0.385507,0.253804,0.263734,0.037104,48,48,5,2753,0.574054,
GA_Energy_Dominance,203,0.304541,0.282552,0.283028,0.044670,47,47,3,2937,0.523825,
GA_Energy_Dominance,204,0.535570,0.170434,0.206086,0.036477,34,34,4,2744,0.668838,
GA_Energy_Dominance,205,0.401779,0.009082,0.223521,0.005297,32,32,17,2389,0.549872,
GA_Energy_Dominance,206,0.477212,0.219601,0.230434,0.026599,40,40,3,2677,0.632818,
GA_Energy_Dominance,207,0.544796,0.103356,0.169941,0.008711,45,45,1,2545,0.666158,
GA_Energy_Dominance,208,0.545991,0.030437,0.144962,0.004535,57,57,21,2467,0.661232,
GA_Energy_Dominance,209,0.487787,0.205543,0.220218,0.030606,39,39,0,2620,0.632757,
GA_Energy_Dominance,MEAN,0.472587,0.162810,0.214162,0.023261,42,42,56,2638,0.622198,10
GA_Energy_Dominance,STDDEV,0.080768,0.087077,0.039392,0.013455,,,,,0.053137,
SA_Makespan_Dominance,200,0.440561,0.095975,0.257314,0.000939,4,4,0,1478,0.494094,
SA_Makespan_Dominance,201,0.514815,0.034265,0.232889,0.244532,5,5,4,1496,0.562751,
SA_Makespan_Dominance,202,0.492905,0.067305,0.244476,0.355861,3,3,0,1491,0.544166,
SA_Makespan_Dominance,203,0.477895,0.088541,0.247831,0.001904,4,4,0,1481,0.529405,
SA_Makespan_Dominance,204,0.431792,0.095952,0.259094,0.000967,4,4,0,1479,0.486157,
SA_Makespan_Dominance,205,0.448798,0.068839,0.255236,0.291882,3,3,0,1477,0.503235,
SA_Makespan_Dominance,206,0.440155,0.081725,0.252445,0.303627,3,3,0,1473,0.494534,
SA_Makespan_Dominance,207,0.445433,0.072136,0.261001,0.002096,5,5,0,1468,0.496505,
SA_Makespan_Dominance,208,0.426184,0.112317,0.252831,0.001812,4,4,0,1489,0.483108,
SA_Makespan_Dominance,209,0.410181,0.077726,0.266858,0.001752,5,5,0,1469,0.466062,
SA_Makespan_Dominance,MEAN,0.452872,0.079478,0.252998,0.120537,4,4,4,1480,0.506002,10
SA_Makespan_Dominance,STDDEV,0.030708,0.020178,0.009061,0.147832,,,,,0.028476,
SA_Energy_Dominance,200,0.483794,0.174923,0.210211,0.051749,32,32,0,1615,0.627693,
SA_Energy_Dominance,201,0.497015,0.157324,0.198223,0.074777,22,22,0,1608,0.632607,
SA_Energy_Dominance,202,0.514034,0.154595,0.198180,0.064931,20,20,0,1616,0.644116,
