Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best
1,Balanced,GA_WaitingTime_Dominance,200,0.142155,0.003271,0.605519,0.004888,11,5,3405,2.034000,0.062984048
1,Balanced,GA_WaitingTime_Dominance,201,0.131300,0.004118,0.618837,0.002200,8,0,3931,2.070000,0.063186210
1,Balanced,GA_WaitingTime_Dominance,202,0.141879,0.004383,0.607395,0.002887,12,0,4360,2.054000,0.062987047
1,Balanced,GA_WaitingTime_Dominance,203,0.137116,0.009861,0.609922,0.001901,15,0,4323,2.102000,0.063071110
1,Balanced,GA_WaitingTime_Dominance,204,0.154396,0.000622,0.600558,0.004604,7,5,4717,2.060000,0.062751894
1,Balanced,GA_WaitingTime_Dominance,205,0.152744,0.001114,0.606158,0.001878,8,2,4167,2.048000,0.062784192
1,Balanced,GA_WaitingTime_Dominance,206,0.124352,0.017590,0.610000,0.013952,9,0,4083,2.046000,0.063314733
1,Balanced,GA_WaitingTime_Dominance,207,0.133832,0.016575,0.605365,0.002632,14,0,4117,2.040000,0.063133772
1,Balanced,GA_WaitingTime_Dominance,208,0.142434,0.002155,0.614177,0.001925,6,0,4034,2.094000,0.062974361
1,Balanced,GA_WaitingTime_Dominance,209,0.143684,0.002512,0.612406,0.001776,9,0,4424,2.082000,0.062951770
1,Balanced,GA_WaitingTime_Dominance,MEAN,0.140389,0.006220,0.609034,0.003864,,12,4156,2.034000,0.062751894
1,Balanced,GA_Energy_Dominance,200,0.670386,0.045670,0.074133,0.007008,81,15,5726,4.386000,0.047749904
1,Balanced,GA_Energy_Dominance,201,0.663752,0.047912,0.076761,0.007900,84,14,5686,4.246000,0.047668823
1,Balanced,GA_Energy_Dominance,202,0.660903,0.043927,0.087056,0.008122,91,12,5249,4.372000,0.048578448
1,Balanced,GA_Energy_Dominance,203,0.631744,0.070261,0.099524,0.006291,90,14,4070,4.606000,0.046981777
1,Balanced,GA_Energy_Dominance,204,0.659463,0.050388,0.085499,0.010147,86,0,3755,4.412000,0.048884587
1,Balanced,GA_Energy_Dominance,205,0.574173,0.078927,0.181383,0.015186,90,13,4653,4.236000,0.052799077
1,Balanced,GA_Energy_Dominance,206,0.639703,0.069247,0.110021,0.005822,88,0,5602,4.220000,0.049510916
1,Balanced,GA_Energy_Dominance,207,0.621824,0.083025,0.102440,0.008924,75,2,5700,4.192000,0.047260939
1,Balanced,GA_Energy_Dominance,208,0.659955,0.053198,0.090987,0.006079,104,12,5284,4.166000,0.049962177
1,Balanced,GA_Energy_Dominance,209,0.638501,0.073054,0.096919,0.006808,105,0,4763,4.526000,0.047435093
1,Balanced,GA_Energy_Dominance,MEAN,0.642040,0.061561,0.100472,0.008229,,82,5048,4.166000,0.046981777
1,Balanced,SA_WaitingTime_Dominance,200,0.111274,0.021724,0.617569,0.008665,16,0,1763,1.840000,0.063574826
1,Balanced,SA_WaitingTime_Dominance,201,0.114541,0.027414,0.612320,0.003509,28,0,1764,1.862000,0.063442500
1,Balanced,SA_WaitingTime_Dominance,202,0.106507,0.028462,0.620053,0.002841,20,6,1751,1.838000,0.063602724
1,Balanced,SA_WaitingTime_Dominance,203,0.109426,0.019463,0.619558,0.002238,19,8,2626,1.926000,0.063574826
1,Balanced,SA_WaitingTime_Dominance,204,0.116659,0.024241,0.614287,0.001654,30,0,2864,1.838000,0.063565358
1,Balanced,SA_WaitingTime_Dominance,205,0.113478,0.015808,0.616501,0.001626,34,0,2688,1.908000,0.063567351
1,Balanced,SA_WaitingTime_Dominance,206,0.107400,0.012373,0.619554,0.001313,28,4,2725,1.824000,0.063589900
1,Balanced,SA_WaitingTime_Dominance,207,0.110490,0.008008,0.617442,0.001109,21,3,2616,1.888000,0.063546807
1,Balanced,SA_WaitingTime_Dominance,208,0.140138,0.030510,0.603974,0.001993,34,0,2591,1.842000,0.063603419
1,Balanced,SA_WaitingTime_Dominance,209,0.143719,0.035376,0.599782,0.005080,38,0,2599,1.880000,0.063457154
1,Balanced,SA_WaitingTime_Dominance,MEAN,0.117363,0.022338,0.614104,0.003003,,21,2398,1.824000,0.063442500
