Scenario,ScenarioName,Algorithm,CapWatts,NumSeeds,MeanFeasibilityRate,StdFeasibilityRate,MinFeasibilityRate,MaxFeasibilityRate,TotalSolutionsAcrossSeeds,TotalFeasibleAcrossSeeds
1,Balanced,GA_WaitingTime_Dominance,17961.8,10,0.0397,0.0932,0.0000,0.2857,99,5
1,Balanced,GA_WaitingTime_Dominance,16112.9,10,0.0000,0.0000,0.0000,0.0000,99,0
1,Balanced,GA_WaitingTime_Dominance,14566.4,10,0.0000,0.0000,0.0000,0.0000,99,0
1,Balanced,GA_Energy_Dominance,17961.8,10,0.9801,0.0209,0.9333,1.0000,894,877
1,Balanced,GA_Energy_Dominance,16112.9,10,0.6950,0.0761,0.5238,0.8000,894,623
1,Balanced,GA_Energy_Dominance,14566.4,10,0.4112,0.0898,0.3077,0.5934,894,367
1,Balanced,SA_WaitingTime_Dominance,17961.8,10,0.2021,0.1022,0.0588,0.3750,269,51
1,Balanced,SA_WaitingTime_Dominance,16112.9,10,0.1542,0.0601,0.0588,0.2500,269,39
1,Balanced,SA_WaitingTime_Dominance,14566.4,10,0.0000,0.0000,0.0000,0.0000,269,0
1,Balanced,SA_Energy_Dominance,17961.8,10,0.7802,0.1077,0.6636,1.0000,1080,843
1,Balanced,SA_Energy_Dominance,16112.9,10,0.2602,0.0917,0.1188,0.4167,1080,282
1,Balanced,SA_Energy_Dominance,14566.4,10,0.0971,0.0752,0.0351,0.2917,1080,102
1,Balanced,NSGA-II,17961.8,10,0.8459,0.0800,0.6977,1.0000,451,382
1,Balanced,NSGA-II,16112.9,10,0.2786,0.2302,0.0000,0.6471,451,129
1,Balanced,NSGA-II,14566.4,10,0.0000,0.0000,0.0000,0.0000,451,0
1,Balanced,SPEA-II,17961.8,10,0.6392,0.2366,0.0690,0.8462,423,280
1,Balanced,SPEA-II,16112.9,10,0.0683,0.1116,0.0000,0.3091,423,34
1,Balanced,SPEA-II,14566.4,10,0.0000,0.0000,0.0000,0.0000,423,0
1,Balanced,AMOSA,17961.8,10,0.4716,0.2014,0.2000,0.8182,208,102
1,Balanced,AMOSA,16112.9,10,0.0000,0.0000,0.0000,0.0000,208,0
1,Balanced,AMOSA,14566.4,10,0.0000,0.0000,0.0000,0.0000,208,0
1,Balanced,GA_WaitingTime_Dominance_PC90,17961.8,10,1.0000,0.0000,1.0000,1.0000,90,90
1,Balanced,GA_WaitingTime_Dominance_PC90,16112.9,10,0.0222,0.0703,0.0000,0.2222,90,2
1,Balanced,GA_WaitingTime_Dominance_PC90,14566.4,10,0.0000,0.0000,0.0000,0.0000,90,0
1,Balanced,GA_Energy_Dominance_PC90,17961.8,10,1.0000,0.0000,1.0000,1.0000,899,899
1,Balanced,GA_Energy_Dominance_PC90,16112.9,10,0.7003,0.0730,0.5422,0.8229,899,632
1,Balanced,GA_Energy_Dominance_PC90,14566.4,10,0.4124,0.0842,0.3077,0.5870,899,370
1,Balanced,SA_WaitingTime_Dominance_PC90,17961.8,10,1.0000,0.0000,1.0000,1.0000,92,92
1,Balanced,SA_WaitingTime_Dominance_PC90,16112.9,10,0.4939,0.1403,0.2353,0.6667,92,41
1,Balanced,SA_WaitingTime_Dominance_PC90,14566.4,10,0.0000,0.0000,0.0000,0.0000,92,0
1,Balanced,SA_Energy_Dominance_PC90,17961.8,10,1.0000,0.0000,1.0000,1.0000,933,933
1,Balanced,SA_Energy_Dominance_PC90,16112.9,10,0.3013,0.1001,0.1364,0.4494,933,282
1,Balanced,SA_Energy_Dominance_PC90,14566.4,10,0.1095,0.0730,0.0381,0.2917,933,102
1,Balanced,NSGA-II_PC90,17961.8,10,1.0000,0.0000,1.0000,1.0000,412,412
1,Balanced,NSGA-II_PC90,16112.9,10,0.3016,0.2537,0.0000,0.6744,412,135
1,Balanced,NSGA-II_PC90,14566.4,10,0.0000,0.0000,0.0000,0.0000,412,0
1,Balanced,SPEA-II_PC90,17961.8,10,1.0000,0.0000,1.0000,1.0000,377,377
1,Balanced,SPEA-II_PC90,16112.9,10,0.0238,0.0450,0.0000,0.1136,377,10
1,Balanced,SPEA-II_PC90,14566.4,10,0.0000,0.0000,0.0000,0.0000,377,0
1,Balanced,AMOSA_PC90,17961.8,10,1.0000,0.0000,1.0000,1.0000,247,247
1,Balanced,AMOSA_PC90,16112.9,10,0.0000,0.0000,0.0000,0.0000,247,0
1,Balanced,AMOSA_PC90,14566.4,10,0.0000,0.0000,0.0000,0.0000,247,0
1,Balanced,GA_WaitingTime_Dominance_PC60,17961.8,10,1.0000,0.0000,1.0000,1.0000,47,47
1,Balanced,GA_WaitingTime_Dominance_PC60,16112.9,10,1.0000,0.0000,1.0000,1.0000,47,47
1,Balanced,GA_WaitingTime_Dominance_PC60,14566.4,10,0.0000,0.0000,0.0000,0.0000,47,0
1,Balanced,GA_Energy_Dominance_PC60,17961.8,10,1.0000,0.0000,1.0000,1.0000,787,787
1,Balanced,GA_Energy_Dominance_PC60,16112.9,10,1.0000,0.0000,1.0000,1.0000,787,787
1,Balanced,GA_Energy_Dominance_PC60,14566.4,10,0.4852,0.1058,0.3444,0.6923,787,380
1,Balanced,SA_WaitingTime_Dominance_PC60,17961.8,10,1.0000,0.0000,1.0000,1.0000,46,46
1,Balanced,SA_WaitingTime_Dominance_PC60,16112.9,10,1.0000,0.0000,1.0000,1.0000,46,46
1,Balanced,SA_WaitingTime_Dominance_PC60,14566.4,10,0.0000,0.0000,0.0000,0.0000,46,0
1,Balanced,SA_Energy_Dominance_PC60,17961.8,10,1.0000,0.0000,1.0000,1.0000,452,452
1,Balanced,SA_Energy_Dominance_PC60,16112.9,10,1.0000,0.0000,1.0000,1.0000,452,452
1,Balanced,SA_Energy_Dominance_PC60,14566.4,10,0.3225,0.2128,0.0800,0.6667,452,135
1,Balanced,NSGA-II_PC60,17961.8,10,1.0000,0.0000,1.0000,1.0000,293,293
1,Balanced,NSGA-II_PC60,16112.9,10,1.0000,0.0000,1.0000,1.0000,293,293
1,Balanced,NSGA-II_PC60,14566.4,10,0.0000,0.0000,0.0000,0.0000,293,0
1,Balanced,SPEA-II_PC60,17961.8,10,1.0000,0.0000,1.0000,1.0000,261,261
1,Balanced,SPEA-II_PC60,16112.9,10,1.0000,0.0000,1.0000,1.0000,261,261
1,Balanced,SPEA-II_PC60,14566.4,10,0.0000,0.0000,0.0000,0.0000,261,0
1,Balanced,AMOSA_PC60,17961.8,10,1.0000,0.0000,1.0000,1.0000,199,199
1,Balanced,AMOSA_PC60,16112.9,10,1.0000,0.0000,1.0000,1.0000,199,199
1,Balanced,AMOSA_PC60,14566.4,10,0.0000,0.0000,0.0000,0.0000,199,0
1,Balanced,GA_WaitingTime_Dominance_PC30,17961.8,10,1.0000,0.0000,1.0000,1.0000,10,10
1,Balanced,GA_WaitingTime_Dominance_PC30,16112.9,10,1.0000,0.0000,1.0000,1.0000,10,10
1,Balanced,GA_WaitingTime_Dominance_PC30,14566.4,10,0.3000,0.4830,0.0000,1.0000,10,3
1,Balanced,GA_Energy_Dominance_PC30,17961.8,10,1.0000,0.0000,1.0000,1.0000,643,643
1,Balanced,GA_Energy_Dominance_PC30,16112.9,10,1.0000,0.0000,1.0000,1.0000,643,643
1,Balanced,GA_Energy_Dominance_PC30,14566.4,10,1.0000,0.0000,1.0000,1.0000,643,643
1,Balanced,SA_WaitingTime_Dominance_PC30,17961.8,10,1.0000,0.0000,1.0000,1.0000,11,11
1,Balanced,SA_WaitingTime_Dominance_PC30,16112.9,10,1.0000,0.0000,1.0000,1.0000,11,11
1,Balanced,SA_WaitingTime_Dominance_PC30,14566.4,10,0.0000,0.0000,0.0000,0.0000,11,0
1,Balanced,SA_Energy_Dominance_PC30,17961.8,10,1.0000,0.0000,1.0000,1.0000,207,207
1,Balanced,SA_Energy_Dominance_PC30,16112.9,10,1.0000,0.0000,1.0000,1.0000,207,207
1,Balanced,SA_Energy_Dominance_PC30,14566.4,10,1.0000,0.0000,1.0000,1.0000,207,207
1,Balanced,NSGA-II_PC30,17961.8,10,1.0000,0.0000,1.0000,1.0000,300,300
1,Balanced,NSGA-II_PC30,16112.9,10,1.0000,0.0000,1.0000,1.0000,300,300
1,Balanced,NSGA-II_PC30,14566.4,10,1.0000,0.0000,1.0000,1.0000,300,300
1,Balanced,SPEA-II_PC30,17961.8,10,1.0000,0.0000,1.0000,1.0000,255,255
1,Balanced,SPEA-II_PC30,16112.9,10,1.0000,0.0000,1.0000,1.0000,255,255
