Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed
GA_WaitingTime_Dominance,200,0.257384,0.034498,0.390238,0.003731,25,25,4,3120,0.443072
GA_WaitingTime_Dominance,201,0.248180,0.034597,0.398376,0.002930,25,25,0,3104,0.436086
GA_WaitingTime_Dominance,202,0.252262,0.026128,0.395544,0.003593,22,22,0,3105,0.438299
GA_WaitingTime_Dominance,203,0.246361,0.027147,0.402615,0.003057,11,11,0,3213,0.434114
GA_WaitingTime_Dominance,204,0.253838,0.005460,0.412368,0.004052,9,9,0,3489,0.439665
GA_WaitingTime_Dominance,205,0.254691,0.028988,0.391917,0.001999,34,34,0,4468,0.440266
GA_WaitingTime_Dominance,206,0.250031,0.027768,0.396614,0.002678,25,25,0,4450,0.437447
GA_WaitingTime_Dominance,207,0.272292,0.000000,0.398408,0.007758,7,7,7,4516,0.453540
GA_WaitingTime_Dominance,208,0.257378,0.028149,0.391734,0.003049,22,22,5,4384,0.442802
GA_WaitingTime_Dominance,209,0.242497,0.027038,0.401908,0.002175,19,19,0,4600,0.431664
GA_WaitingTime_Dominance,MEAN,0.253491,0.023977,0.397972,0.003502,20,20,16,3844,0.439695
GA_WaitingTime_Dominance,STDDEV,0.007738,0.011055,0.006227,0.001546,,,,,0.005734
GA_Energy_Dominance,200,0.582765,0.115282,0.177675,0.011842,46,46,2,5090,0.676240
GA_Energy_Dominance,201,0.543162,0.164644,0.191899,0.007628,62,62,0,5695,0.648910
GA_Energy_Dominance,202,0.587470,0.129830,0.174532,0.018362,47,47,11,5516,0.681581
GA_Energy_Dominance,203,0.482257,0.205413,0.222349,0.018750,51,51,0,5870,0.608334
GA_Energy_Dominance,204,0.564083,0.167633,0.187951,0.013941,53,54,0,5521,0.664854
GA_Energy_Dominance,205,0.508098,0.112205,0.225226,0.004282,62,62,0,4643,0.608291
GA_Energy_Dominance,206,0.545210,0.137127,0.188886,0.005411,79,79,9,5716,0.657393
GA_Energy_Dominance,207,0.597610,0.123557,0.170921,0.008643,62,62,5,5167,0.686279
GA_Energy_Dominance,208,0.558242,0.121826,0.192627,0.005648,47,47,0,5292,0.653359
GA_Energy_Dominance,209,0.553928,0.157186,0.195810,0.023617,48,48,0,3776,0.646748
GA_Energy_Dominance,MEAN,0.552283,0.143470,0.192787,0.011812,56,56,27,5228,0.653199
GA_Energy_Dominance,STDDEV,0.033747,0.028144,0.017362,0.006310,,,,,0.025834
SA_WaitingTime_Dominance,200,0.263742,0.054252,0.387278,0.004313,16,16,0,2019,0.424434
SA_WaitingTime_Dominance,201,0.251297,0.053833,0.389326,0.002484,21,21,0,2762,0.428018
SA_WaitingTime_Dominance,202,0.242469,0.037436,0.392826,0.001167,14,14,0,3018,0.427632
SA_WaitingTime_Dominance,203,0.279134,0.037948,0.380803,0.004854,10,10,0,3017,0.424959
SA_WaitingTime_Dominance,204,0.234324,0.009323,0.396404,0.003520,12,12,10,3066,0.430577
SA_WaitingTime_Dominance,205,0.333812,0.076084,0.361892,0.004308,28,29,0,3912,0.422364
SA_WaitingTime_Dominance,206,0.231070,0.030773,0.397383,0.020090,8,8,0,3337,0.427977
SA_WaitingTime_Dominance,207,0.290640,0.046786,0.375811,0.001574,15,15,0,3542,0.427141
SA_WaitingTime_Dominance,208,0.259137,0.045207,0.387170,0.006134,13,13,0,3370,0.426510
SA_WaitingTime_Dominance,209,0.264442,0.045851,0.382905,0.004354,14,14,0,3307,0.431522
SA_WaitingTime_Dominance,MEAN,0.265007,0.043749,0.385180,0.005280,15,15,10,3135,0.427114
