Scenario,ScenarioName,Algorithm,CapWatts,WaitingTime,Energy,PeakPowerWatts,Seed
1,Balanced,GA_WaitingTime_Dominance,17685.3,2.968000,0.063290366,17227.808,207
1,Balanced,GA_WaitingTime_Dominance,17685.3,3.068000,0.063177377,17398.666,207
1,Balanced,GA_WaitingTime_Dominance,17685.3,3.168000,0.063133772,17128.871,207
1,Balanced,GA_Energy_Dominance,17685.3,4.166000,0.063502388,17100.696,208
1,Balanced,GA_Energy_Dominance,17685.3,4.176000,0.063157918,16904.615,208
1,Balanced,GA_Energy_Dominance,17685.3,4.192000,0.063014261,17229.361,207
1,Balanced,GA_Energy_Dominance,17685.3,4.220000,0.062785571,17645.796,206
1,Balanced,GA_Energy_Dominance,17685.3,4.238000,0.061813255,17303.007,208
1,Balanced,GA_Energy_Dominance,17685.3,4.362000,0.061671172,17637.479,205
1,Balanced,GA_Energy_Dominance,17685.3,4.402000,0.061409840,17100.898,208
1,Balanced,GA_Energy_Dominance,17685.3,4.652000,0.060859100,16549.367,205
1,Balanced,GA_Energy_Dominance,17685.3,4.958000,0.060857286,16709.827,205
1,Balanced,GA_Energy_Dominance,17685.3,5.096000,0.060825803,16952.405,205
1,Balanced,GA_Energy_Dominance,17685.3,5.176000,0.060695941,16652.001,205
1,Balanced,GA_Energy_Dominance,17685.3,5.202000,0.060663006,16375.383,205
1,Balanced,GA_Energy_Dominance,17685.3,5.282000,0.060424738,16396.217,205
1,Balanced,GA_Energy_Dominance,17685.3,5.314000,0.060387228,16786.407,205
1,Balanced,GA_Energy_Dominance,17685.3,5.342000,0.060255461,17457.621,208
1,Balanced,GA_Energy_Dominance,17685.3,5.466000,0.059934986,16252.258,205
1,Balanced,GA_Energy_Dominance,17685.3,5.562000,0.059845044,16569.044,205
1,Balanced,GA_Energy_Dominance,17685.3,5.588000,0.059754271,16676.024,205
1,Balanced,GA_Energy_Dominance,17685.3,5.602000,0.059671070,16492.623,205
1,Balanced,GA_Energy_Dominance,17685.3,5.688000,0.059289015,15960.746,205
1,Balanced,GA_Energy_Dominance,17685.3,5.832000,0.059196866,15896.642,205
