Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
GA_WaitingTime_Dominance,200,0.257384,0.034498,0.357558,0.003731,25,25,4,3381,0.417773,
GA_WaitingTime_Dominance,201,0.248180,0.034597,0.363266,0.002930,25,25,0,3405,0.410474,
GA_WaitingTime_Dominance,202,0.252262,0.026128,0.364458,0.003593,22,22,0,3383,0.412942,
GA_WaitingTime_Dominance,203,0.246361,0.027147,0.372270,0.003057,11,11,0,3397,0.408508,
GA_WaitingTime_Dominance,204,0.253838,0.005460,0.383170,0.004052,9,9,0,3338,0.414314,
GA_WaitingTime_Dominance,205,0.254691,0.028988,0.357469,0.001999,34,34,0,3304,0.414982,
GA_WaitingTime_Dominance,206,0.250031,0.027768,0.362201,0.002678,25,25,0,3299,0.411901,
GA_WaitingTime_Dominance,207,0.272292,0.000000,0.372684,0.007758,7,7,7,3330,0.428818,
GA_WaitingTime_Dominance,208,0.257378,0.028149,0.360386,0.003049,22,22,5,3513,0.417522,
GA_WaitingTime_Dominance,209,0.242497,0.027038,0.368075,0.002175,19,19,0,3348,0.405876,
GA_WaitingTime_Dominance,MEAN,0.253491,0.023977,0.366154,0.003502,20,20,16,3369,0.414311,10
GA_WaitingTime_Dominance,STDDEV,0.007738,0.011055,0.007633,0.001546,,,,,0.006003,
GA_Energy_Dominance,200,0.582765,0.122798,0.178900,0.011842,46,46,0,3810,0.667011,
GA_Energy_Dominance,201,0.543162,0.164877,0.189974,0.007628,62,62,0,4083,0.639313,
GA_Energy_Dominance,202,0.587470,0.128896,0.178292,0.018362,47,47,9,3927,0.673273,
GA_Energy_Dominance,203,0.482257,0.207591,0.226812,0.018750,51,51,0,4056,0.597123,
GA_Energy_Dominance,204,0.564083,0.169976,0.186081,0.013941,53,54,0,3974,0.655806,
GA_Energy_Dominance,205,0.508098,0.104091,0.199102,0.004282,62,62,0,3453,0.595919,
GA_Energy_Dominance,206,0.545210,0.140971,0.190107,0.005411,79,79,9,4249,0.647705,
GA_Energy_Dominance,207,0.597610,0.121260,0.167509,0.008643,62,62,0,4058,0.677450,
GA_Energy_Dominance,208,0.558242,0.116214,0.180958,0.005648,47,47,0,4057,0.642996,
GA_Energy_Dominance,209,0.553928,0.150314,0.187522,0.023617,48,48,0,4186,0.637271,
GA_Energy_Dominance,MEAN,0.552283,0.142699,0.188526,0.011812,56,56,18,3985,0.643387,10
GA_Energy_Dominance,STDDEV,0.033747,0.029574,0.015118,0.006310,,,,,0.026892,
SA_WaitingTime_Dominance,200,0.263742,0.054252,0.358246,0.004313,16,16,0,2392,0.397615,
SA_WaitingTime_Dominance,201,0.251297,0.053905,0.357840,0.002484,21,21,0,2359,0.401292,
