CapTier,Algorithm,Seed,SeedUniversalFrontSize,SeedUniversalHV_fixed,ContributionCount,ContributionPct
Uncapped,GA_WaitingTime_Dominance,200,141,0.792108,0,0.000000
Uncapped,GA_WaitingTime_Dominance,201,134,0.788731,10,7.462687
Uncapped,GA_WaitingTime_Dominance,202,140,0.783748,5,3.571429
Uncapped,GA_WaitingTime_Dominance,203,136,0.787959,4,2.941176
Uncapped,GA_WaitingTime_Dominance,204,155,0.800844,5,3.225806
Uncapped,GA_WaitingTime_Dominance,205,135,0.772996,10,7.407407
Uncapped,GA_WaitingTime_Dominance,206,136,0.763246,6,4.411765
Uncapped,GA_WaitingTime_Dominance,207,148,0.802855,6,4.054054
Uncapped,GA_WaitingTime_Dominance,208,143,0.788745,1,0.699301
Uncapped,GA_WaitingTime_Dominance,209,119,0.787392,6,5.042017
Uncapped,GA_WaitingTime_Dominance,MEAN,,,5.300000,3.881564
Uncapped,GA_WaitingTime_Dominance,STDDEV,,,3.067572,2.313383
Uncapped,GA_Energy_Dominance,200,141,0.792108,64,45.390071
Uncapped,GA_Energy_Dominance,201,134,0.788731,52,38.805970
Uncapped,GA_Energy_Dominance,202,140,0.783748,57,40.714286
Uncapped,GA_Energy_Dominance,203,136,0.787959,58,42.647059
Uncapped,GA_Energy_Dominance,204,155,0.800844,67,43.225806
Uncapped,GA_Energy_Dominance,205,135,0.772996,56,41.481481
Uncapped,GA_Energy_Dominance,206,136,0.763246,45,33.088235
Uncapped,GA_Energy_Dominance,207,148,0.802855,71,47.972973
Uncapped,GA_Energy_Dominance,208,143,0.788745,67,46.853147
Uncapped,GA_Energy_Dominance,209,119,0.787392,48,40.336134
Uncapped,GA_Energy_Dominance,MEAN,,,58.500000,42.051516
Uncapped,GA_Energy_Dominance,STDDEV,,,8.212795,4.085689
Uncapped,SA_WaitingTime_Dominance,200,141,0.792108,22,15.602837
Uncapped,SA_WaitingTime_Dominance,201,134,0.788731,10,7.462687
Uncapped,SA_WaitingTime_Dominance,202,140,0.783748,10,7.142857
Uncapped,SA_WaitingTime_Dominance,203,136,0.787959,9,6.617647
Uncapped,SA_WaitingTime_Dominance,204,155,0.800844,18,11.612903
Uncapped,SA_WaitingTime_Dominance,205,135,0.772996,5,3.703704
Uncapped,SA_WaitingTime_Dominance,206,136,0.763246,23,16.911765
Uncapped,SA_WaitingTime_Dominance,207,148,0.802855,9,6.081081
Uncapped,SA_WaitingTime_Dominance,208,143,0.788745,17,11.888112
Uncapped,SA_WaitingTime_Dominance,209,119,0.787392,10,8.403361
Uncapped,SA_WaitingTime_Dominance,MEAN,,,13.300000,9.542695
Uncapped,SA_WaitingTime_Dominance,STDDEV,,,5.866004,4.084501
Uncapped,SA_Energy_Dominance,200,141,0.792108,5,3.546099
Uncapped,SA_Energy_Dominance,201,134,0.788731,5,3.731343
Uncapped,SA_Energy_Dominance,202,140,0.783748,0,0.000000
Uncapped,SA_Energy_Dominance,203,136,0.787959,11,8.088235
Uncapped,SA_Energy_Dominance,204,155,0.800844,0,0.000000
Uncapped,SA_Energy_Dominance,205,135,0.772996,2,1.481481
Uncapped,SA_Energy_Dominance,206,136,0.763246,4,2.941176
Uncapped,SA_Energy_Dominance,207,148,0.802855,3,2.027027
Uncapped,SA_Energy_Dominance,208,143,0.788745,0,0.000000
Uncapped,SA_Energy_Dominance,209,119,0.787392,3,2.521008
Uncapped,SA_Energy_Dominance,MEAN,,,3.300000,2.433637
Uncapped,SA_Energy_Dominance,STDDEV,,,3.163858,2.323812
Uncapped,NSGA-II,200,141,0.792108,31,21.985816
Uncapped,NSGA-II,201,134,0.788731,46,34.328358
Uncapped,NSGA-II,202,140,0.783748,29,20.714286
Uncapped,NSGA-II,203,136,0.787959,39,28.676471
Uncapped,NSGA-II,204,155,0.800844,33,21.290323
Uncapped,NSGA-II,205,135,0.772996,44,32.592593
Uncapped,NSGA-II,206,136,0.763246,36,26.470588
Uncapped,NSGA-II,207,148,0.802855,24,16.216216
Uncapped,NSGA-II,208,143,0.788745,32,22.377622
Uncapped,NSGA-II,209,119,0.787392,29,24.369748
Uncapped,NSGA-II,MEAN,,,34.300000,24.902202
Uncapped,NSGA-II,STDDEV,,,6.603787,5.346891
Uncapped,SPEA-II,200,141,0.792108,22,15.602837
Uncapped,SPEA-II,201,134,0.788731,12,8.955224
Uncapped,SPEA-II,202,140,0.783748,42,30.000000
Uncapped,SPEA-II,203,136,0.787959,18,13.235294
Uncapped,SPEA-II,204,155,0.800844,33,21.290323
Uncapped,SPEA-II,205,135,0.772996,20,14.814815
Uncapped,SPEA-II,206,136,0.763246,23,16.911765
Uncapped,SPEA-II,207,148,0.802855,35,23.648649
Uncapped,SPEA-II,208,143,0.788745,26,18.181818
Uncapped,SPEA-II,209,119,0.787392,23,19.327731
Uncapped,SPEA-II,MEAN,,,25.400000,18.196845
Uncapped,SPEA-II,STDDEV,,,8.440379,5.565324
Uncapped,AMOSA,200,141,0.792108,0,0.000000
Uncapped,AMOSA,201,134,0.788731,0,0.000000
Uncapped,AMOSA,202,140,0.783748,0,0.000000
Uncapped,AMOSA,203,136,0.787959,0,0.000000
Uncapped,AMOSA,204,155,0.800844,0,0.000000
Uncapped,AMOSA,205,135,0.772996,0,0.000000
Uncapped,AMOSA,206,136,0.763246,0,0.000000
Uncapped,AMOSA,207,148,0.802855,0,0.000000
Uncapped,AMOSA,208,143,0.788745,0,0.000000
Uncapped,AMOSA,209,119,0.787392,0,0.000000
Uncapped,AMOSA,MEAN,,,0.000000,0.000000
Uncapped,AMOSA,STDDEV,,,0.000000,0.000000
Uncapped,Universal_Pareto,MEAN,138.700000,0.786862,,
Uncapped,Universal_Pareto,STDDEV,9.033825,0.011167,,
PC90,GA_WaitingTime_Dominance,200,157,0.797299,0,0.000000
PC90,GA_WaitingTime_Dominance,201,143,0.804522,0,0.000000
PC90,GA_WaitingTime_Dominance,202,117,0.777318,1,0.854701
PC90,GA_WaitingTime_Dominance,203,131,0.804293,0,0.000000
PC90,GA_WaitingTime_Dominance,204,132,0.786359,5,3.787879
PC90,GA_WaitingTime_Dominance,205,147,0.806004,5,3.401361
PC90,GA_WaitingTime_Dominance,206,121,0.780456,7,5.785124
PC90,GA_WaitingTime_Dominance,207,154,0.805258,3,1.948052
PC90,GA_WaitingTime_Dominance,208,122,0.799853,0,0.000000
PC90,GA_WaitingTime_Dominance,209,136,0.796854,7,5.147059
PC90,GA_WaitingTime_Dominance,MEAN,,,2.800000,2.092417
PC90,GA_WaitingTime_Dominance,STDDEV,,,2.821347,2.159177
