CapTier,CapWatts,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
Uncapped,,GA_WaitingTime_Dominance,200,0.257384,0.034498,0.378531,0.003731,25,25,4,5240,0.417773,
Uncapped,,GA_WaitingTime_Dominance,201,0.248180,0.034597,0.386839,0.002930,25,25,0,5259,0.410474,
Uncapped,,GA_WaitingTime_Dominance,202,0.252262,0.026128,0.383899,0.003593,22,22,0,5187,0.412942,
Uncapped,,GA_WaitingTime_Dominance,203,0.246361,0.027147,0.390966,0.003057,11,11,0,5568,0.408508,
Uncapped,,GA_WaitingTime_Dominance,204,0.253838,0.005460,0.401073,0.004052,9,9,0,5548,0.414314,
Uncapped,,GA_WaitingTime_Dominance,205,0.254691,0.028988,0.380300,0.001999,34,34,0,5304,0.414982,
Uncapped,,GA_WaitingTime_Dominance,206,0.250031,0.027768,0.385030,0.002678,25,25,0,5336,0.411901,
Uncapped,,GA_WaitingTime_Dominance,207,0.272292,0.000000,0.386784,0.007758,7,7,7,5250,0.428818,
Uncapped,,GA_WaitingTime_Dominance,208,0.257378,0.028149,0.380041,0.003049,22,22,5,5045,0.417522,
Uncapped,,GA_WaitingTime_Dominance,209,0.242497,0.027038,0.390338,0.002175,19,19,0,5378,0.405876,
Uncapped,,GA_WaitingTime_Dominance,MEAN,0.253491,0.023977,0.386380,0.003502,20,20,16,5311,0.414311,10
Uncapped,,GA_WaitingTime_Dominance,STDDEV,0.007738,0.011055,0.006322,0.001546,,,,,0.006003,
Uncapped,,GA_Energy_Dominance,200,0.582765,0.097945,0.174750,0.011842,46,46,2,6097,0.667011,
Uncapped,,GA_Energy_Dominance,201,0.543162,0.144466,0.189904,0.007628,62,62,0,6729,0.639313,
Uncapped,,GA_Energy_Dominance,202,0.587470,0.098786,0.171694,0.018362,47,47,11,6470,0.673273,
Uncapped,,GA_Energy_Dominance,203,0.482257,0.184720,0.218514,0.018750,51,51,0,6634,0.597123,
Uncapped,,GA_Energy_Dominance,204,0.564083,0.144410,0.185110,0.013941,53,54,0,6477,0.655806,
Uncapped,,GA_Energy_Dominance,205,0.508098,0.104620,0.219102,0.004282,62,62,0,5411,0.595919,
Uncapped,,GA_Energy_Dominance,206,0.545210,0.119849,0.187195,0.005411,79,79,9,6934,0.647705,
Uncapped,,GA_Energy_Dominance,207,0.597610,0.100141,0.169883,0.008643,62,62,5,6052,0.677450,
Uncapped,,GA_Energy_Dominance,208,0.558242,0.103536,0.192688,0.005648,47,47,2,5790,0.642996,
Uncapped,,GA_Energy_Dominance,209,0.553928,0.129165,0.195225,0.023617,48,48,0,6473,0.637271,
Uncapped,,GA_Energy_Dominance,MEAN,0.552283,0.122764,0.190406,0.011812,56,56,29,6306,0.643387,10
Uncapped,,GA_Energy_Dominance,STDDEV,0.033747,0.026887,0.016422,0.006310,,,,,0.026892,
Uncapped,,SA_WaitingTime_Dominance,200,0.263742,0.054252,0.376032,0.004313,16,16,0,3335,0.397615,
Uncapped,,SA_WaitingTime_Dominance,201,0.251297,0.053833,0.377993,0.002484,21,21,0,3372,0.401292,
Uncapped,,SA_WaitingTime_Dominance,202,0.242469,0.037436,0.381422,0.001167,14,14,0,3443,0.400932,
Uncapped,,SA_WaitingTime_Dominance,203,0.279134,0.037948,0.369733,0.004854,10,10,0,3277,0.398194,
Uncapped,,SA_WaitingTime_Dominance,204,0.234324,0.009323,0.384906,0.003520,12,12,10,3164,0.403954,
Uncapped,,SA_WaitingTime_Dominance,205,0.333812,0.076084,0.351267,0.004308,28,29,0,3394,0.395693,
Uncapped,,SA_WaitingTime_Dominance,206,0.231070,0.030773,0.385848,0.020090,8,8,0,3228,0.401307,
Uncapped,,SA_WaitingTime_Dominance,207,0.290640,0.046786,0.364753,0.001574,15,15,0,3427,0.400553,
Uncapped,,SA_WaitingTime_Dominance,208,0.259137,0.045207,0.375919,0.006134,13,13,0,3484,0.399741,
Uncapped,,SA_WaitingTime_Dominance,209,0.264442,0.045851,0.371614,0.004354,14,14,0,3464,0.405013,
Uncapped,,SA_WaitingTime_Dominance,MEAN,0.265007,0.043749,0.373949,0.005280,15,15,10,3358,0.400429,10
Uncapped,,SA_WaitingTime_Dominance,STDDEV,0.029011,0.016433,0.009820,0.005143,,,,,0.002665,
Uncapped,,SA_Energy_Dominance,200,0.538967,0.201600,0.214364,0.002537,54,54,4,3559,0.630442,
Uncapped,,SA_Energy_Dominance,201,0.520855,0.170471,0.208825,0.003379,35,35,0,3404,0.617399,
Uncapped,,SA_Energy_Dominance,202,0.541281,0.196463,0.209050,0.003991,78,80,4,3463,0.631172,
Uncapped,,SA_Energy_Dominance,203,0.521743,0.196186,0.211595,0.007068,37,37,3,3561,0.617095,
Uncapped,,SA_Energy_Dominance,204,0.514808,0.232839,0.226038,0.002718,43,44,0,3233,0.606545,
Uncapped,,SA_Energy_Dominance,205,0.508017,0.166656,0.219285,0.007793,37,37,0,3340,0.605033,
Uncapped,,SA_Energy_Dominance,206,0.513227,0.213286,0.224591,0.004872,43,43,0,3375,0.607693,
Uncapped,,SA_Energy_Dominance,207,0.510989,0.196662,0.226020,0.009487,51,51,0,3412,0.603562,
Uncapped,,SA_Energy_Dominance,208,0.534161,0.183369,0.208440,0.004285,67,67,0,3447,0.624821,
Uncapped,,SA_Energy_Dominance,209,0.559444,0.170516,0.220660,0.004711,45,45,4,3271,0.642524,
Uncapped,,SA_Energy_Dominance,MEAN,0.526349,0.192805,0.216887,0.005084,49,49,15,3406,0.618629,10
Uncapped,,SA_Energy_Dominance,STDDEV,0.015707,0.019768,0.006918,0.002183,,,,,0.012600,
Uncapped,,NSGA-II,200,0.499062,0.023832,0.221333,0.003877,46,46,0,9395,0.599228,
Uncapped,,NSGA-II,201,0.556628,0.023283,0.175175,0.002164,48,48,0,9731,0.644324,
