Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best,ScoredSeeds
1,Balanced,GA_WaitingTime_Dominance,200,0.142155,0.003825,0.533666,0.004888,11,5,2823,2.034000,0.062984048,
1,Balanced,GA_WaitingTime_Dominance,201,0.131300,0.004118,0.546111,0.002200,8,0,2201,2.070000,0.063186210,
1,Balanced,GA_WaitingTime_Dominance,202,0.141879,0.004632,0.535045,0.002887,12,0,2255,2.054000,0.062987047,
1,Balanced,GA_WaitingTime_Dominance,203,0.137116,0.009861,0.537445,0.001901,15,0,2182,2.102000,0.063071110,
1,Balanced,GA_WaitingTime_Dominance,204,0.154396,0.002185,0.528357,0.004604,7,4,2216,2.060000,0.062751894,
1,Balanced,GA_WaitingTime_Dominance,205,0.152744,0.001114,0.533209,0.001878,8,2,2187,2.048000,0.062784192,
1,Balanced,GA_WaitingTime_Dominance,206,0.124352,0.017769,0.539039,0.013952,9,0,2260,2.046000,0.063314733,
1,Balanced,GA_WaitingTime_Dominance,207,0.133832,0.017346,0.534378,0.002632,14,0,2171,2.040000,0.063133772,
1,Balanced,GA_WaitingTime_Dominance,208,0.142434,0.002155,0.541335,0.001925,6,0,2227,2.094000,0.062974361,
1,Balanced,GA_WaitingTime_Dominance,209,0.143684,0.002512,0.539251,0.001776,9,0,2196,2.082000,0.062951770,
1,Balanced,GA_WaitingTime_Dominance,MEAN,0.140389,0.006552,0.536783,0.003864,,11,2271,2.034000,0.062751894,10
1,Balanced,GA_Energy_Dominance,200,0.670386,0.047947,0.085622,0.007008,81,8,3013,4.386000,0.047749904,
1,Balanced,GA_Energy_Dominance,201,0.663752,0.050845,0.088517,0.007900,84,14,3205,4.246000,0.047668823,
1,Balanced,GA_Energy_Dominance,202,0.660903,0.046753,0.097536,0.008122,91,3,4197,4.372000,0.048578448,
1,Balanced,GA_Energy_Dominance,203,0.631744,0.071963,0.109329,0.006291,90,14,4355,4.606000,0.046981777,
1,Balanced,GA_Energy_Dominance,204,0.659463,0.053162,0.093323,0.010147,86,0,4036,4.412000,0.048884587,
1,Balanced,GA_Energy_Dominance,205,0.574173,0.079474,0.171416,0.015186,90,10,3691,4.236000,0.052799077,
