Algorithm,Seed,SeedUniversalFrontSize,SeedUniversalHV_fixed,ContributionCount,ContributionPct
GA_WaitingTime_Dominance,200,120,0.811514,7,5.833333
GA_WaitingTime_Dominance,201,98,0.833242,9,9.183673
GA_WaitingTime_Dominance,202,132,0.847837,11,8.333333
GA_WaitingTime_Dominance,203,101,0.824075,6,5.940594
GA_WaitingTime_Dominance,204,113,0.843640,9,7.964602
GA_WaitingTime_Dominance,205,95,0.787543,14,14.736842
GA_WaitingTime_Dominance,206,130,0.842510,14,10.769231
GA_WaitingTime_Dominance,207,120,0.804333,7,5.833333
GA_WaitingTime_Dominance,208,115,0.798808,11,9.565217
GA_WaitingTime_Dominance,209,113,0.824576,10,8.849558
GA_WaitingTime_Dominance,MEAN,,,9.800000,8.700972
GA_WaitingTime_Dominance,STDDEV,,,2.638181,2.577891
GA_Energy_Dominance,200,120,0.811514,13,10.833333
GA_Energy_Dominance,201,98,0.833242,0,0.000000
GA_Energy_Dominance,202,132,0.847837,13,9.848485
GA_Energy_Dominance,203,101,0.824075,6,5.940594
GA_Energy_Dominance,204,113,0.843640,6,5.309735
GA_Energy_Dominance,205,95,0.787543,0,0.000000
GA_Energy_Dominance,206,130,0.842510,18,13.846154
GA_Energy_Dominance,207,120,0.804333,11,9.166667
GA_Energy_Dominance,208,115,0.798808,11,9.565217
GA_Energy_Dominance,209,113,0.824576,0,0.000000
GA_Energy_Dominance,MEAN,,,7.800000,6.451018
GA_Energy_Dominance,STDDEV,,,6.063003,4.784542
SA_WaitingTime_Dominance,200,120,0.811514,5,4.166667
SA_WaitingTime_Dominance,201,98,0.833242,7,7.142857
SA_WaitingTime_Dominance,202,132,0.847837,7,5.303030
SA_WaitingTime_Dominance,203,101,0.824075,8,7.920792
SA_WaitingTime_Dominance,204,113,0.843640,10,8.849558
SA_WaitingTime_Dominance,205,95,0.787543,0,0.000000
SA_WaitingTime_Dominance,206,130,0.842510,4,3.076923
SA_WaitingTime_Dominance,207,120,0.804333,4,3.333333
SA_WaitingTime_Dominance,208,115,0.798808,5,4.347826
SA_WaitingTime_Dominance,209,113,0.824576,5,4.424779
SA_WaitingTime_Dominance,MEAN,,,5.500000,4.856576
SA_WaitingTime_Dominance,STDDEV,,,2.578759,2.464848
SA_Energy_Dominance,200,120,0.811514,4,3.333333
SA_Energy_Dominance,201,98,0.833242,3,3.061224
SA_Energy_Dominance,202,132,0.847837,0,0.000000
SA_Energy_Dominance,203,101,0.824075,4,3.960396
SA_Energy_Dominance,204,113,0.843640,5,4.424779
SA_Energy_Dominance,205,95,0.787543,3,3.157895
SA_Energy_Dominance,206,130,0.842510,3,2.307692
SA_Energy_Dominance,207,120,0.804333,4,3.333333
SA_Energy_Dominance,208,115,0.798808,0,0.000000
SA_Energy_Dominance,209,113,0.824576,4,3.539823
SA_Energy_Dominance,MEAN,,,3.000000,2.711848
SA_Energy_Dominance,STDDEV,,,1.612452,1.454085
NSGA-II,200,120,0.811514,35,29.166667
NSGA-II,201,98,0.833242,39,39.795918
NSGA-II,202,132,0.847837,29,21.969697
NSGA-II,203,101,0.824075,27,26.732673
NSGA-II,204,113,0.843640,45,39.823009
NSGA-II,205,95,0.787543,38,40.000000
NSGA-II,206,130,0.842510,13,10.000000
NSGA-II,207,120,0.804333,36,30.000000
NSGA-II,208,115,0.798808,38,33.043478
NSGA-II,209,113,0.824576,14,12.389381
NSGA-II,MEAN,,,31.400000,28.292082
NSGA-II,STDDEV,,,10.150862,10.288508
SPEA-II,200,120,0.811514,19,15.833333
SPEA-II,201,98,0.833242,18,18.367347
SPEA-II,202,132,0.847837,31,23.484848
SPEA-II,203,101,0.824075,1,0.990099
SPEA-II,204,113,0.843640,11,9.734513
SPEA-II,205,95,0.787543,17,17.894737
SPEA-II,206,130,0.842510,35,26.923077
SPEA-II,207,120,0.804333,34,28.333333
SPEA-II,208,115,0.798808,18,15.652174
SPEA-II,209,113,0.824576,36,31.858407
SPEA-II,MEAN,,,22.000000,18.907187
SPEA-II,STDDEV,,,11.036304,8.765363
AMOSA,200,120,0.811514,0,0.000000
AMOSA,201,98,0.833242,0,0.000000
AMOSA,202,132,0.847837,0,0.000000
AMOSA,203,101,0.824075,0,0.000000
AMOSA,204,113,0.843640,0,0.000000
AMOSA,205,95,0.787543,0,0.000000
AMOSA,206,130,0.842510,0,0.000000
AMOSA,207,120,0.804333,0,0.000000
AMOSA,208,115,0.798808,0,0.000000
AMOSA,209,113,0.824576,0,0.000000
AMOSA,MEAN,,,0.000000,0.000000
AMOSA,STDDEV,,,0.000000,0.000000
GA_WaitingTime_Dominance_PC90,200,120,0.811514,0,0.000000
GA_WaitingTime_Dominance_PC90,201,98,0.833242,0,0.000000
GA_WaitingTime_Dominance_PC90,202,132,0.847837,0,0.000000
GA_WaitingTime_Dominance_PC90,203,101,0.824075,0,0.000000
GA_WaitingTime_Dominance_PC90,204,113,0.843640,0,0.000000
GA_WaitingTime_Dominance_PC90,205,95,0.787543,0,0.000000
GA_WaitingTime_Dominance_PC90,206,130,0.842510,0,0.000000
GA_WaitingTime_Dominance_PC90,207,120,0.804333,0,0.000000
GA_WaitingTime_Dominance_PC90,208,115,0.798808,0,0.000000
GA_WaitingTime_Dominance_PC90,209,113,0.824576,0,0.000000
GA_WaitingTime_Dominance_PC90,MEAN,,,0.000000,0.000000
GA_WaitingTime_Dominance_PC90,STDDEV,,,0.000000,0.000000
GA_Energy_Dominance_PC90,200,120,0.811514,18,15.000000
GA_Energy_Dominance_PC90,201,98,0.833242,11,11.224490
GA_Energy_Dominance_PC90,202,132,0.847837,14,10.606061
GA_Energy_Dominance_PC90,203,101,0.824075,16,15.841584
GA_Energy_Dominance_PC90,204,113,0.843640,3,2.654867
GA_Energy_Dominance_PC90,205,95,0.787543,0,0.000000
GA_Energy_Dominance_PC90,206,130,0.842510,14,10.769231
