Algorithm,WaitingTime,Energy
GA_WaitingTime_Dominance,2.034000,0.063541221
GA_WaitingTime_Dominance,2.036000,0.063298881
GA_WaitingTime_Dominance,2.038000,0.063275570
GA_WaitingTime_Dominance,2.042000,0.063199902
GA_WaitingTime_Dominance,2.054000,0.063132510
GA_WaitingTime_Dominance,2.056000,0.063077953
GA_WaitingTime_Dominance,2.076000,0.063044861
GA_WaitingTime_Dominance,2.078000,0.063001000
GA_WaitingTime_Dominance,2.084000,0.062889470
GA_WaitingTime_Dominance,2.102000,0.062803873
GA_WaitingTime_Dominance,2.108000,0.062769294
GA_WaitingTime_Dominance,2.426000,0.062751894
GA_Energy_Dominance,4.166000,0.063502388
GA_Energy_Dominance,4.176000,0.063157918
GA_Energy_Dominance,4.192000,0.063014261
GA_Energy_Dominance,4.220000,0.062785571
GA_Energy_Dominance,4.238000,0.061813255
GA_Energy_Dominance,4.362000,0.061671172
GA_Energy_Dominance,4.402000,0.061409840
GA_Energy_Dominance,4.652000,0.060859100
GA_Energy_Dominance,4.958000,0.060857286
GA_Energy_Dominance,5.096000,0.060825803
GA_Energy_Dominance,5.176000,0.060695941
GA_Energy_Dominance,5.202000,0.060663006
GA_Energy_Dominance,5.282000,0.060424738
GA_Energy_Dominance,5.314000,0.060387228
GA_Energy_Dominance,5.342000,0.060255461
GA_Energy_Dominance,5.466000,0.059934986
GA_Energy_Dominance,5.502000,0.059921035
GA_Energy_Dominance,5.562000,0.059845044
GA_Energy_Dominance,5.588000,0.059754271
GA_Energy_Dominance,5.602000,0.059671070
GA_Energy_Dominance,5.688000,0.059289015
GA_Energy_Dominance,5.832000,0.059196866
GA_Energy_Dominance,5.872000,0.059092039
GA_Energy_Dominance,5.960000,0.058904104
GA_Energy_Dominance,6.060000,0.058845411
GA_Energy_Dominance,6.154000,0.058829363
GA_Energy_Dominance,6.236000,0.058765228
GA_Energy_Dominance,6.282000,0.058715085
GA_Energy_Dominance,6.332000,0.058682487
GA_Energy_Dominance,6.380000,0.058560106
GA_Energy_Dominance,6.420000,0.058466800
GA_Energy_Dominance,6.430000,0.058376236
GA_Energy_Dominance,6.514000,0.058347346
GA_Energy_Dominance,6.640000,0.058319931
GA_Energy_Dominance,6.664000,0.058053964
