Algorithm,Seed,SeedUniversalFrontSize,SeedUniversalHV_fixed,ContributionCount,ContributionPct
GA_WaitingTime_Dominance,200,147,0.801296,10,6.802721
GA_WaitingTime_Dominance,201,146,0.803023,8,5.479452
GA_WaitingTime_Dominance,202,144,0.786865,12,8.333333
GA_WaitingTime_Dominance,203,155,0.783859,15,9.677419
GA_WaitingTime_Dominance,204,129,0.778477,7,5.426357
GA_WaitingTime_Dominance,205,122,0.685505,8,6.557377
GA_WaitingTime_Dominance,206,123,0.765799,8,6.504065
GA_WaitingTime_Dominance,207,121,0.776010,9,7.438017
GA_WaitingTime_Dominance,208,141,0.759802,6,4.255319
GA_WaitingTime_Dominance,209,146,0.777278,9,6.164384
GA_WaitingTime_Dominance,MEAN,,,9.200000,6.663844
GA_WaitingTime_Dominance,STDDEV,,,2.481935,1.466593
GA_Energy_Dominance,200,147,0.801296,52,35.374150
GA_Energy_Dominance,201,146,0.803023,55,37.671233
GA_Energy_Dominance,202,144,0.786865,60,41.666667
GA_Energy_Dominance,203,155,0.783859,61,39.354839
GA_Energy_Dominance,204,129,0.778477,53,41.085271
GA_Energy_Dominance,205,122,0.685505,26,21.311475
GA_Energy_Dominance,206,123,0.765799,39,31.707317
GA_Energy_Dominance,207,121,0.776010,35,28.925620
GA_Energy_Dominance,208,141,0.759802,62,43.971631
GA_Energy_Dominance,209,146,0.777278,59,40.410959
GA_Energy_Dominance,MEAN,,,50.200000,36.147916
GA_Energy_Dominance,STDDEV,,,11.855800,6.628892
SA_WaitingTime_Dominance,200,147,0.801296,9,6.122449
SA_WaitingTime_Dominance,201,146,0.803023,6,4.109589
SA_WaitingTime_Dominance,202,144,0.786865,8,5.555556
SA_WaitingTime_Dominance,203,155,0.783859,8,5.161290
SA_WaitingTime_Dominance,204,129,0.778477,13,10.077519
SA_WaitingTime_Dominance,205,122,0.685505,12,9.836066
SA_WaitingTime_Dominance,206,123,0.765799,8,6.504065
SA_WaitingTime_Dominance,207,121,0.776010,18,14.876033
SA_WaitingTime_Dominance,208,141,0.759802,10,7.092199
SA_WaitingTime_Dominance,209,146,0.777278,5,3.424658
SA_WaitingTime_Dominance,MEAN,,,9.700000,7.275942
SA_WaitingTime_Dominance,STDDEV,,,3.606938,3.262119
SA_Energy_Dominance,200,147,0.801296,0,0.000000
SA_Energy_Dominance,201,146,0.803023,5,3.424658
SA_Energy_Dominance,202,144,0.786865,4,2.777778
SA_Energy_Dominance,203,155,0.783859,5,3.225806
SA_Energy_Dominance,204,129,0.778477,5,3.875969
SA_Energy_Dominance,205,122,0.685505,8,6.557377
SA_Energy_Dominance,206,123,0.765799,5,4.065041
SA_Energy_Dominance,207,121,0.776010,10,8.264463
SA_Energy_Dominance,208,141,0.759802,0,0.000000
SA_Energy_Dominance,209,146,0.777278,29,19.863014
SA_Energy_Dominance,MEAN,,,7.100000,5.205410
SA_Energy_Dominance,STDDEV,,,7.854298,5.443112
NSGA-II,200,147,0.801296,32,21.768707
NSGA-II,201,146,0.803023,42,28.767123
NSGA-II,202,144,0.786865,35,24.305556
NSGA-II,203,155,0.783859,35,22.580645
NSGA-II,204,129,0.778477,12,9.302326
NSGA-II,205,122,0.685505,43,35.245902
NSGA-II,206,123,0.765799,33,26.829268
NSGA-II,207,121,0.776010,32,26.446281
NSGA-II,208,141,0.759802,38,26.950355
NSGA-II,209,146,0.777278,35,23.972603
NSGA-II,MEAN,,,33.700000,24.616877
NSGA-II,STDDEV,,,8.100000,6.254543
SPEA-II,200,147,0.801296,35,23.809524
SPEA-II,201,146,0.803023,14,9.589041
SPEA-II,202,144,0.786865,20,13.888889
SPEA-II,203,155,0.783859,11,7.096774
SPEA-II,204,129,0.778477,39,30.232558
SPEA-II,205,122,0.685505,2,1.639344
SPEA-II,206,123,0.765799,27,21.951220
SPEA-II,207,121,0.776010,8,6.611570
SPEA-II,208,141,0.759802,9,6.382979
SPEA-II,209,146,0.777278,11,7.534247
SPEA-II,MEAN,,,17.600000,12.873615
SPEA-II,STDDEV,,,11.680753,8.857654
AMOSA,200,147,0.801296,11,7.482993
AMOSA,201,146,0.803023,18,12.328767
AMOSA,202,144,0.786865,12,8.333333
AMOSA,203,155,0.783859,30,19.354839
AMOSA,204,129,0.778477,0,0.000000
AMOSA,205,122,0.685505,24,19.672131
AMOSA,206,123,0.765799,6,4.878049
AMOSA,207,121,0.776010,11,9.090909
AMOSA,208,141,0.759802,21,14.893617
AMOSA,209,146,0.777278,5,3.424658
AMOSA,MEAN,,,13.800000,9.945930
AMOSA,STDDEV,,,8.852118,6.243505
Universal_Pareto,MEAN,137.400000,0.771791,,
Universal_Pareto,STDDEV,11.791522,0.031522,,
