Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best,ScoredSeeds
1,Balanced,GA_WaitingTime_Dominance,200,0.142155,0.003271,0.536205,0.004888,11,5,3128,2.034000,0.062984048,
1,Balanced,GA_WaitingTime_Dominance,201,0.131300,0.004118,0.548643,0.002200,8,0,3235,2.070000,0.063186210,
1,Balanced,GA_WaitingTime_Dominance,202,0.141879,0.004383,0.537565,0.002887,12,0,3269,2.054000,0.062987047,
1,Balanced,GA_WaitingTime_Dominance,203,0.137116,0.009861,0.539862,0.001901,15,0,3255,2.102000,0.063071110,
1,Balanced,GA_WaitingTime_Dominance,204,0.154396,0.000622,0.531055,0.004604,7,5,3209,2.060000,0.062751894,
1,Balanced,GA_WaitingTime_Dominance,205,0.152744,0.001114,0.535969,0.001878,8,2,3179,2.048000,0.062784192,
1,Balanced,GA_WaitingTime_Dominance,206,0.124352,0.017590,0.541278,0.013952,9,0,3099,2.046000,0.063314733,
1,Balanced,GA_WaitingTime_Dominance,207,0.133832,0.016575,0.536507,0.002632,14,0,3147,2.040000,0.063133772,
1,Balanced,GA_WaitingTime_Dominance,208,0.142434,0.002155,0.544043,0.001925,6,0,3090,2.094000,0.062974361,
1,Balanced,GA_WaitingTime_Dominance,209,0.143684,0.002512,0.541894,0.001776,9,0,3127,2.082000,0.062951770,
1,Balanced,GA_WaitingTime_Dominance,MEAN,0.140389,0.006220,0.539302,0.003864,,12,3173,2.034000,0.062751894,10
1,Balanced,GA_Energy_Dominance,200,0.670386,0.045318,0.089408,0.007008,81,18,4368,4.386000,0.047749904,
1,Balanced,GA_Energy_Dominance,201,0.663752,0.047620,0.092243,0.007900,84,18,4434,4.246000,0.047668823,
1,Balanced,GA_Energy_Dominance,202,0.660903,0.043820,0.101543,0.008122,91,13,4160,4.372000,0.048578448,
1,Balanced,GA_Energy_Dominance,203,0.631744,0.070120,0.113704,0.006291,90,14,4298,4.606000,0.046981777,
