Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
GA_Makespan,200,0.000000,0.222641,0.709995,0.000000,1,1,0,1816
GA_Makespan,201,0.000000,0.239463,0.717140,0.000000,1,1,0,1798
GA_Makespan,202,0.000000,0.245740,0.719806,0.000000,1,1,0,1804
GA_Makespan,203,0.000000,0.272342,0.731109,0.000000,1,1,0,1803
GA_Makespan,204,0.000000,0.121096,0.663518,0.000000,1,1,0,1800
GA_Makespan,205,0.000000,0.221082,0.709333,0.000000,1,1,0,1810
GA_Makespan,206,0.000000,0.220494,0.709083,0.000000,1,1,0,1786
GA_Makespan,207,0.000000,0.224500,0.710784,0.000000,1,1,0,1822
GA_Makespan,208,0.000000,0.229149,0.712759,0.000000,1,1,0,1799
GA_Makespan,209,0.000000,0.266563,0.728653,0.000000,1,1,0,1821
GA_Makespan,MEAN,0.000000,0.226307,0.711218,0.000000,1,1,0,1805
GA_Makespan,STDDEV,0.000000,0.039301,0.017595,0.000000,,,,
GA_Energy,200,0.549621,0.076148,0.422120,0.000000,1,1,0,1902
GA_Energy,201,0.580177,0.030370,0.411888,0.000000,1,1,0,1897
GA_Energy,202,0.536093,0.076797,0.417434,0.000000,1,1,0,1894
GA_Energy,203,0.565474,0.045774,0.413057,0.000000,1,1,0,1897
GA_Energy,204,0.605496,0.045201,0.423227,0.000000,1,1,0,1892
GA_Energy,205,0.606361,0.000000,0.410271,0.000000,1,1,1,1880
GA_Energy,206,0.573292,0.045825,0.416036,0.000000,1,1,0,1896
GA_Energy,207,0.554642,0.077274,0.424039,0.000000,1,1,0,1895
GA_Energy,208,0.578534,0.068435,0.425897,0.000000,1,1,0,1890
GA_Energy,209,0.575377,0.046300,0.416874,0.000000,1,1,0,1896
GA_Energy,MEAN,0.572507,0.051212,0.418084,0.000000,1,1,1,1893
GA_Energy,STDDEV,0.021346,0.023298,0.005196,0.000000,,,,
SA_Makespan,200,0.497982,0.037618,0.375876,0.000000,1,1,0,782
SA_Makespan,201,0.527147,0.000000,0.377916,0.000000,1,1,1,788
SA_Makespan,202,0.251832,0.193220,0.670926,0.000000,1,1,0,817
SA_Makespan,203,0.530304,0.006053,0.376904,0.000000,1,1,0,815
SA_Makespan,204,0.301043,0.142875,0.645917,0.000000,1,1,0,812
SA_Makespan,205,0.228160,0.217400,0.699823,0.000000,1,1,0,830
SA_Makespan,206,0.535349,0.000000,0.377326,0.000000,1,1,1,829
SA_Makespan,207,0.470996,0.025868,0.379717,0.000000,1,1,0,773
SA_Makespan,208,0.480537,0.045512,0.376412,0.000000,1,1,0,764
SA_Makespan,209,0.570383,0.000000,0.387120,0.000000,1,1,1,1247
SA_Makespan,MEAN,0.439373,0.066855,0.466794,0.000000,1,1,3,845
SA_Makespan,STDDEV,0.121406,0.080316,0.135058,0.000000,,,,
SA_Energy,200,0.172392,0.189066,0.748164,0.000000,1,1,0,1256
SA_Energy,201,0.240444,0.204582,0.685743,0.000000,1,1,0,783
SA_Energy,202,0.351659,0.093466,0.622373,0.000000,1,1,0,813
SA_Energy,203,0.133487,0.137986,0.794174,0.000000,1,1,0,820
SA_Energy,204,0.353191,0.092578,0.624276,0.000000,1,1,0,809
SA_Energy,205,0.449443,0.000000,0.571837,0.000000,1,1,1,813
SA_Energy,206,0.000000,0.000000,0.907589,0.000000,1,1,1,834
SA_Energy,207,0.221308,0.227768,0.723682,0.000000,1,1,0,836
SA_Energy,208,0.413408,0.033514,0.584415,0.000000,1,1,0,851
SA_Energy,209,0.261996,0.183980,0.684816,0.000000,1,1,0,854
SA_Energy,MEAN,0.259733,0.116294,0.694707,0.000000,1,1,2,866
SA_Energy,STDDEV,0.130258,0.080965,0.098256,0.000000,,,,
GA_Makespan_Dominance,200,0.053614,0.195169,0.644595,0.006938,5,5,0,1815
GA_Makespan_Dominance,201,0.054429,0.203948,0.654913,0.023773,4,4,0,1801
GA_Makespan_Dominance,202,0.129765,0.164664,0.572104,0.047953,4,4,0,1802
GA_Makespan_Dominance,203,0.048440,0.252536,0.676285,0.015367,3,3,0,1807
GA_Makespan_Dominance,204,0.025966,0.122093,0.631657,0.011654,4,4,0,1805
GA_Makespan_Dominance,205,0.083248,0.181705,0.619358,0.008010,3,3,0,1807
GA_Makespan_Dominance,206,0.046217,0.196968,0.659412,0.000000,2,2,0,1792
