Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
GA_Makespan_Dominance,200,0.038057,0.100555,0.658236,0.004697,6,6,0,2573
GA_Makespan_Dominance,201,0.203974,0.140108,0.570132,0.049061,5,5,0,1916
GA_Makespan_Dominance,202,0.153600,0.124083,0.599991,0.027224,6,6,0,1892
GA_Makespan_Dominance,203,0.042217,0.072011,0.663632,0.006159,4,4,0,1832
GA_Makespan_Dominance,204,0.163537,0.142937,0.594688,0.025581,6,6,0,1816
GA_Makespan_Dominance,205,0.106668,0.142679,0.603089,0.034206,6,6,0,1823
GA_Makespan_Dominance,206,0.073208,0.111596,0.639047,0.007901,6,6,0,1822
GA_Makespan_Dominance,207,0.058957,0.098045,0.659282,0.014142,4,4,0,1828
GA_Makespan_Dominance,208,0.058112,0.167686,0.606060,0.144596,6,6,0,1826
GA_Makespan_Dominance,209,0.154700,0.130556,0.574575,0.020684,6,6,0,1830
GA_Makespan_Dominance,MEAN,0.105303,0.123026,0.616873,0.033425,6,6,0,1915
GA_Makespan_Dominance,STDDEV,0.056399,0.026437,0.033534,0.039317,,,,
GA_Energy_Dominance,200,0.529667,0.126953,0.165291,0.094870,12,12,0,1954
GA_Energy_Dominance,201,0.517123,0.133100,0.181321,0.132974,9,9,0,1944
GA_Energy_Dominance,202,0.511734,0.168053,0.179802,0.070280,14,14,0,1896
GA_Energy_Dominance,203,0.420381,0.204374,0.246733,0.121796,13,13,0,1895
GA_Energy_Dominance,204,0.518351,0.120183,0.191510,0.131579,11,11,1,1920
GA_Energy_Dominance,205,0.555384,0.103819,0.139605,0.046332,17,17,1,1925
GA_Energy_Dominance,206,0.457427,0.173671,0.207472,0.067295,15,15,0,1924
GA_Energy_Dominance,207,0.507795,0.144065,0.172927,0.066134,13,13,0,1920
GA_Energy_Dominance,208,0.502466,0.173917,0.192428,0.074541,13,13,0,1922
GA_Energy_Dominance,209,0.512189,0.169337,0.191718,0.038271,15,15,0,1920
GA_Energy_Dominance,MEAN,0.503252,0.151747,0.186881,0.084407,13,13,2,1922
GA_Energy_Dominance,STDDEV,0.036023,0.029380,0.026568,0.032547,,,,
SA_Makespan_Dominance,200,0.480171,0.116135,0.288886,0.054090,5,5,0,1308
SA_Makespan_Dominance,201,0.372484,0.102197,0.360521,0.006972,4,4,0,807
SA_Makespan_Dominance,202,0.516544,0.096738,0.225345,0.029816,6,6,0,1345
SA_Makespan_Dominance,203,0.290309,0.042234,0.470376,0.000000,2,2,0,805
SA_Makespan_Dominance,204,0.526015,0.066043,0.212310,0.027333,6,6,1,819
SA_Makespan_Dominance,205,0.528429,0.041223,0.210296,0.028866,6,6,3,825
SA_Makespan_Dominance,206,0.549320,0.111864,0.214302,0.133616,5,5,0,822
SA_Makespan_Dominance,207,0.406476,0.014818,0.386539,0.000000,2,2,1,799
SA_Makespan_Dominance,208,0.329465,0.044154,0.415562,0.032585,3,3,1,803
SA_Makespan_Dominance,209,0.478260,0.000000,0.317975,0.016168,3,3,3,792
SA_Makespan_Dominance,MEAN,0.447747,0.063541,0.310211,0.032945,4,4,9,912
SA_Makespan_Dominance,STDDEV,0.087071,0.039298,0.090329,0.037104,,,,
SA_Energy_Dominance,200,0.233184,0.222613,0.339721,0.143322,10,10,0,864
SA_Energy_Dominance,201,0.454406,0.156990,0.215670,0.075887,9,9,0,819
SA_Energy_Dominance,202,0.193907,0.317968,0.369331,0.143199,7,7,0,815
SA_Energy_Dominance,203,0.522350,0.078312,0.183614,0.112580,7,7,3,1304
SA_Energy_Dominance,204,0.064176,0.388398,0.427186,0.247091,8,8,1,818
SA_Energy_Dominance,205,0.516368,0.118339,0.191170,0.075714,8,8,2,824
SA_Energy_Dominance,206,0.267652,0.244493,0.339955,0.090849,13,13,0,835
SA_Energy_Dominance,207,0.485737,0.174459,0.211196,0.020689,9,9,1,832
SA_Energy_Dominance,208,0.448445,0.146928,0.216399,0.102051,10,10,0,836
SA_Energy_Dominance,209,0.412886,0.217273,0.244287,0.138724,11,11,1,1304
SA_Energy_Dominance,MEAN,0.359911,0.206577,0.273853,0.115011,9,9,7,925
SA_Energy_Dominance,STDDEV,0.150286,0.088635,0.082341,0.056862,,,,
NSGA-II,200,0.309516,0.287289,0.339377,0.019896,23,23,0,2706
NSGA-II,201,0.309042,0.260591,0.340525,0.021528,17,17,0,2580
NSGA-II,202,0.322664,0.291157,0.321032,0.023102,18,18,0,2575
NSGA-II,203,0.299606,0.282818,0.341121,0.057931,17,17,0,2569
NSGA-II,204,0.335654,0.266778,0.312426,0.035069,17,17,0,2571
NSGA-II,205,0.320582,0.287312,0.329596,0.026609,21,21,0,2558
NSGA-II,206,0.292722,0.278977,0.348882,0.016465,24,24,0,2579
NSGA-II,207,0.327596,0.287912,0.314751,0.044505,18,18,0,2591
NSGA-II,208,0.290957,0.291459,0.351448,0.034192,21,21,0,2576
NSGA-II,209,0.338850,0.270297,0.323106,0.045826,22,22,0,2582
NSGA-II,MEAN,0.314719,0.280459,0.332226,0.032512,20,20,0,2588
NSGA-II,STDDEV,0.016187,0.010380,0.013262,0.012796,,,,
SPEA-II,200,0.294756,0.269375,0.343554,0.047434,19,19,0,3252
SPEA-II,201,0.314205,0.285626,0.348062,0.048761,22,22,0,3222
SPEA-II,202,0.291511,0.253405,0.355424,0.018228,18,18,0,3197
SPEA-II,203,0.300053,0.264238,0.338207,0.054886,19,19,0,3199
SPEA-II,204,0.297325,0.249717,0.353660,0.029154,18,18,0,3202
SPEA-II,205,0.298666,0.258611,0.342743,0.028051,19,19,0,3224
SPEA-II,206,0.324151,0.248617,0.319049,0.037447,21,21,0,3186
SPEA-II,207,0.337180,0.226654,0.293209,0.048695,14,14,0,3158
SPEA-II,208,0.324251,0.260194,0.327633,0.026787,20,20,0,3191
SPEA-II,209,0.292845,0.263725,0.343220,0.074434,16,16,0,3212
SPEA-II,MEAN,0.307494,0.258016,0.336476,0.041388,19,19,0,3204
SPEA-II,STDDEV,0.015341,0.014594,0.017834,0.015847,,,,
AMOSA,200,0.056871,0.210504,0.575615,0.072260,7,7,0,4136
AMOSA,201,0.065530,0.179749,0.571157,0.229431,9,9,0,4108
AMOSA,202,0.061858,0.109278,0.582392,0.102181,6,6,0,4111
AMOSA,203,0.044267,0.216443,0.588689,0.052160,7,7,0,4108
AMOSA,204,0.060345,0.151576,0.578209,0.086265,5,5,0,4103
AMOSA,205,0.067138,0.190364,0.569519,0.010527,9,9,0,4110
AMOSA,206,0.061581,0.143239,0.589776,0.019120,9,9,0,4110
AMOSA,207,0.075801,0.153069,0.568876,0.045129,10,10,0,4109
AMOSA,208,0.067613,0.177586,0.570752,0.060690,6,6,0,4103
AMOSA,209,0.064015,0.202778,0.574789,0.038117,7,7,0,4111
AMOSA,MEAN,0.062502,0.173459,0.576977,0.071588,8,8,0,4110
AMOSA,STDDEV,0.007785,0.032170,0.007296,0.059046,,,,
Universal_Pareto,ALL,0.755539,0.000000,0.000000,0.000000,18,18,18,0
