Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,Makespan_Best,Energy_Best
1,Balanced,FirstAvailable,200,0.000000,1.243800,1.314847,0.000000,1,0,50,300.000000,1.413315062
1,Balanced,FirstAvailable,201,0.000000,1.243800,1.314847,0.000000,1,0,16,300.000000,1.413315062
1,Balanced,FirstAvailable,202,0.000000,1.243800,1.314847,0.000000,1,0,483,300.000000,1.413315062
1,Balanced,FirstAvailable,203,0.000000,1.243800,1.314847,0.000000,1,0,6,300.000000,1.413315062
1,Balanced,FirstAvailable,204,0.000000,1.243800,1.314847,0.000000,1,0,5,300.000000,1.413315062
1,Balanced,FirstAvailable,205,0.000000,1.243800,1.314847,0.000000,1,0,5,300.000000,1.413315062
1,Balanced,FirstAvailable,206,0.000000,1.243800,1.314847,0.000000,1,0,5,300.000000,1.413315062
1,Balanced,FirstAvailable,207,0.000000,1.243800,1.314847,0.000000,1,0,4,300.000000,1.413315062
1,Balanced,FirstAvailable,208,0.000000,1.243800,1.314847,0.000000,1,0,4,300.000000,1.413315062
1,Balanced,FirstAvailable,209,0.000000,1.243800,1.314847,0.000000,1,0,4,300.000000,1.413315062
1,Balanced,FirstAvailable,MEAN,0.000000,1.243800,1.314847,0.000000,,0,58,300.000000,1.413315062
1,Balanced,ShortestQueue,200,0.000000,1.054663,1.205613,0.000000,1,0,5,180.000000,0.686090227
1,Balanced,ShortestQueue,201,0.000000,1.054663,1.205613,0.000000,1,0,3,180.000000,0.686090227
1,Balanced,ShortestQueue,202,0.000000,1.054663,1.205613,0.000000,1,0,4,180.000000,0.686090227
1,Balanced,ShortestQueue,203,0.000000,1.054663,1.205613,0.000000,1,0,4,180.000000,0.686090227
1,Balanced,ShortestQueue,204,0.000000,1.054663,1.205613,0.000000,1,0,3,180.000000,0.686090227
1,Balanced,ShortestQueue,205,0.000000,1.054663,1.205613,0.000000,1,0,3,180.000000,0.686090227
1,Balanced,ShortestQueue,206,0.000000,1.054663,1.205613,0.000000,1,0,3,180.000000,0.686090227
