Scenario,Algorithm,Uncapped,190kW,120kW
Balanced,AMOSA,0.148558,0.159236,0.411843
Balanced,GA_Energy_Dominance,0.137045,0.140571,0.506171
Balanced,GA_WaitingTime_Dominance,0.177974,0.298632,0.555352
Balanced,NSGA-II,0.070129,0.137346,0.293528
Balanced,SA_Energy_Dominance,0.142508,0.145694,0.594347
Balanced,SA_WaitingTime_Dominance,0.191846,0.35115,0.355145
Balanced,SPEA-II,0.067752,0.131402,0.268384
CPU_Stress,AMOSA,0.133945,0.15714,0.183366
CPU_Stress,GA_Energy_Dominance,0.112306,0.114626,0.123268
CPU_Stress,GA_WaitingTime_Dominance,0.233946,0.270173,0.589885
CPU_Stress,NSGA-II,0.075641,0.083916,0.166032
CPU_Stress,SA_Energy_Dominance,0.124632,0.131432,0.241069
CPU_Stress,SA_WaitingTime_Dominance,0.24858,0.36635,0.473889
CPU_Stress,SPEA-II,0.069862,0.081702,0.163877
GPU_Stress,AMOSA,0.137787,0.180022,0.491443
GPU_Stress,GA_Energy_Dominance,0.141238,0.168352,0.621409
GPU_Stress,GA_WaitingTime_Dominance,0.158182,0.50507,0.50507
GPU_Stress,NSGA-II,0.062234,0.143951,0.3577
GPU_Stress,SA_Energy_Dominance,0.165447,0.179604,0.612294
GPU_Stress,SA_WaitingTime_Dominance,0.164714,0.383094,0.383094
GPU_Stress,SPEA-II,0.061943,0.134063,0.353497
