Scenario,Algorithm,Uncapped,190kW,120kW
Balanced,AMOSA,4047.0,8812.0,8593.0
Balanced,GA_Energy_Dominance,1962.0,6089.0,6089.0
Balanced,GA_WaitingTime_Dominance,1951.0,6571.0,6574.0
Balanced,NSGA-II,2554.0,7266.0,7015.0
Balanced,SA_Energy_Dominance,892.0,4540.0,4524.0
Balanced,SA_WaitingTime_Dominance,821.0,5342.0,5339.0
Balanced,SPEA-II,3144.0,7944.0,7551.0
CPU_Stress,AMOSA,4142.0,8680.0,8670.0
CPU_Stress,GA_Energy_Dominance,1945.0,6021.0,6015.0
CPU_Stress,GA_WaitingTime_Dominance,1861.0,6535.0,6495.0
CPU_Stress,NSGA-II,2502.0,7080.0,7064.0
CPU_Stress,SA_Energy_Dominance,853.0,4453.0,4448.0
CPU_Stress,SA_WaitingTime_Dominance,784.0,5245.0,5254.0
CPU_Stress,SPEA-II,3147.0,7754.0,7669.0
GPU_Stress,AMOSA,4095.0,8598.0,8507.0
GPU_Stress,GA_Energy_Dominance,1944.0,5777.0,5745.0
GPU_Stress,GA_WaitingTime_Dominance,1921.0,6634.0,6634.0
GPU_Stress,NSGA-II,2642.0,7087.0,6708.0
GPU_Stress,SA_Energy_Dominance,853.0,4341.0,4322.0
GPU_Stress,SA_WaitingTime_Dominance,807.0,5284.0,5282.0
GPU_Stress,SPEA-II,3248.0,7691.0,7201.0
