Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,Makespan_Best,Energy_Best
1,Balanced,GA_Makespan_Dominance,200,0.039522,0.268924,0.788013,0.049651,5,0,3261,20.000000,0.065464588
1,Balanced,GA_Makespan_Dominance,201,0.094407,0.134534,0.740232,0.037637,3,0,2878,20.928571,0.062950738
1,Balanced,GA_Makespan_Dominance,202,0.058671,0.181441,0.781435,0.005554,5,0,2276,20.000000,0.063928827
1,Balanced,GA_Makespan_Dominance,203,0.008030,0.202072,0.740991,0.095267,4,0,2302,21.000000,0.063763629
1,Balanced,GA_Makespan_Dominance,204,0.063516,0.214919,0.791639,0.016119,7,0,2337,20.000000,0.064697055
1,Balanced,GA_Makespan_Dominance,205,0.018408,0.152689,0.796571,0.000000,2,0,2318,21.000000,0.063534770
1,Balanced,GA_Makespan_Dominance,206,0.018194,0.182699,0.792818,0.000966,4,0,2297,21.000000,0.063913970
1,Balanced,GA_Makespan_Dominance,207,0.011831,0.169906,0.806984,0.000189,3,0,2332,21.000000,0.063831501
1,Balanced,GA_Makespan_Dominance,208,0.132479,0.252110,0.706570,0.055696,4,0,2318,20.000000,0.064490201
1,Balanced,GA_Makespan_Dominance,209,0.003436,0.205523,0.746258,0.129115,3,0,2308,21.000000,0.063747055
1,Balanced,GA_Makespan_Dominance,MEAN,0.044849,0.196482,0.769151,0.039019,,0,2462,20.000000,0.062950738
1,Balanced,GA_Energy_Dominance,200,0.352679,0.529882,0.453852,0.058494,31,0,2583,27.285714,0.050360057
1,Balanced,GA_Energy_Dominance,201,0.235630,0.502347,0.413881,0.099572,24,0,2522,27.285714,0.051468036
1,Balanced,GA_Energy_Dominance,202,0.107189,0.280989,0.346213,0.149503,28,0,3038,27.285714,0.052282379
1,Balanced,GA_Energy_Dominance,203,0.199352,0.447916,0.416900,0.022314,25,0,4250,26.285714,0.052326837
1,Balanced,GA_Energy_Dominance,204,0.283468,0.572414,0.408363,0.092117,25,0,3835,27.285714,0.051778262
1,Balanced,GA_Energy_Dominance,205,0.098814,0.275370,0.345070,0.022272,25,0,3748,23.285714,0.052288715
1,Balanced,GA_Energy_Dominance,206,0.167535,0.272803,0.348491,0.025684,32,0,3700,24.285714,0.052791728
1,Balanced,GA_Energy_Dominance,207,0.291818,0.442643,0.381596,0.048272,26,0,3824,26.285714,0.052229031
1,Balanced,GA_Energy_Dominance,208,0.175378,0.292201,0.358475,0.017427,37,0,3763,22.333333,0.053351144
1,Balanced,GA_Energy_Dominance,209,0.117024,0.292854,0.345543,0.172998,18,0,2969,27.285714,0.052270985
1,Balanced,GA_Energy_Dominance,MEAN,0.202889,0.390942,0.381838,0.070865,,0,3423,22.333333,0.050360057
1,Balanced,SA_Makespan_Dominance,200,0.622505,0.188297,0.369026,0.004015,4,2,2053,27.333333,0.054137688
1,Balanced,SA_Makespan_Dominance,201,0.419431,0.049513,0.477961,0.000000,2,0,1475,23.285714,0.056414645
1,Balanced,SA_Makespan_Dominance,202,0.377503,0.055413,0.462211,0.094750,3,1,1459,20.000000,0.057147703
1,Balanced,SA_Makespan_Dominance,203,0.439448,0.040087,0.415446,0.111197,3,2,1441,20.400000,0.056364678
1,Balanced,SA_Makespan_Dominance,204,0.589051,0.143977,0.330356,0.037425,6,1,1530,27.333333,0.054926091
1,Balanced,SA_Makespan_Dominance,205,0.166398,0.279014,0.358695,0.873552,3,0,1511,27.333333,0.052569528
1,Balanced,SA_Makespan_Dominance,206,0.446139,0.022415,0.483846,0.000000,1,0,1475,25.500000,0.055901650
1,Balanced,SA_Makespan_Dominance,207,0.467891,0.187339,0.325923,0.000000,2,1,1599,27.333333,0.053495192
1,Balanced,SA_Makespan_Dominance,208,0.466330,0.000000,0.480727,0.000000,1,1,1491,25.500000,0.055640588
1,Balanced,SA_Makespan_Dominance,209,0.423226,0.035076,0.434143,0.086543,4,1,1454,20.200000,0.056587398
1,Balanced,SA_Makespan_Dominance,MEAN,0.441792,0.100113,0.413833,0.120748,,9,1548,20.000000,0.052569528
1,Balanced,SA_Energy_Dominance,200,0.141812,0.111129,0.286638,0.418819,10,0,1602,26.285714,0.051708700
1,Balanced,SA_Energy_Dominance,201,0.332386,0.240685,0.230921,0.027989,27,5,1547,23.928571,0.051649501
1,Balanced,SA_Energy_Dominance,202,0.411318,0.108615,0.245095,0.032977,9,0,2083,25.285714,0.053364268
1,Balanced,SA_Energy_Dominance,203,0.065438,0.058900,0.303610,0.052445,9,3,1605,23.000000,0.050023749
1,Balanced,SA_Energy_Dominance,204,0.050416,0.250284,0.402940,0.030258,12,0,1604,25.285714,0.050577348
