Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
GA_Makespan_Dominance,200,0.039522,0.268924,0.788013,0.049651,5,5,0,3261
GA_Makespan_Dominance,201,0.094407,0.134534,0.740232,0.037637,3,3,0,2878
GA_Makespan_Dominance,202,0.058671,0.181441,0.781435,0.005554,5,5,0,2276
GA_Makespan_Dominance,203,0.008030,0.202072,0.740991,0.095267,4,4,0,2302
GA_Makespan_Dominance,204,0.063516,0.214919,0.791639,0.016119,7,7,0,2337
GA_Makespan_Dominance,205,0.018408,0.152689,0.796571,0.000000,2,2,0,2318
GA_Makespan_Dominance,206,0.018194,0.182699,0.792818,0.000966,4,4,0,2297
GA_Makespan_Dominance,207,0.011831,0.169906,0.806984,0.000189,3,3,0,2332
GA_Makespan_Dominance,208,0.132479,0.252110,0.706570,0.055696,4,4,0,2318
GA_Makespan_Dominance,209,0.003436,0.205523,0.746258,0.129115,3,3,0,2308
GA_Makespan_Dominance,MEAN,0.044849,0.196482,0.769151,0.039019,4,4,0,2462
GA_Makespan_Dominance,STDDEV,0.040340,0.039589,0.031346,0.042186,,,,
GA_Energy_Dominance,200,0.352679,0.529882,0.453852,0.058494,31,31,0,2583
GA_Energy_Dominance,201,0.235630,0.502347,0.413881,0.099572,24,24,0,2522
GA_Energy_Dominance,202,0.107189,0.280989,0.346213,0.149503,28,28,0,3038
GA_Energy_Dominance,203,0.199352,0.447916,0.416900,0.022314,25,25,0,4250
GA_Energy_Dominance,204,0.283468,0.572414,0.408363,0.092117,25,25,0,3835
GA_Energy_Dominance,205,0.098814,0.275370,0.345070,0.022272,25,25,0,3748
GA_Energy_Dominance,206,0.167535,0.272803,0.348491,0.025684,32,32,0,3700
GA_Energy_Dominance,207,0.291818,0.442643,0.381596,0.048272,26,26,0,3824
GA_Energy_Dominance,208,0.175378,0.292201,0.358475,0.017427,37,37,0,3763
GA_Energy_Dominance,209,0.117024,0.292854,0.345543,0.172998,18,18,0,2969
GA_Energy_Dominance,MEAN,0.202889,0.390942,0.381838,0.070865,27,27,0,3423
GA_Energy_Dominance,STDDEV,0.082032,0.113728,0.037070,0.053075,,,,
SA_Makespan_Dominance,200,0.622505,0.188297,0.369026,0.004015,4,4,2,2053
SA_Makespan_Dominance,201,0.419431,0.049513,0.477961,0.000000,2,2,0,1475
SA_Makespan_Dominance,202,0.377503,0.055413,0.462211,0.094750,3,4,1,1459
SA_Makespan_Dominance,203,0.439448,0.040087,0.415446,0.111197,3,3,2,1441
SA_Makespan_Dominance,204,0.589051,0.143977,0.330356,0.037425,6,6,1,1530
SA_Makespan_Dominance,205,0.166398,0.279014,0.358695,0.873552,3,3,0,1511
SA_Makespan_Dominance,206,0.446139,0.022415,0.483846,0.000000,1,1,0,1475
SA_Makespan_Dominance,207,0.467891,0.187339,0.325923,0.000000,2,2,1,1599
SA_Makespan_Dominance,208,0.466330,0.000000,0.480727,0.000000,1,1,1,1491
SA_Makespan_Dominance,209,0.423226,0.035076,0.434143,0.086543,4,4,1,1454
SA_Makespan_Dominance,MEAN,0.441792,0.100113,0.413833,0.120748,3,3,9,1548
SA_Makespan_Dominance,STDDEV,0.116820,0.088185,0.059991,0.254468,,,,
SA_Energy_Dominance,200,0.141812,0.111129,0.286638,0.418819,10,10,0,1602
SA_Energy_Dominance,201,0.332386,0.240685,0.230921,0.027989,27,27,5,1547
SA_Energy_Dominance,202,0.411318,0.108615,0.245095,0.032977,9,9,0,2083
SA_Energy_Dominance,203,0.065438,0.058900,0.303610,0.052445,9,9,3,1605
SA_Energy_Dominance,204,0.050416,0.250284,0.402940,0.030258,12,12,0,1604
SA_Energy_Dominance,205,0.053822,0.440155,0.360077,0.034745,13,13,0,1645
SA_Energy_Dominance,206,0.498800,0.121039,0.246422,0.106725,6,6,1,1633
SA_Energy_Dominance,207,0.094127,0.206895,0.301963,0.052080,11,11,1,1569
SA_Energy_Dominance,208,0.451510,0.150563,0.241090,0.047501,9,9,1,1609
SA_Energy_Dominance,209,0.480745,0.045614,0.220603,0.050911,8,8,2,1653
SA_Energy_Dominance,MEAN,0.258037,0.173388,0.283936,0.085445,11,11,13,1655
SA_Energy_Dominance,STDDEV,0.183385,0.111129,0.056791,0.113179,,,,
NSGA-II,200,0.170577,0.403108,0.424000,0.019491,31,31,0,3849
NSGA-II,201,0.255608,0.356067,0.381355,0.010366,26,26,0,3613
NSGA-II,202,0.130045,0.297078,0.405390,0.014898,24,24,0,3564
NSGA-II,203,0.300866,0.316541,0.360768,0.074879,23,23,0,3559
NSGA-II,204,0.323244,0.263032,0.343865,0.057559,21,21,0,3545
NSGA-II,205,0.274105,0.394235,0.385411,0.028868,23,23,0,3579
NSGA-II,206,0.229071,0.376457,0.400235,0.028282,22,22,0,3583
NSGA-II,207,0.312039,0.287189,0.360963,0.029197,30,30,0,3580
NSGA-II,208,0.236567,0.336612,0.394226,0.023988,27,27,0,3580
NSGA-II,209,0.305096,0.303402,0.363276,0.018187,31,31,0,3546
NSGA-II,MEAN,0.253722,0.333372,0.381949,0.030571,26,26,0,3599
NSGA-II,STDDEV,0.060519,0.045308,0.023459,0.019170,,,,
SPEA-II,200,0.126628,0.275256,0.415224,0.012848,22,22,0,4055
SPEA-II,201,0.166908,0.347832,0.397191,0.012795,19,19,0,4112
SPEA-II,202,0.231032,0.299415,0.376588,0.115055,14,14,0,4102
SPEA-II,203,0.264844,0.436895,0.393788,0.014497,34,34,0,4627
SPEA-II,204,0.202957,0.172284,0.541563,0.011904,15,15,0,3978
SPEA-II,205,0.116155,0.321269,0.426889,0.017270,15,15,0,4400
SPEA-II,206,0.285556,0.303323,0.356508,0.018444,20,20,0,6165
SPEA-II,207,0.197823,0.256660,0.401341,0.012025,26,26,0,5937
SPEA-II,208,0.146052,0.330501,0.394417,0.054906,20,20,0,5968
SPEA-II,209,0.156256,0.191333,0.528712,0.026369,8,8,2,5173
SPEA-II,MEAN,0.189421,0.293477,0.423222,0.029611,19,19,2,4851
SPEA-II,STDDEV,0.054511,0.072531,0.058897,0.031053,,,,
AMOSA,200,0.121943,0.111820,0.585106,0.049736,11,11,0,3621
AMOSA,201,0.060650,0.074916,0.658305,0.045246,6,6,0,3599
AMOSA,202,0.061057,0.080478,0.662888,0.044088,7,7,0,3587
AMOSA,203,0.038011,0.054094,0.670092,0.048215,7,7,0,3740
AMOSA,204,0.038777,0.015322,0.720197,0.016410,5,5,1,3683
AMOSA,205,0.084277,0.173734,0.578935,0.285704,7,7,0,3833
AMOSA,206,0.051777,0.039262,0.711588,0.023083,4,4,0,3676
AMOSA,207,0.075054,0.056101,0.691189,0.007620,10,10,0,3652
AMOSA,208,0.116127,0.073477,0.667779,0.013977,7,7,0,3621
AMOSA,209,0.042150,0.035864,0.715887,0.014543,4,4,0,3666
AMOSA,MEAN,0.068982,0.071507,0.666197,0.054862,7,7,1,3667
AMOSA,STDDEV,0.028841,0.042637,0.047277,0.078476,,,,
Universal_Pareto,ALL,0.690009,0.000000,0.000000,0.000000,25,25,25,0
