Algorithm,Makespan,Energy
GA_Makespan_Dominance,21.000000,0.044748823
GA_Makespan_Dominance,21.150000,0.044730705
GA_Energy_Dominance,14.000000,0.042143902
GA_Energy_Dominance,20.000000,0.042093183
GA_Energy_Dominance,22.333333,0.042040343
GA_Energy_Dominance,25.500000,0.041811299
GA_Energy_Dominance,33.000000,0.041014087
GA_Energy_Dominance,33.250000,0.041005782
GA_Energy_Dominance,34.000000,0.040384811
GA_Energy_Dominance,40.000000,0.040137437
GA_Energy_Dominance,40.050000,0.040088517
GA_Energy_Dominance,40.150000,0.040067148
GA_Energy_Dominance,41.000000,0.039960447
GA_Energy_Dominance,42.000000,0.039502400
GA_Energy_Dominance,53.000000,0.039157920
GA_Energy_Dominance,54.000000,0.039088353
GA_Energy_Dominance,55.000000,0.039081968
GA_Energy_Dominance,81.000000,0.038097237
GA_Energy_Dominance,81.400000,0.037826284
GA_Energy_Dominance,85.200000,0.037401940
GA_Energy_Dominance,86.200000,0.036967547
GA_Energy_Dominance,87.200000,0.036153373
GA_Energy_Dominance,87.400000,0.035889534
GA_Energy_Dominance,88.200000,0.035730440
GA_Energy_Dominance,88.400000,0.035609409
GA_Energy_Dominance,89.200000,0.035533965
GA_Energy_Dominance,90.200000,0.035423944
GA_Energy_Dominance,91.200000,0.035408820
GA_Energy_Dominance,92.000000,0.035369338
GA_Energy_Dominance,92.200000,0.035355197
GA_Energy_Dominance,97.000000,0.035294836
GA_Energy_Dominance,98.600000,0.035224594
GA_Energy_Dominance,104.600000,0.035181474
GA_Energy_Dominance,107.600000,0.035132814
GA_Energy_Dominance,110.000000,0.035053709
GA_Energy_Dominance,147.000000,0.035044552
GA_Energy_Dominance,163.000000,0.035024466
GA_Energy_Dominance,164.000000,0.034855834
GA_Energy_Dominance,166.200000,0.034775415
GA_Energy_Dominance,168.000000,0.034602190
SA_Makespan_Dominance,20.000000,0.039427572
SA_Makespan_Dominance,25.500000,0.038370819
SA_Makespan_Dominance,50.000000,0.035816880
SA_Energy_Dominance,14.000000,0.042082144
SA_Energy_Dominance,20.000000,0.042032647
SA_Energy_Dominance,25.500000,0.041221350
SA_Energy_Dominance,27.500000,0.041129600
SA_Energy_Dominance,32.500000,0.040198120
SA_Energy_Dominance,33.000000,0.036721943
SA_Energy_Dominance,40.000000,0.036561286
SA_Energy_Dominance,53.600000,0.035471291
SA_Energy_Dominance,54.000000,0.035415930
SA_Energy_Dominance,60.600000,0.035342041
SA_Energy_Dominance,61.400000,0.035058751
SA_Energy_Dominance,61.600000,0.035043461
SA_Energy_Dominance,62.200000,0.034919301
SA_Energy_Dominance,62.400000,0.034919301
NSGA-II,13.500000,0.042806977
NSGA-II,14.000000,0.042143902
NSGA-II,20.000000,0.041366756
NSGA-II,20.150000,0.041213087
NSGA-II,21.000000,0.040756163
NSGA-II,22.000000,0.040641355
NSGA-II,25.500000,0.040505107
NSGA-II,53.400000,0.040308994
NSGA-II,58.000000,0.040234202
NSGA-II,58.200000,0.040124187
NSGA-II,59.200000,0.039906676
NSGA-II,59.400000,0.039738588
NSGA-II,60.200000,0.039690622
NSGA-II,61.000000,0.039647721
NSGA-II,61.200000,0.039390736
NSGA-II,62.000000,0.038965454
NSGA-II,80.000000,0.038538588
NSGA-II,80.200000,0.038505876
NSGA-II,81.000000,0.038248471
NSGA-II,81.200000,0.037902869
NSGA-II,83.600000,0.037889635
NSGA-II,84.200000,0.037806027
NSGA-II,89.000000,0.037353112
NSGA-II,90.000000,0.037326063
NSGA-II,108.600000,0.037266558
NSGA-II,111.200000,0.037196426
NSGA-II,111.600000,0.037147149
NSGA-II,142.000000,0.037023048
NSGA-II,144.000000,0.036777764
NSGA-II,161.000000,0.036429394
SPEA-II,13.500000,0.042695473
SPEA-II,14.000000,0.042143902
SPEA-II,20.000000,0.040593312
SPEA-II,21.000000,0.040168919
SPEA-II,25.500000,0.040068918
SPEA-II,58.000000,0.039954011
SPEA-II,59.000000,0.039741601
SPEA-II,60.000000,0.039293384
SPEA-II,80.000000,0.037586621
SPEA-II,81.000000,0.037329234
SPEA-II,93.200000,0.037115511
SPEA-II,100.000000,0.036633676
AMOSA,13.600000,0.042685436
AMOSA,14.000000,0.042143902
AMOSA,20.000000,0.041764544
