Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best
1,Balanced,GA_WaitingTime_Dominance,200,0.098494,0.029933,0.665581,0.015708,11,0,3186,1.748000,0.067842544
1,Balanced,GA_WaitingTime_Dominance,201,0.109832,0.040106,0.651417,0.005248,15,0,3558,1.736000,0.067562848
1,Balanced,GA_WaitingTime_Dominance,202,0.102943,0.040064,0.659727,0.015388,8,1,3394,1.692000,0.067749420
1,Balanced,GA_WaitingTime_Dominance,203,0.189894,0.054031,0.511374,0.037835,20,1,3454,1.702000,0.066823635
1,Balanced,GA_WaitingTime_Dominance,204,0.125494,0.047806,0.650318,0.007087,11,0,3404,1.716000,0.068071830
1,Balanced,GA_WaitingTime_Dominance,205,0.119550,0.051866,0.590335,0.024209,14,0,3370,1.740000,0.067486505
1,Balanced,GA_WaitingTime_Dominance,206,0.173239,0.045609,0.626457,0.007229,18,0,3323,1.670000,0.067467539
1,Balanced,GA_WaitingTime_Dominance,207,0.118702,0.044242,0.657573,0.013514,13,0,3437,1.760000,0.067930809
1,Balanced,GA_WaitingTime_Dominance,208,0.120121,0.036298,0.616811,0.012701,17,0,3343,1.732000,0.067238261
1,Balanced,GA_WaitingTime_Dominance,209,0.143442,0.054617,0.572102,0.031240,13,0,3326,1.688000,0.067418451
1,Balanced,GA_WaitingTime_Dominance,MEAN,0.130171,0.044457,0.620169,0.017016,,2,3379,1.670000,0.066823635
1,Balanced,GA_Energy_Dominance,200,0.407655,0.075340,0.155222,0.031789,29,0,3498,3.966000,0.056141525
1,Balanced,GA_Energy_Dominance,201,0.597394,0.275069,0.173470,0.017493,42,0,3701,4.358000,0.050838701
1,Balanced,GA_Energy_Dominance,202,0.620976,0.290120,0.209944,0.028043,49,0,3740,4.112000,0.050516968
1,Balanced,GA_Energy_Dominance,203,0.606658,0.235700,0.171431,0.026603,37,0,3678,4.218000,0.051352725
1,Balanced,GA_Energy_Dominance,204,0.609554,0.308375,0.233048,0.027015,53,0,3688,4.036000,0.050229246
1,Balanced,GA_Energy_Dominance,205,0.608990,0.212764,0.165088,0.018533,56,0,4312,4.146000,0.051093412
1,Balanced,GA_Energy_Dominance,206,0.533430,0.224486,0.147815,0.032240,37,0,4246,4.052000,0.052164751
1,Balanced,GA_Energy_Dominance,207,0.507157,0.116959,0.110219,0.036184,34,0,4078,4.064000,0.052178402
1,Balanced,GA_Energy_Dominance,208,0.576268,0.227137,0.166241,0.020432,41,0,4112,4.188000,0.051903647
1,Balanced,GA_Energy_Dominance,209,0.606919,0.247740,0.142773,0.020797,35,0,4023,4.004000,0.051540463
1,Balanced,GA_Energy_Dominance,MEAN,0.567500,0.221369,0.167525,0.025913,,0,3907,3.966000,0.050229246
1,Balanced,SA_WaitingTime_Dominance,200,0.132951,0.020050,0.654563,0.008476,13,0,3447,1.278000,0.067993438
1,Balanced,SA_WaitingTime_Dominance,201,0.113547,0.015679,0.666624,0.042023,8,0,1967,1.268000,0.067993438
1,Balanced,SA_WaitingTime_Dominance,202,0.117376,0.020145,0.662236,0.013929,10,0,1894,1.278000,0.067973738
1,Balanced,SA_WaitingTime_Dominance,203,0.098736,0.020768,0.673785,0.006932,11,0,1880,1.278000,0.068060299
1,Balanced,SA_WaitingTime_Dominance,204,0.092936,0.013000,0.677432,0.016595,9,5,1866,1.236000,0.068038878
1,Balanced,SA_WaitingTime_Dominance,205,0.132291,0.024442,0.655460,0.045054,9,0,1882,1.296000,0.067906235
1,Balanced,SA_WaitingTime_Dominance,206,0.147133,0.029339,0.646261,0.010204,12,0,1835,1.294000,0.067987203
