Algorithm,WaitingTime,Energy
GA_WaitingTime_Dominance,1.670000,0.071802101
GA_WaitingTime_Dominance,1.686000,0.071622986
GA_WaitingTime_Dominance,1.688000,0.070919277
GA_WaitingTime_Dominance,1.692000,0.070140252
GA_WaitingTime_Dominance,1.700000,0.069825387
GA_WaitingTime_Dominance,1.724000,0.069708741
GA_WaitingTime_Dominance,1.734000,0.069105420
GA_WaitingTime_Dominance,1.738000,0.068802390
GA_WaitingTime_Dominance,1.756000,0.068772787
GA_WaitingTime_Dominance,1.794000,0.068728881
GA_WaitingTime_Dominance,1.796000,0.068646477
GA_WaitingTime_Dominance,1.822000,0.068474184
GA_WaitingTime_Dominance,1.826000,0.068090705
GA_WaitingTime_Dominance,2.012000,0.067823210
GA_WaitingTime_Dominance,2.084000,0.067729307
GA_WaitingTime_Dominance,2.094000,0.067719401
GA_WaitingTime_Dominance,2.112000,0.067329064
GA_WaitingTime_Dominance,2.328000,0.067215457
GA_WaitingTime_Dominance,2.912000,0.066981105
GA_WaitingTime_Dominance,2.992000,0.066928419
GA_WaitingTime_Dominance,4.652000,0.066823635
GA_Energy_Dominance,3.966000,0.067623942
GA_Energy_Dominance,4.052000,0.066972654
GA_Energy_Dominance,4.218000,0.066457786
GA_Energy_Dominance,4.318000,0.065786624
GA_Energy_Dominance,4.324000,0.063253495
GA_Energy_Dominance,4.578000,0.061059878
GA_Energy_Dominance,4.658000,0.060957602
GA_Energy_Dominance,4.722000,0.060802468
GA_Energy_Dominance,4.928000,0.059921948
GA_Energy_Dominance,5.054000,0.059502815
GA_Energy_Dominance,5.110000,0.059089222
GA_Energy_Dominance,5.160000,0.058928976
GA_Energy_Dominance,5.216000,0.058782933
GA_Energy_Dominance,5.264000,0.058744024
GA_Energy_Dominance,5.272000,0.058267967
GA_Energy_Dominance,5.298000,0.057976928
GA_Energy_Dominance,5.472000,0.057422200
GA_Energy_Dominance,5.590000,0.057327190
GA_Energy_Dominance,5.618000,0.057254028
GA_Energy_Dominance,5.674000,0.057213948
GA_Energy_Dominance,5.700000,0.056911293
GA_Energy_Dominance,5.720000,0.056851869
GA_Energy_Dominance,5.830000,0.056818751
GA_Energy_Dominance,5.846000,0.056672073
GA_Energy_Dominance,5.900000,0.056580198
GA_Energy_Dominance,5.908000,0.056577031
GA_Energy_Dominance,5.910000,0.056516707
GA_Energy_Dominance,5.950000,0.056505497
GA_Energy_Dominance,5.962000,0.056436658
GA_Energy_Dominance,6.072000,0.056432540
GA_Energy_Dominance,6.078000,0.056291776
GA_Energy_Dominance,6.180000,0.056199032
GA_Energy_Dominance,6.516000,0.056141525
GA_Energy_Dominance,6.800000,0.056108298
GA_Energy_Dominance,6.940000,0.055817768
GA_Energy_Dominance,7.036000,0.055411828
GA_Energy_Dominance,7.190000,0.055264276
GA_Energy_Dominance,7.428000,0.054844033
GA_Energy_Dominance,7.540000,0.054358767
GA_Energy_Dominance,7.608000,0.054200054
GA_Energy_Dominance,7.912000,0.053916702
GA_Energy_Dominance,8.192000,0.053512621
GA_Energy_Dominance,8.542000,0.053081387
GA_Energy_Dominance,8.926000,0.053003709
GA_Energy_Dominance,9.126000,0.052640126
GA_Energy_Dominance,9.920000,0.052578399
GA_Energy_Dominance,10.068000,0.052437059
GA_Energy_Dominance,10.584000,0.052366535
GA_Energy_Dominance,12.614000,0.052178402
GA_Energy_Dominance,16.780000,0.052037508
GA_Energy_Dominance,17.396000,0.051633947
GA_Energy_Dominance,18.574000,0.051408196
GA_Energy_Dominance,21.552000,0.051396151
GA_Energy_Dominance,21.858000,0.051319914
GA_Energy_Dominance,23.526000,0.051276836
GA_Energy_Dominance,23.724000,0.051069711
GA_Energy_Dominance,23.950000,0.051050033
GA_Energy_Dominance,23.970000,0.050976740
GA_Energy_Dominance,24.172000,0.050874849
GA_Energy_Dominance,24.884000,0.050810918
GA_Energy_Dominance,25.234000,0.050657259
GA_Energy_Dominance,25.950000,0.050604011
GA_Energy_Dominance,27.466000,0.050531198
GA_Energy_Dominance,27.886000,0.050302576
GA_Energy_Dominance,30.886000,0.050229246
SA_WaitingTime_Dominance,1.236000,0.070057834
SA_WaitingTime_Dominance,1.238000,0.068924698
SA_WaitingTime_Dominance,1.242000,0.068637366
SA_WaitingTime_Dominance,1.262000,0.068538421
SA_WaitingTime_Dominance,1.274000,0.068141126
SA_WaitingTime_Dominance,2.194000,0.067906235
SA_WaitingTime_Dominance,2.214000,0.067854527
SA_Energy_Dominance,3.674000,0.063021955
SA_Energy_Dominance,3.736000,0.062972030
SA_Energy_Dominance,3.756000,0.062966509
SA_Energy_Dominance,3.822000,0.062941480
SA_Energy_Dominance,3.830000,0.062854506
SA_Energy_Dominance,3.838000,0.062815164
SA_Energy_Dominance,3.864000,0.062797963
SA_Energy_Dominance,3.868000,0.062779643
SA_Energy_Dominance,3.898000,0.062761415
SA_Energy_Dominance,3.916000,0.062460364
SA_Energy_Dominance,3.918000,0.062242761
SA_Energy_Dominance,3.966000,0.062164680
SA_Energy_Dominance,3.972000,0.062146390
SA_Energy_Dominance,3.992000,0.062140377
SA_Energy_Dominance,4.030000,0.061981606
SA_Energy_Dominance,4.060000,0.060746920
SA_Energy_Dominance,4.086000,0.060739208
SA_Energy_Dominance,4.092000,0.060725867
SA_Energy_Dominance,4.128000,0.060724928
SA_Energy_Dominance,4.160000,0.060719370
SA_Energy_Dominance,4.214000,0.060648471
SA_Energy_Dominance,4.224000,0.060594960
SA_Energy_Dominance,4.232000,0.060547359
SA_Energy_Dominance,4.292000,0.060526954
SA_Energy_Dominance,4.340000,0.060521231
SA_Energy_Dominance,4.388000,0.060515705
SA_Energy_Dominance,4.460000,0.060476775
SA_Energy_Dominance,4.464000,0.060019655
SA_Energy_Dominance,4.494000,0.059934504
SA_Energy_Dominance,4.610000,0.059852287
SA_Energy_Dominance,4.630000,0.059386599
SA_Energy_Dominance,4.644000,0.058635439
SA_Energy_Dominance,4.648000,0.058595936
SA_Energy_Dominance,4.654000,0.058576819
SA_Energy_Dominance,4.674000,0.058573708
SA_Energy_Dominance,4.688000,0.058503448
SA_Energy_Dominance,4.694000,0.058497921
SA_Energy_Dominance,4.700000,0.058493649
SA_Energy_Dominance,4.896000,0.058452617
SA_Energy_Dominance,4.910000,0.058427491
SA_Energy_Dominance,4.924000,0.058400942
SA_Energy_Dominance,4.962000,0.057829502
SA_Energy_Dominance,4.964000,0.057655015
SA_Energy_Dominance,4.982000,0.057607414
SA_Energy_Dominance,4.994000,0.057533342
SA_Energy_Dominance,5.030000,0.057532990
SA_Energy_Dominance,5.050000,0.057498301
SA_Energy_Dominance,5.078000,0.057477896
SA_Energy_Dominance,5.086000,0.057475071
SA_Energy_Dominance,5.096000,0.057450870
SA_Energy_Dominance,5.102000,0.057395262
SA_Energy_Dominance,5.128000,0.057309328
SA_Energy_Dominance,5.140000,0.056597137
SA_Energy_Dominance,5.146000,0.056560793
SA_Energy_Dominance,5.194000,0.056505294
SA_Energy_Dominance,5.234000,0.056493886
SA_Energy_Dominance,5.332000,0.056481980
SA_Energy_Dominance,5.338000,0.056466690
SA_Energy_Dominance,5.348000,0.056460881
SA_Energy_Dominance,5.352000,0.056147188
SA_Energy_Dominance,5.386000,0.056091183
SA_Energy_Dominance,5.390000,0.056072407
SA_Energy_Dominance,5.430000,0.055988639
SA_Energy_Dominance,5.438000,0.055987811
SA_Energy_Dominance,5.442000,0.055969521
SA_Energy_Dominance,5.536000,0.055922818
SA_Energy_Dominance,5.568000,0.055917261
SA_Energy_Dominance,5.596000,0.055882344
SA_Energy_Dominance,5.606000,0.055866818
SA_Energy_Dominance,5.610000,0.055861291
SA_Energy_Dominance,5.626000,0.055861179
SA_Energy_Dominance,5.654000,0.055824948
SA_Energy_Dominance,5.668000,0.055250319
SA_Energy_Dominance,5.740000,0.055219697
SA_Energy_Dominance,5.758000,0.055208877
SA_Energy_Dominance,5.768000,0.055174295
SA_Energy_Dominance,5.770000,0.055174172
SA_Energy_Dominance,5.774000,0.055171470
SA_Energy_Dominance,5.802000,0.054860279
SA_Energy_Dominance,5.816000,0.054850085
SA_Energy_Dominance,5.822000,0.054842597
SA_Energy_Dominance,5.830000,0.054818487
SA_Energy_Dominance,5.834000,0.054812678
SA_Energy_Dominance,5.874000,0.054785353
SA_Energy_Dominance,5.902000,0.054736937
SA_Energy_Dominance,5.908000,0.054728304
SA_Energy_Dominance,5.920000,0.054725529
SA_Energy_Dominance,5.932000,0.054716896
SA_Energy_Dominance,5.956000,0.054716896
SA_Energy_Dominance,5.982000,0.054252516
SA_Energy_Dominance,5.984000,0.054235736
SA_Energy_Dominance,6.000000,0.054231463
SA_Energy_Dominance,6.008000,0.054221894
SA_Energy_Dominance,6.016000,0.054216284
SA_Energy_Dominance,6.020000,0.054205114
SA_Energy_Dominance,6.022000,0.054200758
SA_Energy_Dominance,6.024000,0.054198056
SA_Energy_Dominance,6.036000,0.054195231
SA_Energy_Dominance,6.042000,0.054191806
SA_Energy_Dominance,6.046000,0.054185662
SA_Energy_Dominance,6.048000,0.054183727
SA_Energy_Dominance,6.050000,0.054170136
SA_Energy_Dominance,6.054000,0.054170136
SA_Energy_Dominance,6.060000,0.054167434
SA_Energy_Dominance,6.062000,0.054111334
SA_Energy_Dominance,6.080000,0.054107061
SA_Energy_Dominance,6.096000,0.054091882
SA_Energy_Dominance,6.102000,0.054076356
SA_Energy_Dominance,6.104000,0.054073654
SA_Energy_Dominance,6.114000,0.054070829
SA_Energy_Dominance,6.128000,0.054030896
SA_Energy_Dominance,6.130000,0.054025282
SA_Energy_Dominance,6.138000,0.053997612
SA_Energy_Dominance,6.140000,0.053928274
SA_Energy_Dominance,6.160000,0.053924001
SA_Energy_Dominance,6.168000,0.053908470
SA_Energy_Dominance,6.174000,0.053896766
SA_Energy_Dominance,6.178000,0.053893296
SA_Energy_Dominance,6.180000,0.053890594
SA_Energy_Dominance,6.192000,0.053887769
SA_Energy_Dominance,6.628000,0.053879398
SA_Energy_Dominance,6.636000,0.053877270
SA_Energy_Dominance,6.678000,0.053803659
SA_Energy_Dominance,6.704000,0.053781984
SA_Energy_Dominance,6.722000,0.053767427
SA_Energy_Dominance,6.740000,0.053764108
SA_Energy_Dominance,6.746000,0.053761284
SA_Energy_Dominance,6.826000,0.053733112
SA_Energy_Dominance,6.838000,0.053728839
SA_Energy_Dominance,6.846000,0.053646335
SA_Energy_Dominance,6.858000,0.053640861
SA_Energy_Dominance,6.880000,0.053592542
SA_Energy_Dominance,6.900000,0.053587015
SA_Energy_Dominance,6.922000,0.053549116
SA_Energy_Dominance,6.936000,0.053534559
SA_Energy_Dominance,6.956000,0.053514138
SA_Energy_Dominance,6.960000,0.053511436
SA_Energy_Dominance,6.972000,0.053508611
SA_Energy_Dominance,7.012000,0.053502468
SA_Energy_Dominance,7.030000,0.053398323
SA_Energy_Dominance,7.058000,0.053196232
SA_Energy_Dominance,7.060000,0.053137937
SA_Energy_Dominance,7.062000,0.053112021
SA_Energy_Dominance,7.068000,0.053013153
SA_Energy_Dominance,7.106000,0.053011620
SA_Energy_Dominance,7.110000,0.053004423
SA_Energy_Dominance,7.112000,0.052943815
SA_Energy_Dominance,7.130000,0.052939542
SA_Energy_Dominance,7.140000,0.052924011
SA_Energy_Dominance,7.150000,0.052906135
SA_Energy_Dominance,7.164000,0.052903311
SA_Energy_Dominance,7.422000,0.052865585
SA_Energy_Dominance,7.444000,0.052829876
SA_Energy_Dominance,7.446000,0.052766718
SA_Energy_Dominance,7.458000,0.052765184
SA_Energy_Dominance,7.484000,0.052761114
SA_Energy_Dominance,7.490000,0.052758652
SA_Energy_Dominance,7.494000,0.052697380
SA_Energy_Dominance,7.512000,0.052693107
SA_Energy_Dominance,7.520000,0.052677575
SA_Energy_Dominance,7.532000,0.052662402
SA_Energy_Dominance,7.536000,0.052659699
SA_Energy_Dominance,7.548000,0.052656875
SA_Energy_Dominance,7.582000,0.052650170
SA_Energy_Dominance,7.588000,0.052638999
SA_Energy_Dominance,7.598000,0.052635892
SA_Energy_Dominance,7.602000,0.052633190
SA_Energy_Dominance,7.608000,0.052630366
SA_Energy_Dominance,7.622000,0.052612490
SA_Energy_Dominance,7.636000,0.052609665
SA_Energy_Dominance,7.654000,0.052511824
SA_Energy_Dominance,7.682000,0.052456465
SA_Energy_Dominance,7.796000,0.052454544
SA_Energy_Dominance,7.798000,0.052451842
SA_Energy_Dominance,7.804000,0.052451842
SA_Energy_Dominance,7.810000,0.052449018
SA_Energy_Dominance,7.814000,0.052449018
SA_Energy_Dominance,8.008000,0.050171362
SA_Energy_Dominance,8.050000,0.050031538
SA_Energy_Dominance,8.060000,0.050021047
SA_Energy_Dominance,8.108000,0.050019959
SA_Energy_Dominance,8.128000,0.050002083
SA_Energy_Dominance,8.136000,0.050002083
SA_Energy_Dominance,8.154000,0.049999258
SA_Energy_Dominance,10.622000,0.048709116
SA_Energy_Dominance,10.674000,0.048573809
SA_Energy_Dominance,10.688000,0.048502646
SA_Energy_Dominance,10.720000,0.048491238
SA_Energy_Dominance,10.798000,0.048490502
SA_Energy_Dominance,10.862000,0.048472274
SA_Energy_Dominance,10.886000,0.048469449
NSGA-II,2.010000,0.067641475
NSGA-II,2.128000,0.067386128
NSGA-II,2.146000,0.067383910
NSGA-II,2.182000,0.066584395
NSGA-II,2.222000,0.065920748
NSGA-II,2.278000,0.065871513
NSGA-II,2.318000,0.065286173
NSGA-II,2.414000,0.065258073
NSGA-II,2.422000,0.063863671
NSGA-II,2.464000,0.063502407
NSGA-II,2.552000,0.063131447
NSGA-II,2.680000,0.062904016
NSGA-II,2.718000,0.062208429
NSGA-II,2.774000,0.061867688
NSGA-II,2.854000,0.061098185
NSGA-II,2.944000,0.060901425
NSGA-II,2.986000,0.060665822
NSGA-II,3.058000,0.060526380
NSGA-II,3.088000,0.060300803
NSGA-II,3.190000,0.060293026
NSGA-II,3.196000,0.059961429
NSGA-II,3.246000,0.059867127
NSGA-II,3.266000,0.059796870
NSGA-II,3.296000,0.059470076
NSGA-II,3.428000,0.059368143
NSGA-II,3.564000,0.059210002
NSGA-II,3.638000,0.059111142
NSGA-II,3.692000,0.059081171
NSGA-II,3.732000,0.058473838
NSGA-II,3.916000,0.058256950
NSGA-II,4.140000,0.058189913
NSGA-II,4.292000,0.058036325
NSGA-II,4.358000,0.057579191
NSGA-II,5.906000,0.057456371
NSGA-II,6.072000,0.057413670
NSGA-II,6.418000,0.057409152
NSGA-II,6.496000,0.057384285
NSGA-II,6.566000,0.057379934
NSGA-II,6.612000,0.057079108
NSGA-II,6.714000,0.056921080
NSGA-II,8.226000,0.056648641
SPEA-II,2.064000,0.067910695
SPEA-II,2.082000,0.067822792
SPEA-II,2.098000,0.067330242
SPEA-II,2.120000,0.067269517
SPEA-II,2.126000,0.067115597
SPEA-II,2.136000,0.067045472
SPEA-II,2.156000,0.066524701
SPEA-II,2.158000,0.066338137
SPEA-II,2.174000,0.066254531
SPEA-II,2.178000,0.065554641
SPEA-II,2.236000,0.065102162
SPEA-II,2.304000,0.064634540
SPEA-II,2.308000,0.064419074
SPEA-II,2.422000,0.064155048
SPEA-II,2.448000,0.063295730
SPEA-II,2.646000,0.063278016
SPEA-II,2.682000,0.063194550
SPEA-II,2.708000,0.063169120
SPEA-II,2.718000,0.063074754
SPEA-II,2.732000,0.063009276
SPEA-II,2.758000,0.062300198
SPEA-II,2.850000,0.062269206
SPEA-II,2.904000,0.061784241
SPEA-II,2.928000,0.061700176
SPEA-II,2.964000,0.061000867
SPEA-II,3.044000,0.060544943
SPEA-II,3.168000,0.060262217
SPEA-II,3.362000,0.058838566
SPEA-II,3.908000,0.058506069
SPEA-II,4.506000,0.058488056
SPEA-II,4.846000,0.058417953
SPEA-II,4.956000,0.057840580
SPEA-II,5.282000,0.057786583
SPEA-II,5.916000,0.057731416
SPEA-II,5.920000,0.057384762
SPEA-II,6.196000,0.056967641
SPEA-II,6.402000,0.056784163
SPEA-II,8.076000,0.056763308
AMOSA,2.106000,0.068130818
AMOSA,2.108000,0.067856020
AMOSA,2.136000,0.067398013
AMOSA,2.210000,0.067220563
AMOSA,2.246000,0.067029750
AMOSA,2.274000,0.066920765
AMOSA,2.328000,0.066703412
AMOSA,2.946000,0.066614111
AMOSA,3.072000,0.066346863
AMOSA,3.280000,0.065973209
AMOSA,3.520000,0.065421934
AMOSA,3.610000,0.065220979
AMOSA,3.660000,0.064638142
AMOSA,3.802000,0.064491435
AMOSA,3.804000,0.064191260
AMOSA,3.966000,0.063994263
AMOSA,4.080000,0.063939191
AMOSA,4.168000,0.063829480
AMOSA,4.336000,0.063806993
AMOSA,4.340000,0.063747351
AMOSA,4.420000,0.063705371
AMOSA,4.454000,0.063395754
AMOSA,4.548000,0.063387584
AMOSA,4.572000,0.063208263
AMOSA,4.624000,0.062880650
AMOSA,4.756000,0.061908632
AMOSA,5.226000,0.061850204
AMOSA,5.236000,0.061826280
AMOSA,5.268000,0.061726777
AMOSA,5.308000,0.061696975
AMOSA,5.344000,0.061608827
AMOSA,5.354000,0.061608530
AMOSA,5.356000,0.061594727
AMOSA,5.410000,0.061546701
AMOSA,5.428000,0.061521304
AMOSA,5.474000,0.061447416
AMOSA,5.604000,0.061414328
AMOSA,5.614000,0.061387443
AMOSA,5.696000,0.061364420
AMOSA,5.736000,0.061348515
AMOSA,5.880000,0.061317385
AMOSA,5.882000,0.061223115
