Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
GA_WaitingTime_Dominance,200,0.139505,0.041429,0.611955,0.008170,15,15,0,2918
GA_WaitingTime_Dominance,201,0.138398,0.021890,0.651248,0.006356,12,12,0,2988
GA_WaitingTime_Dominance,202,0.162044,0.040509,0.596329,0.021936,13,13,0,2921
GA_WaitingTime_Dominance,203,0.140547,0.031216,0.605247,0.059015,12,12,0,2901
GA_WaitingTime_Dominance,204,0.134197,0.047486,0.608196,0.020051,14,14,0,2928
GA_WaitingTime_Dominance,205,0.125138,0.020159,0.660675,0.004635,9,9,0,2901
GA_WaitingTime_Dominance,206,0.130962,0.021132,0.655664,0.009023,8,8,0,2985
GA_WaitingTime_Dominance,207,0.129763,0.022272,0.656327,0.003514,10,10,0,3000
GA_WaitingTime_Dominance,208,0.136263,0.052777,0.577439,0.108729,10,10,0,2916
GA_WaitingTime_Dominance,209,0.137285,0.033935,0.622128,0.033601,10,10,0,2968
GA_WaitingTime_Dominance,MEAN,0.137410,0.033281,0.624521,0.027503,11,11,0,2942
GA_WaitingTime_Dominance,STDDEV,0.009404,0.011296,0.027957,0.031584,,,,
GA_Energy_Dominance,200,0.661256,0.138257,0.130571,0.018253,53,53,0,3484
GA_Energy_Dominance,201,0.722477,0.165291,0.124634,0.021241,52,52,0,3520
GA_Energy_Dominance,202,0.642633,0.113913,0.121799,0.017022,56,56,0,3547
GA_Energy_Dominance,203,0.633124,0.101309,0.126808,0.017520,38,38,0,3483
GA_Energy_Dominance,204,0.654962,0.076704,0.121182,0.021521,35,35,0,3450
GA_Energy_Dominance,205,0.532886,0.112074,0.271679,0.009911,33,33,0,3300
GA_Energy_Dominance,206,0.655754,0.071527,0.136805,0.021251,32,32,18,3399
GA_Energy_Dominance,207,0.698658,0.138052,0.124966,0.022757,39,39,0,3547
GA_Energy_Dominance,208,0.615333,0.111359,0.142301,0.031039,28,28,0,3443
GA_Energy_Dominance,209,0.650736,0.099824,0.110244,0.033607,33,33,1,3452
GA_Energy_Dominance,MEAN,0.646782,0.112831,0.141099,0.021412,40,40,19,3462
GA_Energy_Dominance,STDDEV,0.047915,0.027114,0.044316,0.006480,,,,
SA_WaitingTime_Dominance,200,0.155990,0.016420,0.659550,0.004928,13,13,0,1770
SA_WaitingTime_Dominance,201,0.160803,0.009611,0.654039,0.007234,10,10,4,1786
SA_WaitingTime_Dominance,202,0.090892,0.008207,0.702029,0.004452,8,8,0,1823
SA_WaitingTime_Dominance,203,0.093881,0.000000,0.702142,0.011549,3,3,3,1759
SA_WaitingTime_Dominance,204,0.162849,0.035193,0.664460,0.009070,9,9,0,1776
SA_WaitingTime_Dominance,205,0.129643,0.017734,0.681967,0.004658,12,12,0,1814
SA_WaitingTime_Dominance,206,0.080297,0.008628,0.708312,0.008875,9,9,3,1753
SA_WaitingTime_Dominance,207,0.170767,0.014883,0.637562,0.015895,14,14,1,1800
SA_WaitingTime_Dominance,208,0.088060,0.009863,0.701919,0.008812,6,6,0,1764
SA_WaitingTime_Dominance,209,0.117342,0.011159,0.688396,0.007471,12,12,0,1734
SA_WaitingTime_Dominance,MEAN,0.125052,0.013170,0.680037,0.008294,10,10,11,1777
SA_WaitingTime_Dominance,STDDEV,0.033681,0.008750,0.023381,0.003327,,,,
SA_Energy_Dominance,200,0.621433,0.133022,0.169442,0.010612,75,81,13,2075
SA_Energy_Dominance,201,0.645168,0.089098,0.184228,0.003720,187,196,0,2217
SA_Energy_Dominance,202,0.609450,0.116364,0.194840,0.005222,146,153,0,2140
SA_Energy_Dominance,203,0.652629,0.109929,0.114056,0.013825,93,96,16,2173
SA_Energy_Dominance,204,0.624875,0.097691,0.195225,0.002498,169,174,0,2176
SA_Energy_Dominance,205,0.532102,0.221856,0.190948,0.015162,66,68,0,2062
SA_Energy_Dominance,206,0.458615,0.240308,0.243573,0.010698,112,114,0,2147
