Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best
1,Balanced,GA_WaitingTime,200,0.018919,0.009356,0.557512,0.000000,1,0,2423,3.858000,0.184331166
1,Balanced,GA_WaitingTime,201,0.000000,0.000000,0.576576,0.000000,1,1,2601,3.826000,0.185359993
1,Balanced,GA_WaitingTime,202,0.000000,0.008807,0.576229,0.000000,1,0,2219,3.844000,0.185742316
1,Balanced,GA_WaitingTime,203,0.022255,0.000000,0.561064,0.000000,1,1,2204,3.828000,0.184160445
1,Balanced,GA_WaitingTime,204,0.074791,0.000000,0.521989,0.000000,1,1,2283,3.864000,0.181285599
1,Balanced,GA_WaitingTime,205,0.000000,0.098701,0.612544,0.000000,1,0,2265,3.872000,0.191197761
1,Balanced,GA_WaitingTime,206,0.000000,0.026661,0.585354,0.000000,1,0,2251,3.840000,0.186817453
1,Balanced,GA_WaitingTime,207,0.000000,0.051646,0.597330,0.000000,1,0,2252,3.836000,0.188288631
1,Balanced,GA_WaitingTime,208,0.000000,0.017203,0.577383,0.000000,1,0,2187,3.856000,0.186168126
1,Balanced,GA_WaitingTime,209,0.000000,0.054499,0.597118,0.000000,1,0,2197,3.844000,0.188449592
1,Balanced,GA_WaitingTime,MEAN,0.011597,0.026687,0.576310,0.000000,,3,2288,3.826000,0.181285599
1,Balanced,GA_Energy,200,0.005682,0.032321,0.819397,0.000000,1,0,2251,7.214000,0.133202803
1,Balanced,GA_Energy,201,0.043820,0.027235,0.800590,0.000000,1,0,2248,7.082000,0.132434207
1,Balanced,GA_Energy,202,0.000000,0.111171,0.875054,0.000000,1,0,2259,7.660000,0.131686416
1,Balanced,GA_Energy,203,0.029039,0.042201,0.803236,0.000000,1,0,2249,7.132000,0.133093321
1,Balanced,GA_Energy,204,0.000000,0.000000,0.842921,0.000000,1,1,2252,7.234000,0.131490620
1,Balanced,GA_Energy,205,0.011015,0.016468,0.827419,0.000000,1,0,2251,7.196000,0.132143451
1,Balanced,GA_Energy,206,0.000000,0.076727,0.840801,0.000000,1,0,2248,7.478000,0.133522737
1,Balanced,GA_Energy,207,0.000000,0.040711,0.846195,0.000000,1,0,2259,7.370000,0.132222869
1,Balanced,GA_Energy,208,0.069799,0.000000,0.788812,0.000000,1,1,2275,6.994000,0.131967709
1,Balanced,GA_Energy,209,0.000000,0.026650,0.843076,0.000000,1,0,2283,7.318000,0.132108520
1,Balanced,GA_Energy,MEAN,0.015935,0.037348,0.828750,0.000000,,2,2257,6.994000,0.131490620
1,Balanced,SA_WaitingTime,200,0.000000,0.297440,0.666363,0.000000,1,0,971,4.166000,0.206330965
1,Balanced,SA_WaitingTime,201,0.000000,0.263272,0.641103,0.000000,1,0,994,4.198000,0.202332023
1,Balanced,SA_WaitingTime,202,0.000000,0.353600,0.641066,0.000000,1,0,1014,4.524000,0.207175806
1,Balanced,SA_WaitingTime,203,0.000000,0.284691,0.651977,0.000000,1,0,967,4.208000,0.204454305
1,Balanced,SA_WaitingTime,204,0.000000,0.299861,0.668397,0.000000,1,0,949,4.162000,0.206642118
1,Balanced,SA_WaitingTime,205,0.000000,0.234107,0.644825,0.000000,1,0,992,4.082000,0.200707318
1,Balanced,SA_WaitingTime,206,0.000000,0.336909,0.641734,0.000000,1,0,973,4.456000,0.206482487
1,Balanced,SA_WaitingTime,207,0.000000,0.298476,0.688211,0.000000,1,0,978,4.032000,0.207608600
1,Balanced,SA_WaitingTime,208,0.000000,0.268867,0.647883,0.000000,1,0,971,4.178000,0.203148011
1,Balanced,SA_WaitingTime,209,0.000000,0.380756,0.674760,0.000000,1,0,983,4.426000,0.212816162
1,Balanced,SA_WaitingTime,MEAN,0.000000,0.301798,0.656632,0.000000,,0,979,4.032000,0.200707318
1,Balanced,SA_Energy,200,0.001157,0.014647,0.833089,0.000000,1,0,1036,7.230000,0.132277096
1,Balanced,SA_Energy,201,0.142388,0.000000,0.724078,0.000000,1,1,1035,6.730000,0.133493949
1,Balanced,SA_Energy,202,0.000000,0.016618,0.834225,0.000000,1,0,1039,7.248000,0.132358244
1,Balanced,SA_Energy,203,0.086288,0.032762,0.740666,0.000000,1,0,1023,6.920000,0.134910047
1,Balanced,SA_Energy,204,0.000000,0.027770,0.829475,0.000000,1,0,1053,7.264000,0.132910819
1,Balanced,SA_Energy,205,0.000000,0.063570,0.844921,0.000000,1,0,1049,7.444000,0.132887215
1,Balanced,SA_Energy,206,0.098817,0.000000,0.753333,0.000000,1,1,1016,6.886000,0.133229007
1,Balanced,SA_Energy,207,0.000000,0.106653,0.866086,0.000000,1,0,1504,7.636000,0.132328778
1,Balanced,SA_Energy,208,0.038515,0.033195,0.802384,0.000000,1,0,1512,7.100000,0.132592457
1,Balanced,SA_Energy,209,0.157296,0.000000,0.687037,0.000000,1,1,1011,6.654000,0.135571355
1,Balanced,SA_Energy,MEAN,0.052446,0.029521,0.791529,0.000000,,3,1127,6.654000,0.132277096
1,Balanced,NSGA-II,200,0.391826,0.065250,0.108673,0.012948,41,0,3067,4.580000,0.154302226
1,Balanced,NSGA-II,201,0.353674,0.072497,0.134376,0.010339,24,0,2880,4.546000,0.160535545
1,Balanced,NSGA-II,202,0.369370,0.071107,0.117296,0.014802,41,0,2878,4.544000,0.159341389
