Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best
1,Balanced,GA_WaitingTime_Dominance,200,0.398801,0.007179,0.155069,0.009688,25,3,2830,4.200000,0.517524118
1,Balanced,GA_WaitingTime_Dominance,201,0.362190,0.011101,0.183915,0.015391,24,1,1927,4.208000,0.537162202
1,Balanced,GA_WaitingTime_Dominance,202,0.382139,0.007128,0.171054,0.008870,25,0,1868,4.228000,0.526504577
1,Balanced,GA_WaitingTime_Dominance,203,0.361641,0.012182,0.182492,0.014531,27,1,1854,4.166000,0.537162202
1,Balanced,GA_WaitingTime_Dominance,204,0.360964,0.013075,0.184837,0.014728,25,0,1848,4.212000,0.537162202
1,Balanced,GA_WaitingTime_Dominance,205,0.361544,0.014902,0.183354,0.006449,27,0,1843,4.238000,0.537162202
1,Balanced,GA_WaitingTime_Dominance,206,0.375808,0.009126,0.170437,0.008662,24,8,1833,4.184000,0.530051816
1,Balanced,GA_WaitingTime_Dominance,207,0.362845,0.008504,0.183206,0.005448,29,4,1826,4.202000,0.537162202
1,Balanced,GA_WaitingTime_Dominance,208,0.363121,0.012408,0.181407,0.008256,34,1,1840,4.176000,0.537162202
1,Balanced,GA_WaitingTime_Dominance,209,0.361684,0.012741,0.183970,0.012159,27,0,1844,4.220000,0.537162202
1,Balanced,GA_WaitingTime_Dominance,MEAN,0.369074,0.010835,0.177974,0.010418,,18,1951,4.166000,0.517524118
1,Balanced,GA_Energy_Dominance,200,0.636481,0.119007,0.135647,0.012148,61,0,1965,5.528000,0.235761881
1,Balanced,GA_Energy_Dominance,201,0.661479,0.113553,0.124830,0.012603,72,0,1951,5.482000,0.240875138
1,Balanced,GA_Energy_Dominance,202,0.621970,0.123577,0.145541,0.013562,63,0,1962,5.536000,0.238161662
1,Balanced,GA_Energy_Dominance,203,0.613233,0.129878,0.141517,0.019321,53,0,1941,5.536000,0.240414529
1,Balanced,GA_Energy_Dominance,204,0.632899,0.132931,0.142432,0.018669,72,0,1985,5.536000,0.245840069
1,Balanced,GA_Energy_Dominance,205,0.652032,0.117787,0.126399,0.010786,58,0,2000,5.430000,0.235488199
1,Balanced,GA_Energy_Dominance,206,0.640394,0.136903,0.140646,0.018766,60,0,1932,5.536000,0.239480967
1,Balanced,GA_Energy_Dominance,207,0.630612,0.115110,0.140102,0.010488,67,0,1961,5.490000,0.233496194
1,Balanced,GA_Energy_Dominance,208,0.628717,0.129254,0.130655,0.009289,86,0,1964,5.490000,0.241666513
1,Balanced,GA_Energy_Dominance,209,0.613853,0.137174,0.142686,0.012377,54,0,1966,5.468000,0.242075049
1,Balanced,GA_Energy_Dominance,MEAN,0.633167,0.125517,0.137045,0.013801,,0,1962,5.430000,0.233496194
1,Balanced,SA_WaitingTime_Dominance,200,0.397669,0.011935,0.195256,0.082537,22,0,1268,4.494000,0.534561628
1,Balanced,SA_WaitingTime_Dominance,201,0.366009,0.014028,0.184551,0.065381,19,0,790,4.230000,0.534459369
1,Balanced,SA_WaitingTime_Dominance,202,0.364618,0.008203,0.187793,0.054135,27,1,770,4.148000,0.532969582
1,Balanced,SA_WaitingTime_Dominance,203,0.366305,0.012367,0.185965,0.052969,21,0,784,4.352000,0.531172746
1,Balanced,SA_WaitingTime_Dominance,204,0.355349,0.010620,0.196180,0.072608,16,0,777,4.474000,0.535604993
1,Balanced,SA_WaitingTime_Dominance,205,0.357519,0.019255,0.188986,0.076164,10,0,776,4.236000,0.533589696
1,Balanced,SA_WaitingTime_Dominance,206,0.355689,0.011420,0.198820,0.106854,10,0,743,4.334000,0.534762882
1,Balanced,SA_WaitingTime_Dominance,207,0.362603,0.007923,0.199657,0.125978,10,0,762,4.308000,0.530374152
1,Balanced,SA_WaitingTime_Dominance,208,0.360558,0.019823,0.192297,0.017977,18,1,765,4.028000,0.532220901
1,Balanced,SA_WaitingTime_Dominance,209,0.364931,0.012678,0.188960,0.004709,28,0,778,4.178000,0.531172746
1,Balanced,SA_WaitingTime_Dominance,MEAN,0.365125,0.012825,0.191846,0.065931,,2,821,4.028000,0.530374152
1,Balanced,SA_Energy_Dominance,200,0.650868,0.151899,0.139629,0.061454,47,2,887,5.478000,0.225697731
1,Balanced,SA_Energy_Dominance,201,0.702549,0.104854,0.142769,0.159071,11,1,826,5.442000,0.234379312
1,Balanced,SA_Energy_Dominance,202,0.697869,0.087872,0.152092,0.161919,13,0,847,5.500000,0.231153438
1,Balanced,SA_Energy_Dominance,203,0.694633,0.108712,0.135476,0.167557,13,0,824,5.434000,0.248280583
1,Balanced,SA_Energy_Dominance,204,0.659516,0.103458,0.142695,0.100230,26,1,830,5.448000,0.235346730
1,Balanced,SA_Energy_Dominance,205,0.676091,0.100132,0.145741,0.045292,15,1,1325,5.474000,0.226405794
1,Balanced,SA_Energy_Dominance,206,0.706069,0.103317,0.149862,0.001742,14,2,825,5.496000,0.251656879
1,Balanced,SA_Energy_Dominance,207,0.670674,0.132900,0.137387,0.003205,56,2,896,5.476000,0.229460266
1,Balanced,SA_Energy_Dominance,208,0.679065,0.172124,0.132019,0.014566,35,0,849,5.420000,0.227106900
1,Balanced,SA_Energy_Dominance,209,0.705985,0.099092,0.147404,0.002373,13,0,820,5.448000,0.244821799
1,Balanced,SA_Energy_Dominance,MEAN,0.684332,0.116436,0.142508,0.071741,,9,892,5.420000,0.225697731
1,Balanced,NSGA-II,200,0.585216,0.021485,0.063795,0.013048,56,0,2683,4.584000,0.391030635
1,Balanced,NSGA-II,201,0.600424,0.011884,0.065244,0.009718,43,3,2496,4.664000,0.383963518
1,Balanced,NSGA-II,202,0.587363,0.019797,0.065826,0.024528,42,2,2529,4.656000,0.390678310
1,Balanced,NSGA-II,203,0.603233,0.020085,0.065487,0.012890,59,4,2548,4.618000,0.377078035
1,Balanced,NSGA-II,204,0.593781,0.030526,0.082659,0.033281,41,0,2549,4.706000,0.380562203
1,Balanced,NSGA-II,205,0.599887,0.027839,0.073027,0.010754,65,0,2563,4.670000,0.373967697
1,Balanced,NSGA-II,206,0.603162,0.019042,0.070209,0.013717,56,1,2530,4.688000,0.375462402
1,Balanced,NSGA-II,207,0.593143,0.026084,0.081349,0.008177,61,0,2538,4.696000,0.381586718
1,Balanced,NSGA-II,208,0.594985,0.027295,0.060646,0.011779,47,0,2551,4.604000,0.379454977
1,Balanced,NSGA-II,209,0.594241,0.020071,0.073049,0.007528,51,1,2558,4.686000,0.383390537
1,Balanced,NSGA-II,MEAN,0.595544,0.022411,0.070129,0.014542,,11,2554,4.584000,0.373967697
1,Balanced,SPEA-II,200,0.608424,0.014064,0.060816,0.018425,51,4,3182,4.586000,0.376414204
1,Balanced,SPEA-II,201,0.616065,0.013405,0.067365,0.013793,40,3,3158,4.666000,0.367203497
1,Balanced,SPEA-II,202,0.596102,0.013199,0.063242,0.010497,53,3,3130,4.652000,0.386139423
1,Balanced,SPEA-II,203,0.597792,0.020870,0.076496,0.014255,53,2,3155,4.654000,0.381510675
1,Balanced,SPEA-II,204,0.586584,0.023712,0.075446,0.009267,55,0,3192,4.646000,0.388454018
1,Balanced,SPEA-II,205,0.597288,0.011825,0.060412,0.006343,78,3,3096,4.572000,0.386461314
1,Balanced,SPEA-II,206,0.599423,0.016939,0.079971,0.006584,55,0,3144,4.632000,0.381580082
1,Balanced,SPEA-II,207,0.599008,0.016736,0.057649,0.012625,55,1,3149,4.630000,0.382174991
1,Balanced,SPEA-II,208,0.602257,0.009317,0.057811,0.007418,51,15,3089,4.624000,0.384712777
1,Balanced,SPEA-II,209,0.587738,0.016066,0.078310,0.013070,55,1,3152,4.626000,0.391488534
1,Balanced,SPEA-II,MEAN,0.599068,0.015613,0.067752,0.011228,,32,3144,4.572000,0.367203497
1,Balanced,AMOSA,200,0.420660,0.063230,0.136152,0.015312,26,0,4085,4.638000,0.495966014
1,Balanced,AMOSA,201,0.411152,0.027758,0.148479,0.025593,17,0,4109,4.760000,0.501548038
1,Balanced,AMOSA,202,0.423376,0.021785,0.145315,0.032592,19,0,4036,4.700000,0.496781333
1,Balanced,AMOSA,203,0.419957,0.050231,0.153516,0.008724,17,4,4037,4.646000,0.497525698
1,Balanced,AMOSA,204,0.401460,0.013634,0.153269,0.007705,26,0,4039,4.584000,0.511333908
1,Balanced,AMOSA,205,0.433794,0.024670,0.140862,0.048011,24,0,4027,4.638000,0.491013718
1,Balanced,AMOSA,206,0.439609,0.030408,0.131531,0.016870,23,9,4022,4.608000,0.482406137
1,Balanced,AMOSA,207,0.394997,0.015722,0.171015,0.010985,17,0,4041,4.714000,0.513142340
1,Balanced,AMOSA,208,0.406577,0.017113,0.159420,0.022763,17,3,4045,4.666000,0.506818269
1,Balanced,AMOSA,209,0.430529,0.040002,0.146023,0.010251,22,0,4036,4.672000,0.489475024
1,Balanced,AMOSA,MEAN,0.418211,0.030455,0.148558,0.019881,,16,4047,4.584000,0.482406137
2,GPU_Stress,GA_WaitingTime_Dominance,200,0.362572,0.017419,0.159972,0.029655,20,0,2262,4.698000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,201,0.387950,0.029425,0.162382,0.031831,22,0,1871,4.682000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,202,0.372387,0.020487,0.159188,0.028218,21,2,1876,4.716000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,203,0.372767,0.021630,0.157197,0.013030,31,1,1894,4.666000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,204,0.367634,0.019967,0.158617,0.018052,30,1,1902,4.662000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,205,0.392176,0.024586,0.154227,0.006857,35,0,1901,4.666000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,206,0.391383,0.027277,0.150971,0.010957,26,0,1878,4.656000,0.641113406
2,GPU_Stress,GA_WaitingTime_Dominance,207,0.346035,0.013892,0.159387,0.017158,28,13,1877,4.650000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,208,0.402021,0.025496,0.151986,0.008361,33,0,1875,4.658000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,209,0.377316,0.042547,0.167889,0.034149,25,0,1876,4.678000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,MEAN,0.377224,0.024273,0.158182,0.019827,,17,1921,4.650000,0.641113406
2,GPU_Stress,GA_Energy_Dominance,200,0.618237,0.144981,0.139301,0.009729,71,0,1927,7.314000,0.296347354
2,GPU_Stress,GA_Energy_Dominance,201,0.615932,0.149464,0.123896,0.017395,62,0,1968,7.112000,0.307469864
2,GPU_Stress,GA_Energy_Dominance,202,0.610922,0.149931,0.126334,0.018347,62,0,1947,7.204000,0.301457784
2,GPU_Stress,GA_Energy_Dominance,203,0.607346,0.186694,0.165303,0.009934,60,0,1962,7.468000,0.307758460
2,GPU_Stress,GA_Energy_Dominance,204,0.589907,0.187414,0.157509,0.016410,53,0,1971,7.506000,0.306733356
2,GPU_Stress,GA_Energy_Dominance,205,0.628812,0.160980,0.136226,0.010201,63,0,1921,7.274000,0.304894553
2,GPU_Stress,GA_Energy_Dominance,206,0.606549,0.168298,0.146854,0.009880,75,0,1932,7.326000,0.313139968
2,GPU_Stress,GA_Energy_Dominance,207,0.608024,0.152778,0.142685,0.014725,59,0,1967,7.458000,0.305180392
2,GPU_Stress,GA_Energy_Dominance,208,0.625085,0.156028,0.132610,0.010399,50,0,1925,7.230000,0.301714433
2,GPU_Stress,GA_Energy_Dominance,209,0.613150,0.150135,0.141662,0.013564,49,0,1925,7.530000,0.300740938
2,GPU_Stress,GA_Energy_Dominance,MEAN,0.612396,0.160670,0.141238,0.013058,,0,1944,7.112000,0.296347354
2,GPU_Stress,SA_WaitingTime_Dominance,200,0.386863,0.056220,0.175405,0.016197,19,0,788,5.260000,0.643891053
2,GPU_Stress,SA_WaitingTime_Dominance,201,0.381614,0.027170,0.162987,0.039475,34,0,785,5.332000,0.640844923
2,GPU_Stress,SA_WaitingTime_Dominance,202,0.397142,0.041310,0.164918,0.008638,44,0,810,4.684000,0.642717867
2,GPU_Stress,SA_WaitingTime_Dominance,203,0.386408,0.031927,0.159250,0.024583,40,0,810,5.108000,0.640300917
2,GPU_Stress,SA_WaitingTime_Dominance,204,0.408538,0.036354,0.152058,0.007969,58,0,826,5.070000,0.640300917
