Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
GA_WaitingTime_Dominance,200,0.315211,0.022048,0.223201,0.007733,23,23,0,2227
GA_WaitingTime_Dominance,201,0.309216,0.022266,0.225093,0.020811,20,20,0,1822
GA_WaitingTime_Dominance,202,0.290868,0.015278,0.243749,0.005785,25,25,1,1816
GA_WaitingTime_Dominance,203,0.311175,0.028635,0.222179,0.015792,30,30,0,1820
GA_WaitingTime_Dominance,204,0.301337,0.010890,0.236257,0.009263,20,20,8,1821
GA_WaitingTime_Dominance,205,0.297096,0.011088,0.233447,0.013738,31,31,2,1825
GA_WaitingTime_Dominance,206,0.321416,0.014921,0.217141,0.014735,30,30,2,1823
GA_WaitingTime_Dominance,207,0.294092,0.016268,0.239799,0.006325,33,33,4,1820
GA_WaitingTime_Dominance,208,0.284813,0.012886,0.249060,0.006272,25,25,1,1820
GA_WaitingTime_Dominance,209,0.284909,0.016604,0.249530,0.005951,28,28,3,1822
GA_WaitingTime_Dominance,MEAN,0.301013,0.017088,0.233946,0.010641,27,27,21,1861
GA_WaitingTime_Dominance,STDDEV,0.012151,0.005345,0.011054,0.005000,,,,
GA_Energy_Dominance,200,0.698688,0.117230,0.117990,0.019411,66,66,0,1966
GA_Energy_Dominance,201,0.697717,0.114138,0.103328,0.011229,62,62,1,1936
GA_Energy_Dominance,202,0.706188,0.110363,0.119665,0.013800,70,70,2,1953
GA_Energy_Dominance,203,0.693817,0.114041,0.122272,0.023158,54,54,0,1944
GA_Energy_Dominance,204,0.705046,0.116869,0.121244,0.019247,58,58,1,1944
GA_Energy_Dominance,205,0.719232,0.086476,0.084684,0.008906,88,88,2,1970
GA_Energy_Dominance,206,0.697924,0.113721,0.106919,0.010127,61,61,0,1943
GA_Energy_Dominance,207,0.686465,0.121694,0.104916,0.013242,55,55,0,1916
GA_Energy_Dominance,208,0.695172,0.116631,0.122149,0.014887,57,57,0,1938
GA_Energy_Dominance,209,0.694884,0.127396,0.119893,0.013005,64,64,1,1944
GA_Energy_Dominance,MEAN,0.699513,0.113856,0.112306,0.014701,64,64,7,1945
GA_Energy_Dominance,STDDEV,0.008446,0.010173,0.011608,0.004322,,,,
SA_WaitingTime_Dominance,200,0.286343,0.021477,0.248916,0.045101,26,27,0,787
SA_WaitingTime_Dominance,201,0.280497,0.023926,0.252761,0.046234,14,16,0,774
SA_WaitingTime_Dominance,202,0.281654,0.027115,0.251427,0.045522,21,21,0,764
SA_WaitingTime_Dominance,203,0.284021,0.042953,0.249241,0.016770,30,30,0,807
SA_WaitingTime_Dominance,204,0.284145,0.028196,0.250136,0.075844,9,10,0,775
SA_WaitingTime_Dominance,205,0.283666,0.026110,0.249592,0.055829,16,16,0,774
SA_WaitingTime_Dominance,206,0.285704,0.025117,0.248128,0.046601,20,20,0,788
SA_WaitingTime_Dominance,207,0.282396,0.023910,0.251003,0.042292,25,25,0,803
SA_WaitingTime_Dominance,208,0.292709,0.023306,0.244005,0.057382,14,14,0,780
