Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best
1,Balanced,GA_WaitingTime,200,0.060961,0.000000,0.437183,0.000000,1,1,2181,3.976000,0.570294305
1,Balanced,GA_WaitingTime,201,0.004459,0.004950,0.485962,0.000000,1,0,2418,3.990000,0.593852264
1,Balanced,GA_WaitingTime,202,0.073157,0.000000,0.426281,0.000000,1,1,1996,3.990000,0.565162941
1,Balanced,GA_WaitingTime,203,0.000000,0.021888,0.501212,0.000000,1,0,1970,3.992000,0.604984558
1,Balanced,GA_WaitingTime,204,0.002796,0.006401,0.486061,0.000000,1,0,1980,4.024000,0.594542094
1,Balanced,GA_WaitingTime,205,0.011868,0.013864,0.477392,0.000000,1,0,1975,4.036000,0.590733698
1,Balanced,GA_WaitingTime,206,0.042433,0.018536,0.452446,0.000000,1,0,1972,3.990000,0.577993726
1,Balanced,GA_WaitingTime,207,0.000000,0.032938,0.506313,0.000000,1,0,1958,4.008000,0.609796314
1,Balanced,GA_WaitingTime,208,0.000000,0.019039,0.497701,0.000000,1,0,1965,4.030000,0.603324883
1,Balanced,GA_WaitingTime,209,0.000000,0.000000,0.490775,0.000000,1,1,1973,3.970000,0.595714183
1,Balanced,GA_WaitingTime,MEAN,0.019567,0.011762,0.476133,0.000000,,3,2038,3.970000,0.565162941
1,Balanced,GA_Energy,200,0.000000,0.081613,0.961177,0.000000,1,0,2015,14.054000,0.197401786
1,Balanced,GA_Energy,201,0.000000,0.052484,0.954680,0.000000,1,0,2022,13.656000,0.196835547
1,Balanced,GA_Energy,202,0.000000,0.135416,0.974252,0.000000,1,0,2012,14.754000,0.196051952
1,Balanced,GA_Energy,203,0.075640,0.038130,0.883322,0.000000,1,0,2011,12.618000,0.197808872
1,Balanced,GA_Energy,204,0.000000,0.033138,0.955318,0.000000,1,0,2016,13.418000,0.192579304
1,Balanced,GA_Energy,205,0.000000,0.051523,0.958261,0.000000,1,0,2013,13.706000,0.194619637
1,Balanced,GA_Energy,206,0.000000,0.041072,0.950079,0.000000,1,0,2012,13.366000,0.196107599
1,Balanced,GA_Energy,207,0.036606,0.067680,0.910769,0.000000,1,0,2016,12.998000,0.202114355
1,Balanced,GA_Energy,208,0.000000,0.059724,0.952862,0.000000,1,0,2022,13.704000,0.199119086
1,Balanced,GA_Energy,209,0.000000,0.085101,0.968453,0.000000,1,0,2018,14.160000,0.192872738
1,Balanced,GA_Energy,MEAN,0.011225,0.064588,0.946917,0.000000,,0,2015,12.618000,0.192579304
1,Balanced,SA_WaitingTime,200,0.000000,0.091588,0.499682,0.000000,1,0,765,4.650000,0.620478058
1,Balanced,SA_WaitingTime,201,0.000000,0.069424,0.498760,0.000000,1,0,757,4.458000,0.615827172
1,Balanced,SA_WaitingTime,202,0.000000,0.102112,0.527723,0.000000,1,0,758,4.348000,0.638872028
1,Balanced,SA_WaitingTime,203,0.000000,0.091528,0.509816,0.000000,1,0,758,4.528000,0.626899113
1,Balanced,SA_WaitingTime,204,0.000000,0.082760,0.518049,0.000000,1,0,762,4.314000,0.629119892
1,Balanced,SA_WaitingTime,205,0.000000,0.128199,0.521714,0.000000,1,0,771,4.732000,0.641636205
1,Balanced,SA_WaitingTime,206,0.000000,0.078955,0.491965,0.000000,1,0,756,4.608000,0.613186423
1,Balanced,SA_WaitingTime,207,0.000000,0.108561,0.519271,0.000000,1,0,1223,4.562000,0.636118433
1,Balanced,SA_WaitingTime,208,0.013214,0.083449,0.453863,0.000000,1,0,771,4.742000,0.589714374
1,Balanced,SA_WaitingTime,209,0.000000,0.113256,0.531709,0.000000,1,0,749,4.398000,0.643919519
1,Balanced,SA_WaitingTime,MEAN,0.001321,0.094983,0.507255,0.000000,,0,807,4.314000,0.589714374
1,Balanced,SA_Energy,200,0.108292,0.016479,0.866433,0.000000,1,0,844,12.314000,0.191289942
1,Balanced,SA_Energy,201,0.297592,0.000000,0.721274,0.000000,1,1,844,10.438000,0.197380307
1,Balanced,SA_Energy,202,0.229551,0.010692,0.769488,0.000000,1,0,833,11.116000,0.195702029
1,Balanced,SA_Energy,203,0.101479,0.000000,0.880933,0.000000,1,1,843,12.394000,0.185411312
1,Balanced,SA_Energy,204,0.130039,0.000000,0.856069,0.000000,1,1,832,12.116000,0.187243890
1,Balanced,SA_Energy,205,0.000000,0.192185,1.001476,0.000000,1,0,850,15.592000,0.183521979
1,Balanced,SA_Energy,206,0.239189,0.000000,0.768230,0.000000,1,1,815,11.038000,0.192895566
1,Balanced,SA_Energy,207,0.168515,0.000000,0.822798,0.000000,1,1,820,11.736000,0.190090671
1,Balanced,SA_Energy,208,0.000000,0.000000,0.971266,0.000000,1,1,805,13.362000,0.178992838
1,Balanced,SA_Energy,209,0.000000,0.019183,0.961337,0.000000,1,0,860,13.372000,0.186974424
1,Balanced,SA_Energy,MEAN,0.127466,0.023854,0.861930,0.000000,,6,834,10.438000,0.178992838
1,Balanced,NSGA-II,200,0.532621,0.026726,0.058664,0.008405,53,0,2831,4.888000,0.325305277
1,Balanced,NSGA-II,201,0.521506,0.042440,0.063414,0.007040,57,0,2668,4.988000,0.326547677
1,Balanced,NSGA-II,202,0.539932,0.019866,0.052089,0.010753,63,1,2663,4.876000,0.322365379
1,Balanced,NSGA-II,203,0.532471,0.029638,0.054717,0.009917,59,0,2656,4.872000,0.323990812
1,Balanced,NSGA-II,204,0.541070,0.020535,0.056405,0.009237,52,2,2647,4.950000,0.321802854
1,Balanced,NSGA-II,205,0.533608,0.029535,0.055072,0.008886,57,0,2659,4.844000,0.323412225
1,Balanced,NSGA-II,206,0.524676,0.019909,0.060325,0.007503,53,0,2634,4.896000,0.334516731
1,Balanced,NSGA-II,207,0.525285,0.029593,0.063367,0.007312,48,0,2643,4.860000,0.329665851
