Algorithm,Seed,WaitingTime,Energy,IsUniversalPareto
GA_WaitingTime,200,4.378000,0.743556670,false
GA_WaitingTime,201,4.340000,0.744933331,false
GA_WaitingTime,202,4.336000,0.724344626,false
GA_WaitingTime,203,4.342000,0.751697687,false
GA_WaitingTime,204,4.370000,0.758284111,false
GA_WaitingTime,205,4.392000,0.752876001,false
GA_WaitingTime,206,4.294000,0.711212317,true
GA_WaitingTime,207,4.378000,0.724863668,false
GA_WaitingTime,208,4.360000,0.750567667,false
GA_WaitingTime,209,4.408000,0.731742804,false
GA_Energy,200,17.168000,0.248563181,false
GA_Energy,201,16.108000,0.254029223,false
GA_Energy,202,16.320000,0.252320376,false
GA_Energy,203,17.046000,0.255307280,false
GA_Energy,204,16.772000,0.246457356,false
GA_Energy,205,16.608000,0.254558950,false
GA_Energy,206,17.076000,0.248528919,false
GA_Energy,207,15.868000,0.248968432,false
GA_Energy,208,17.336000,0.255126729,false
GA_Energy,209,16.602000,0.256968505,false
SA_WaitingTime,200,5.222000,0.806174989,false
SA_WaitingTime,201,5.472000,0.815733656,false
SA_WaitingTime,202,5.062000,0.823504400,false
SA_WaitingTime,203,4.992000,0.814193029,false
SA_WaitingTime,204,5.384000,0.795344817,false
SA_WaitingTime,205,5.186000,0.800286645,false
SA_WaitingTime,206,5.214000,0.797376999,false
SA_WaitingTime,207,5.262000,0.793197941,false
SA_WaitingTime,208,5.060000,0.799300228,false
SA_WaitingTime,209,5.182000,0.793377592,false
SA_Energy,200,14.002000,0.242313145,false
SA_Energy,201,15.396000,0.239066990,false
SA_Energy,202,13.320000,0.240067773,true
SA_Energy,203,17.056000,0.231957834,true
SA_Energy,204,16.418000,0.236799514,false
SA_Energy,205,12.184000,0.254467619,true
SA_Energy,206,14.318000,0.243346752,false
SA_Energy,207,15.260000,0.236689628,false
SA_Energy,208,13.922000,0.236333716,true
SA_Energy,209,14.924000,0.243249241,false
NSGA-II,200,5.710000,0.705530129,false
NSGA-II,200,10.108000,0.393931099,false
NSGA-II,200,5.774000,0.652518930,false
NSGA-II,200,5.874000,0.592507670,false
NSGA-II,200,9.948000,0.403579530,false
NSGA-II,200,9.232000,0.408936744,false
NSGA-II,200,6.046000,0.580316288,false
NSGA-II,200,5.728000,0.694267677,false
NSGA-II,200,6.240000,0.565497223,false
NSGA-II,200,6.756000,0.512666615,false
NSGA-II,200,8.878000,0.415632557,false
NSGA-II,200,9.022000,0.409818505,false
NSGA-II,200,6.620000,0.527513369,false
NSGA-II,200,6.516000,0.542693257,false
NSGA-II,200,8.650000,0.417966749,false
NSGA-II,200,8.240000,0.430817176,false
NSGA-II,200,8.396000,0.427238989,false
NSGA-II,200,6.716000,0.527050040,false
NSGA-II,200,7.456000,0.467909587,false
NSGA-II,200,6.512000,0.549520415,false
NSGA-II,200,6.994000,0.511373071,false
NSGA-II,200,7.586000,0.459788316,false
NSGA-II,200,6.424000,0.560177705,false
NSGA-II,200,7.748000,0.454203902,false
NSGA-II,200,8.124000,0.442627058,false
NSGA-II,200,8.162000,0.436850333,false
NSGA-II,200,6.374000,0.561359670,false
NSGA-II,200,8.534000,0.426797023,false
NSGA-II,200,7.276000,0.492071382,false
NSGA-II,200,7.584000,0.465656423,false
NSGA-II,200,8.582000,0.422540545,false
NSGA-II,200,7.874000,0.450896375,false
NSGA-II,200,7.426000,0.478877679,false
NSGA-II,200,8.028000,0.448006830,false
NSGA-II,200,5.714000,0.695387390,false
NSGA-II,200,7.988000,0.449938726,false
NSGA-II,200,7.792000,0.452869396,false
NSGA-II,200,7.292000,0.484070699,false
NSGA-II,200,7.186000,0.494038775,false
NSGA-II,200,7.324000,0.481905986,false
NSGA-II,200,7.024000,0.508569507,false
NSGA-II,200,7.422000,0.480067831,false
NSGA-II,200,7.148000,0.498206669,false
NSGA-II,200,7.076000,0.506910482,false
NSGA-II,200,7.136000,0.502559777,false
NSGA-II,200,7.182000,0.496337166,false
NSGA-II,200,7.098000,0.505154812,false
NSGA-II,200,7.132000,0.505032156,false
NSGA-II,200,8.014000,0.448284679,false
NSGA-II,200,7.296000,0.482021847,false
NSGA-II,201,5.554000,0.675218391,false
NSGA-II,201,9.774000,0.402851604,false
NSGA-II,201,8.522000,0.424974342,false
NSGA-II,201,9.002000,0.416375342,false
NSGA-II,201,6.534000,0.535212856,false
NSGA-II,201,5.774000,0.634886875,false
NSGA-II,201,9.326000,0.403736818,false
NSGA-II,201,5.738000,0.653131436,false
NSGA-II,201,7.318000,0.489199542,false
NSGA-II,201,6.668000,0.523519299,false
NSGA-II,201,7.930000,0.454010245,false
NSGA-II,201,7.078000,0.497195837,false
NSGA-II,201,6.090000,0.597182682,false
NSGA-II,201,8.194000,0.450127665,false
NSGA-II,201,6.124000,0.579299878,false
NSGA-II,201,5.708000,0.668192052,false
NSGA-II,201,7.828000,0.462700193,false
NSGA-II,201,8.380000,0.436640333,false
NSGA-II,201,6.886000,0.520519310,false
NSGA-II,201,6.426000,0.548242014,false
NSGA-II,201,5.852000,0.621955033,false
NSGA-II,201,8.260000,0.445244420,false
