Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
GA_WaitingTime,200,0.000000,0.063564,0.525522,0.000000,1,1,0,2374
GA_WaitingTime,201,0.000000,0.065835,0.528047,0.000000,1,1,0,1979
GA_WaitingTime,202,0.000000,0.026873,0.508428,0.000000,1,1,0,1985
GA_WaitingTime,203,0.000000,0.077986,0.534238,0.000000,1,1,0,1987
GA_WaitingTime,204,0.000000,0.089633,0.539330,0.000000,1,1,0,1988
GA_WaitingTime,205,0.000000,0.080349,0.533732,0.000000,1,1,0,1988
GA_WaitingTime,206,0.000000,0.000000,0.496910,0.000000,1,1,1,1992
GA_WaitingTime,207,0.000000,0.028467,0.507489,0.000000,1,1,0,1990
GA_WaitingTime,208,0.000000,0.076062,0.532624,0.000000,1,1,0,1984
GA_WaitingTime,209,0.000000,0.042039,0.513226,0.000000,1,1,0,2000
GA_WaitingTime,MEAN,0.000000,0.055081,0.521955,0.000000,1,1,1,2026
GA_WaitingTime,STDDEV,0.000000,0.027736,0.013604,0.000000,,,,
GA_Energy,200,0.000000,0.035724,0.940963,0.000000,1,1,0,2041
GA_Energy,201,0.070862,0.087401,0.873520,0.000000,1,1,0,2044
GA_Energy,202,0.055221,0.071632,0.888630,0.000000,1,1,0,2048
GA_Energy,203,0.000745,0.048727,0.931447,0.000000,1,1,0,2061
GA_Energy,204,0.021580,0.037557,0.923511,0.000000,1,1,0,2060
GA_Energy,205,0.033449,0.058790,0.904223,0.000000,1,1,0,2072
GA_Energy,206,0.000000,0.034612,0.939616,0.000000,1,1,0,2115
GA_Energy,207,0.089785,0.099626,0.864670,0.000000,1,1,0,2098
GA_Energy,208,0.000000,0.052896,0.936496,0.000000,1,1,0,2042
GA_Energy,209,0.033718,0.063158,0.901219,0.000000,1,1,0,2028
GA_Energy,MEAN,0.030536,0.059012,0.910430,0.000000,1,1,0,2060
GA_Energy,STDDEV,0.030870,0.020912,0.026704,0.000000,,,,
SA_WaitingTime,200,0.000000,0.177238,0.559392,0.000000,1,1,0,1270
SA_WaitingTime,201,0.000000,0.190820,0.562808,0.000000,1,1,0,754
SA_WaitingTime,202,0.000000,0.199138,0.575879,0.000000,1,1,0,755
SA_WaitingTime,203,0.000000,0.185135,0.570192,0.000000,1,1,0,774
SA_WaitingTime,204,0.000000,0.161260,0.547749,0.000000,1,1,0,776
SA_WaitingTime,205,0.000000,0.168890,0.555297,0.000000,1,1,0,1227
SA_WaitingTime,206,0.000000,0.164483,0.552389,0.000000,1,1,0,781
SA_WaitingTime,207,0.000000,0.158095,0.548041,0.000000,1,1,0,769
SA_WaitingTime,208,0.000000,0.166462,0.556957,0.000000,1,1,0,762
SA_WaitingTime,209,0.000000,0.158705,0.549667,0.000000,1,1,0,773
SA_WaitingTime,MEAN,0.000000,0.173023,0.557837,0.000000,1,1,0,864
SA_WaitingTime,STDDEV,0.000000,0.013647,0.008982,0.000000,,,,
SA_Energy,200,0.234134,0.013963,0.765233,0.000000,1,1,0,839
SA_Energy,201,0.128144,0.115640,0.848589,0.000000,1,1,0,855
SA_Energy,202,0.287790,0.000000,0.733357,0.000000,1,1,1,860
SA_Energy,203,0.000000,0.000000,0.957661,0.000000,1,1,1,856
SA_Energy,204,0.049487,0.051003,0.912671,0.000000,1,1,0,833
SA_Energy,205,0.363828,0.000000,0.659649,0.000000,1,1,1,847
SA_Energy,206,0.209445,0.034307,0.781191,0.000000,1,1,0,823
SA_Energy,207,0.139341,0.104845,0.843689,0.000000,1,1,0,833
SA_Energy,208,0.243331,0.000000,0.769264,0.000000,1,1,1,816
SA_Energy,209,0.163122,0.079829,0.815723,0.000000,1,1,0,857
SA_Energy,MEAN,0.181862,0.039959,0.808703,0.000000,1,1,4,841
SA_Energy,STDDEV,0.103559,0.043294,0.082437,0.000000,,,,
NSGA-II,200,0.530485,0.020697,0.043777,0.014499,50,50,0,2709
NSGA-II,201,0.518517,0.025464,0.049834,0.009177,50,50,0,2712
NSGA-II,202,0.539638,0.022153,0.041561,0.012197,60,60,2,2717
NSGA-II,203,0.543234,0.029741,0.044010,0.009576,71,71,0,2710
NSGA-II,204,0.539803,0.018423,0.041633,0.009048,60,60,2,2718
NSGA-II,205,0.507463,0.030163,0.053624,0.007395,62,62,0,2733
NSGA-II,206,0.541579,0.017781,0.040806,0.013007,62,62,1,2711
NSGA-II,207,0.507174,0.035082,0.057162,0.007537,58,58,0,2717
NSGA-II,208,0.539377,0.030071,0.038333,0.015594,58,58,1,2698
NSGA-II,209,0.529282,0.025537,0.051583,0.012804,44,44,2,2700
NSGA-II,MEAN,0.529655,0.025511,0.046232,0.011084,58,58,8,2712
NSGA-II,STDDEV,0.013215,0.005444,0.006012,0.002759,,,,
SPEA-II,200,0.512498,0.002885,0.045629,0.006530,60,60,31,3391
SPEA-II,201,0.552325,0.010926,0.038564,0.010776,47,47,5,3388
