Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best
1,Balanced,FirstAvailable,200,0.000000,1.157248,1.254004,0.000000,1,0,47,124.500000,1.176955432
1,Balanced,FirstAvailable,201,0.000000,1.157248,1.254004,0.000000,1,0,478,124.500000,1.176955432
1,Balanced,FirstAvailable,202,0.000000,1.157248,1.254004,0.000000,1,0,7,124.500000,1.176955432
1,Balanced,FirstAvailable,203,0.000000,1.157248,1.254004,0.000000,1,0,6,124.500000,1.176955432
1,Balanced,FirstAvailable,204,0.000000,1.157248,1.254004,0.000000,1,0,494,124.500000,1.176955432
1,Balanced,FirstAvailable,205,0.000000,1.157248,1.254004,0.000000,1,0,5,124.500000,1.176955432
1,Balanced,FirstAvailable,206,0.000000,1.157248,1.254004,0.000000,1,0,4,124.500000,1.176955432
1,Balanced,FirstAvailable,207,0.000000,1.157248,1.254004,0.000000,1,0,4,124.500000,1.176955432
1,Balanced,FirstAvailable,208,0.000000,1.157248,1.254004,0.000000,1,0,5,124.500000,1.176955432
1,Balanced,FirstAvailable,209,0.000000,1.157248,1.254004,0.000000,1,0,4,124.500000,1.176955432
1,Balanced,FirstAvailable,MEAN,0.000000,1.157248,1.254004,0.000000,,0,105,124.500000,1.176955432
1,Balanced,ShortestQueue,200,0.068759,0.295987,0.441032,0.000000,1,0,5,7.494000,0.549853477
1,Balanced,ShortestQueue,201,0.068759,0.295987,0.441032,0.000000,1,0,3,7.494000,0.549853477
1,Balanced,ShortestQueue,202,0.068759,0.295987,0.441032,0.000000,1,0,4,7.494000,0.549853477
1,Balanced,ShortestQueue,203,0.068759,0.295987,0.441032,0.000000,1,0,4,7.494000,0.549853477
1,Balanced,ShortestQueue,204,0.068759,0.295987,0.441032,0.000000,1,0,4,7.494000,0.549853477
1,Balanced,ShortestQueue,205,0.068759,0.295987,0.441032,0.000000,1,0,3,7.494000,0.549853477
1,Balanced,ShortestQueue,206,0.068759,0.295987,0.441032,0.000000,1,0,3,7.494000,0.549853477
1,Balanced,ShortestQueue,207,0.068759,0.295987,0.441032,0.000000,1,0,2,7.494000,0.549853477
1,Balanced,ShortestQueue,208,0.068759,0.295987,0.441032,0.000000,1,0,2,7.494000,0.549853477
1,Balanced,ShortestQueue,209,0.068759,0.295987,0.441032,0.000000,1,0,2,7.494000,0.549853477
1,Balanced,ShortestQueue,MEAN,0.068759,0.295987,0.441032,0.000000,,0,3,7.494000,0.549853477
1,Balanced,WorkloadAware,200,0.175634,0.000000,0.370148,0.000000,1,1,6,4.026000,0.522084888
1,Balanced,WorkloadAware,201,0.175634,0.000000,0.370148,0.000000,1,1,3,4.026000,0.522084888
1,Balanced,WorkloadAware,202,0.175634,0.000000,0.370148,0.000000,1,1,3,4.026000,0.522084888
1,Balanced,WorkloadAware,203,0.175634,0.000000,0.370148,0.000000,1,1,3,4.026000,0.522084888
1,Balanced,WorkloadAware,204,0.175634,0.000000,0.370148,0.000000,1,1,3,4.026000,0.522084888
1,Balanced,WorkloadAware,205,0.175634,0.000000,0.370148,0.000000,1,1,3,4.026000,0.522084888
1,Balanced,WorkloadAware,206,0.175634,0.000000,0.370148,0.000000,1,1,3,4.026000,0.522084888
1,Balanced,WorkloadAware,207,0.175634,0.000000,0.370148,0.000000,1,1,2,4.026000,0.522084888
1,Balanced,WorkloadAware,208,0.175634,0.000000,0.370148,0.000000,1,1,2,4.026000,0.522084888
1,Balanced,WorkloadAware,209,0.175634,0.000000,0.370148,0.000000,1,1,3,4.026000,0.522084888
1,Balanced,WorkloadAware,MEAN,0.175634,0.000000,0.370148,0.000000,,10,3,4.026000,0.522084888
1,Balanced,RoundRobin,200,0.034092,0.378084,0.512984,0.000000,1,0,6,8.160000,0.570064143
1,Balanced,RoundRobin,201,0.034092,0.378084,0.512984,0.000000,1,0,5,8.160000,0.570064143
1,Balanced,RoundRobin,202,0.034092,0.378084,0.512984,0.000000,1,0,4,8.160000,0.570064143
1,Balanced,RoundRobin,203,0.034092,0.378084,0.512984,0.000000,1,0,4,8.160000,0.570064143
1,Balanced,RoundRobin,204,0.034092,0.378084,0.512984,0.000000,1,0,4,8.160000,0.570064143
1,Balanced,RoundRobin,205,0.034092,0.378084,0.512984,0.000000,1,0,4,8.160000,0.570064143
1,Balanced,RoundRobin,206,0.034092,0.378084,0.512984,0.000000,1,0,3,8.160000,0.570064143
1,Balanced,RoundRobin,207,0.034092,0.378084,0.512984,0.000000,1,0,3,8.160000,0.570064143
1,Balanced,RoundRobin,208,0.034092,0.378084,0.512984,0.000000,1,0,4,8.160000,0.570064143
1,Balanced,RoundRobin,209,0.034092,0.378084,0.512984,0.000000,1,0,3,8.160000,0.570064143
1,Balanced,RoundRobin,MEAN,0.034092,0.378084,0.512984,0.000000,,0,4,8.160000,0.570064143
1,Balanced,GA_WaitingTime,200,0.060961,0.000000,0.465077,0.000000,1,1,2148,3.976000,0.570294305
1,Balanced,GA_WaitingTime,201,0.004459,0.004950,0.514514,0.000000,1,0,2029,3.990000,0.593852264
1,Balanced,GA_WaitingTime,202,0.073157,0.000000,0.453975,0.000000,1,1,1989,3.990000,0.565162941
