Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
FirstAvailable,200,0.000000,1.225159,1.278264,0.000000,1,1,0,499
FirstAvailable,201,0.000000,1.225159,1.278264,0.000000,1,1,0,2
FirstAvailable,202,0.000000,1.225159,1.278264,0.000000,1,1,0,2
FirstAvailable,203,0.000000,1.225159,1.278264,0.000000,1,1,0,2
FirstAvailable,204,0.000000,1.225159,1.278264,0.000000,1,1,0,2
FirstAvailable,205,0.000000,1.225159,1.278264,0.000000,1,1,0,1
FirstAvailable,206,0.000000,1.225159,1.278264,0.000000,1,1,0,1
FirstAvailable,207,0.000000,1.225159,1.278264,0.000000,1,1,0,2
FirstAvailable,208,0.000000,1.225159,1.278264,0.000000,1,1,0,2
FirstAvailable,209,0.000000,1.225159,1.278264,0.000000,1,1,0,2
FirstAvailable,MEAN,0.000000,1.225159,1.278264,0.000000,1,1,0,51
FirstAvailable,STDDEV,0.000000,0.000000,0.000000,0.000000,,,,
ShortestQueue,200,0.000000,0.321378,0.482874,0.000000,1,1,0,1
ShortestQueue,201,0.000000,0.321378,0.482874,0.000000,1,1,0,1
ShortestQueue,202,0.000000,0.321378,0.482874,0.000000,1,1,0,2
ShortestQueue,203,0.000000,0.321378,0.482874,0.000000,1,1,0,1
ShortestQueue,204,0.000000,0.321378,0.482874,0.000000,1,1,0,1
ShortestQueue,205,0.000000,0.321378,0.482874,0.000000,1,1,0,1
ShortestQueue,206,0.000000,0.321378,0.482874,0.000000,1,1,0,2
ShortestQueue,207,0.000000,0.321378,0.482874,0.000000,1,1,0,1
ShortestQueue,208,0.000000,0.321378,0.482874,0.000000,1,1,0,1
ShortestQueue,209,0.000000,0.321378,0.482874,0.000000,1,1,0,1
ShortestQueue,MEAN,0.000000,0.321378,0.482874,0.000000,1,1,0,1
ShortestQueue,STDDEV,0.000000,0.000000,0.000000,0.000000,,,,
WorkloadAware,200,0.000000,0.000000,0.419788,0.000000,1,1,1,1
WorkloadAware,201,0.000000,0.000000,0.419788,0.000000,1,1,1,1
WorkloadAware,202,0.000000,0.000000,0.419788,0.000000,1,1,1,2
WorkloadAware,203,0.000000,0.000000,0.419788,0.000000,1,1,1,1
WorkloadAware,204,0.000000,0.000000,0.419788,0.000000,1,1,1,2
WorkloadAware,205,0.000000,0.000000,0.419788,0.000000,1,1,1,1
WorkloadAware,206,0.000000,0.000000,0.419788,0.000000,1,1,1,1
WorkloadAware,207,0.000000,0.000000,0.419788,0.000000,1,1,1,1
WorkloadAware,208,0.000000,0.000000,0.419788,0.000000,1,1,1,1
WorkloadAware,209,0.000000,0.000000,0.419788,0.000000,1,1,1,2
WorkloadAware,MEAN,0.000000,0.000000,0.419788,0.000000,1,1,10,1
WorkloadAware,STDDEV,0.000000,0.000000,0.000000,0.000000,,,,
RoundRobin,200,0.000000,0.452470,0.571300,0.000000,1,1,0,2
RoundRobin,201,0.000000,0.452470,0.571300,0.000000,1,1,0,2
RoundRobin,202,0.000000,0.452470,0.571300,0.000000,1,1,0,2
RoundRobin,203,0.000000,0.452470,0.571300,0.000000,1,1,0,1
RoundRobin,204,0.000000,0.452470,0.571300,0.000000,1,1,0,2
RoundRobin,205,0.000000,0.452470,0.571300,0.000000,1,1,0,2
RoundRobin,206,0.000000,0.452470,0.571300,0.000000,1,1,0,2
RoundRobin,207,0.000000,0.452470,0.571300,0.000000,1,1,0,2
RoundRobin,208,0.000000,0.452470,0.571300,0.000000,1,1,0,2
RoundRobin,209,0.000000,0.452470,0.571300,0.000000,1,1,0,1
RoundRobin,MEAN,0.000000,0.452470,0.571300,0.000000,1,1,0,1
RoundRobin,STDDEV,0.000000,0.000000,0.000000,0.000000,,,,
GA_WaitingTime,200,0.000000,0.102021,0.469840,0.000000,1,1,0,1934
GA_WaitingTime,201,0.000000,0.095632,0.467402,0.000000,1,1,0,1932
GA_WaitingTime,202,0.000000,0.162581,0.506874,0.000000,1,1,0,1931
GA_WaitingTime,203,0.000000,0.122190,0.483784,0.000000,1,1,0,1933
GA_WaitingTime,204,0.000000,0.151940,0.498273,0.000000,1,1,0,1943
GA_WaitingTime,205,0.000000,0.151530,0.498233,0.000000,1,1,0,1950
GA_WaitingTime,206,0.000000,0.102992,0.471421,0.000000,1,1,0,1930
GA_WaitingTime,207,0.000000,0.127477,0.485290,0.000000,1,1,0,1930
GA_WaitingTime,208,0.000000,0.154410,0.499858,0.000000,1,1,0,1927
GA_WaitingTime,209,0.000000,0.131657,0.485724,0.000000,1,1,0,1936
GA_WaitingTime,MEAN,0.000000,0.130243,0.486670,0.000000,1,1,0,1934
GA_WaitingTime,STDDEV,0.000000,0.023163,0.013224,0.000000,,,,
GA_Energy,200,0.046340,0.082663,0.935318,0.000000,1,1,0,1972
GA_Energy,201,0.038057,0.077382,0.942249,0.000000,1,1,0,1976
GA_Energy,202,0.113119,0.062705,0.876861,0.000000,1,1,0,1978
GA_Energy,203,0.076707,0.079836,0.911084,0.000000,1,1,0,1974
GA_Energy,204,0.091480,0.061833,0.906513,0.000000,1,1,0,1972
GA_Energy,205,0.145850,0.044394,0.852168,0.000000,1,1,0,1967
GA_Energy,206,0.135699,0.055249,0.862144,0.000000,1,1,0,1974
GA_Energy,207,0.116437,0.060755,0.874897,0.000000,1,1,0,1970
GA_Energy,208,0.185948,0.000000,0.820018,0.000000,1,1,1,1969
GA_Energy,209,0.108589,0.063971,0.880866,0.000000,1,1,0,1975
GA_Energy,MEAN,0.105822,0.058879,0.886212,0.000000,1,1,1,1972
GA_Energy,STDDEV,0.042746,0.022561,0.035981,0.000000,,,,
SA_WaitingTime,200,0.000000,0.233134,0.512159,0.000000,1,1,0,743
SA_WaitingTime,201,0.000000,0.203805,0.506387,0.000000,1,1,0,743
SA_WaitingTime,202,0.000000,0.210883,0.499134,0.000000,1,1,0,773
SA_WaitingTime,203,0.000000,0.241099,0.528812,0.000000,1,1,0,758
SA_WaitingTime,204,0.000000,0.205987,0.516737,0.000000,1,1,0,771
SA_WaitingTime,205,0.000000,0.258974,0.529742,0.000000,1,1,0,748
SA_WaitingTime,206,0.000000,0.206061,0.494832,0.000000,1,1,0,743
SA_WaitingTime,207,0.000000,0.193990,0.491209,0.000000,1,1,0,772
SA_WaitingTime,208,0.000000,0.206957,0.495803,0.000000,1,1,0,770
SA_WaitingTime,209,0.000000,0.277099,0.548440,0.000000,1,1,0,1196
SA_WaitingTime,MEAN,0.000000,0.223799,0.512325,0.000000,1,1,0,801
SA_WaitingTime,STDDEV,0.000000,0.026144,0.017700,0.000000,,,,
SA_Energy,200,0.145015,0.015433,0.885611,0.000000,1,1,0,831
SA_Energy,201,0.112590,0.031705,0.908279,0.000000,1,1,0,814
SA_Energy,202,0.141843,0.000000,0.898782,0.000000,1,1,1,823
SA_Energy,203,0.027449,0.043520,0.970665,0.000000,1,1,0,849
SA_Energy,204,0.054134,0.062291,0.953481,0.000000,1,1,0,840
SA_Energy,205,0.000000,0.000000,1.011729,0.000000,1,1,1,820
SA_Energy,206,0.000000,0.111303,1.023092,0.000000,1,1,0,818
SA_Energy,207,0.000000,0.009136,1.006248,0.000000,1,1,0,804
SA_Energy,208,0.195237,0.000000,0.855830,0.000000,1,1,1,833
SA_Energy,209,0.155134,0.024533,0.875830,0.000000,1,1,0,814
SA_Energy,MEAN,0.083140,0.029792,0.938955,0.000000,1,1,3,824
SA_Energy,STDDEV,0.071113,0.033490,0.058664,0.000000,,,,
NSGA-II,200,0.466897,0.036551,0.067303,0.010127,38,38,0,2649
NSGA-II,201,0.409301,0.034679,0.067288,0.015623,33,33,0,2658
NSGA-II,202,0.441543,0.039082,0.064000,0.012925,45,45,0,2659
NSGA-II,203,0.454944,0.024659,0.061635,0.011226,40,40,2,2648
NSGA-II,204,0.445438,0.031913,0.062371,0.020057,40,40,0,2654
NSGA-II,205,0.476642,0.019418,0.055491,0.012273,30,30,5,2635
NSGA-II,206,0.461790,0.039005,0.069670,0.006501,47,47,0,2704
NSGA-II,207,0.455841,0.024497,0.061058,0.009459,41,41,2,2659
NSGA-II,208,0.456182,0.015766,0.050415,0.012956,36,36,2,2640
NSGA-II,209,0.449042,0.023051,0.062503,0.017614,36,36,1,2642
NSGA-II,MEAN,0.451762,0.028862,0.062173,0.012876,39,39,12,2654
NSGA-II,STDDEV,0.017175,0.008005,0.005446,0.003802,,,,
SPEA-II,200,0.433171,0.017794,0.059406,0.009143,39,39,3,3343
SPEA-II,201,0.434418,0.013753,0.055926,0.009309,30,30,0,3316
SPEA-II,202,0.429497,0.027322,0.058035,0.018714,32,32,1,3364
SPEA-II,203,0.446973,0.010710,0.052092,0.011245,32,32,7,3326
SPEA-II,204,0.434942,0.017764,0.053487,0.010142,39,39,1,3351
SPEA-II,205,0.454999,0.017475,0.050663,0.009072,48,48,1,3345
SPEA-II,206,0.461390,0.034694,0.058449,0.009376,34,34,3,3333
SPEA-II,207,0.463005,0.012083,0.050656,0.008114,46,46,8,3349
SPEA-II,208,0.436615,0.017606,0.057643,0.011270,39,39,2,3332
SPEA-II,209,0.443379,0.023829,0.056575,0.018555,35,35,2,3336
SPEA-II,MEAN,0.443839,0.019303,0.055293,0.011494,37,37,28,3339
SPEA-II,STDDEV,0.011617,0.006995,0.003137,0.003688,,,,
AMOSA,200,0.379781,0.051709,0.092824,0.003515,66,66,0,2536
AMOSA,201,0.359493,0.018098,0.083959,0.004393,60,60,0,2497
AMOSA,202,0.370738,0.021451,0.079145,0.005628,67,67,3,2506
AMOSA,203,0.343522,0.042523,0.100136,0.006037,60,60,0,2518
AMOSA,204,0.365509,0.050956,0.088335,0.006067,73,73,0,2532
AMOSA,205,0.342879,0.025506,0.089541,0.004857,63,63,19,2540
AMOSA,206,0.348511,0.046685,0.093926,0.003863,77,77,0,2532
AMOSA,207,0.401367,0.041897,0.090435,0.006000,66,66,0,2518
AMOSA,208,0.391949,0.029980,0.080079,0.003622,67,67,0,2545
AMOSA,209,0.389263,0.047271,0.094913,0.006550,76,76,0,2536
AMOSA,MEAN,0.369301,0.037607,0.089329,0.005053,68,68,22,2526
AMOSA,STDDEV,0.019892,0.012007,0.006338,0.001085,,,,
Universal_Pareto,ALL,0.549772,0.000000,0.000000,0.000000,67,67,67,0
