Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best
1,Balanced,GA_WaitingTime,200,0.018919,0.009356,0.542322,0.000000,1,0,2457,3.858000,0.184331166
1,Balanced,GA_WaitingTime,201,0.000000,0.000000,0.561300,0.000000,1,1,2631,3.826000,0.185359993
1,Balanced,GA_WaitingTime,202,0.000000,0.008807,0.560913,0.000000,1,0,2209,3.844000,0.185742316
1,Balanced,GA_WaitingTime,203,0.022255,0.000000,0.545999,0.000000,1,1,2252,3.828000,0.184160445
1,Balanced,GA_WaitingTime,204,0.074791,0.000000,0.507548,0.000000,1,1,2235,3.864000,0.181285599
1,Balanced,GA_WaitingTime,205,0.000000,0.098701,0.597684,0.000000,1,0,2239,3.872000,0.191197761
1,Balanced,GA_WaitingTime,206,0.000000,0.026661,0.570093,0.000000,1,0,2211,3.840000,0.186817453
1,Balanced,GA_WaitingTime,207,0.000000,0.051646,0.582187,0.000000,1,0,2194,3.836000,0.188288631
1,Balanced,GA_WaitingTime,208,0.000000,0.017203,0.562052,0.000000,1,0,2184,3.856000,0.186168126
1,Balanced,GA_WaitingTime,209,0.000000,0.054499,0.581975,0.000000,1,0,2193,3.844000,0.188449592
1,Balanced,GA_WaitingTime,MEAN,0.011597,0.026687,0.561207,0.000000,,3,2280,3.826000,0.181285599
1,Balanced,GA_Energy,200,0.005682,0.032321,0.834682,0.000000,1,0,2234,7.214000,0.133202803
1,Balanced,GA_Energy,201,0.043820,0.027235,0.815995,0.000000,1,0,2253,7.082000,0.132434207
1,Balanced,GA_Energy,202,0.000000,0.111171,0.889600,0.000000,1,0,2260,7.660000,0.131686416
1,Balanced,GA_Energy,203,0.029039,0.042201,0.818569,0.000000,1,0,2269,7.132000,0.133093321
1,Balanced,GA_Energy,204,0.000000,0.000000,0.858351,0.000000,1,1,2244,7.234000,0.131490620
1,Balanced,GA_Energy,205,0.011015,0.016468,0.842810,0.000000,1,0,2250,7.196000,0.132143451
1,Balanced,GA_Energy,206,0.000000,0.076727,0.855532,0.000000,1,0,2247,7.478000,0.133522737
