Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
GA_WaitingTime,200,0.018919,0.009356,0.542322,0.000000,1,1,0,2457
GA_WaitingTime,201,0.000000,0.000000,0.561300,0.000000,1,1,1,2631
GA_WaitingTime,202,0.000000,0.008807,0.560913,0.000000,1,1,0,2209
GA_WaitingTime,203,0.022255,0.000000,0.545999,0.000000,1,1,1,2252
GA_WaitingTime,204,0.074791,0.000000,0.507548,0.000000,1,1,1,2235
GA_WaitingTime,205,0.000000,0.098701,0.597684,0.000000,1,1,0,2239
GA_WaitingTime,206,0.000000,0.026661,0.570093,0.000000,1,1,0,2211
GA_WaitingTime,207,0.000000,0.051646,0.582187,0.000000,1,1,0,2194
GA_WaitingTime,208,0.000000,0.017203,0.562052,0.000000,1,1,0,2184
GA_WaitingTime,209,0.000000,0.054499,0.581975,0.000000,1,1,0,2193
GA_WaitingTime,MEAN,0.011597,0.026687,0.561207,0.000000,1,1,3,2280
GA_WaitingTime,STDDEV,0.022588,0.030707,0.023977,0.000000,,,,
GA_Energy,200,0.005682,0.032321,0.834682,0.000000,1,1,0,2234
GA_Energy,201,0.043820,0.027235,0.815995,0.000000,1,1,0,2253
GA_Energy,202,0.000000,0.111171,0.889600,0.000000,1,1,0,2260
GA_Energy,203,0.029039,0.042201,0.818569,0.000000,1,1,0,2269
GA_Energy,204,0.000000,0.000000,0.858351,0.000000,1,1,1,2244
GA_Energy,205,0.011015,0.016468,0.842810,0.000000,1,1,0,2250
GA_Energy,206,0.000000,0.076727,0.855532,0.000000,1,1,0,2247
GA_Energy,207,0.000000,0.040711,0.861272,0.000000,1,1,0,2234
GA_Energy,208,0.069799,0.000000,0.804267,0.000000,1,1,1,2238
GA_Energy,209,0.000000,0.026650,0.858273,0.000000,1,1,0,2270
GA_Energy,MEAN,0.015935,0.037348,0.843935,0.000000,1,1,2,2249
GA_Energy,STDDEV,0.022912,0.032408,0.024532,0.000000,,,,
SA_WaitingTime,200,0.000000,0.297440,0.654012,0.000000,1,1,0,1432
SA_WaitingTime,201,0.000000,0.263272,0.628253,0.000000,1,1,0,974
SA_WaitingTime,202,0.000000,0.348092,0.629887,0.000000,1,1,0,942
SA_WaitingTime,203,0.000000,0.284691,0.639461,0.000000,1,1,0,1410
SA_WaitingTime,204,0.000000,0.299861,0.656079,0.000000,1,1,0,949
SA_WaitingTime,205,0.000000,0.234107,0.631510,0.000000,1,1,0,987
SA_WaitingTime,206,0.000000,0.336909,0.630221,0.000000,1,1,0,946
SA_WaitingTime,207,0.000000,0.298476,0.675770,0.000000,1,1,0,954
SA_WaitingTime,208,0.000000,0.268867,0.635111,0.000000,1,1,0,940
SA_WaitingTime,209,0.000000,0.380756,0.663925,0.000000,1,1,0,954
SA_WaitingTime,MEAN,0.000000,0.301247,0.644423,0.000000,1,1,0,1048
SA_WaitingTime,STDDEV,0.000000,0.041333,0.015948,0.000000,,,,
SA_Energy,200,0.001157,0.014647,0.848454,0.000000,1,1,0,1008
SA_Energy,201,0.142388,0.000000,0.739282,0.000000,1,1,1,1448
SA_Energy,202,0.000000,0.016618,0.849551,0.000000,1,1,0,1039
SA_Energy,203,0.086288,0.032762,0.755835,0.000000,1,1,0,1031
SA_Energy,204,0.000000,0.027770,0.844715,0.000000,1,1,0,1482
SA_Energy,205,0.000000,0.063570,0.859785,0.000000,1,1,0,989
SA_Energy,206,0.098817,0.000000,0.768676,0.000000,1,1,1,990
SA_Energy,207,0.000000,0.106653,0.880620,0.000000,1,1,0,999
SA_Energy,208,0.038515,0.033195,0.817771,0.000000,1,1,0,1000
SA_Energy,209,0.157296,0.000000,0.701966,0.000000,1,1,1,1005
SA_Energy,MEAN,0.052446,0.029521,0.806666,0.000000,1,1,3,1099
SA_Energy,STDDEV,0.060171,0.031840,0.057425,0.000000,,,,
NSGA-II,200,0.391826,0.064750,0.107533,0.012948,41,41,0,3220
NSGA-II,201,0.353674,0.070886,0.131358,0.010339,24,24,0,2926
NSGA-II,202,0.369370,0.069810,0.115397,0.014802,41,41,0,2929
NSGA-II,203,0.341216,0.076944,0.136222,0.013023,30,30,0,2940
NSGA-II,204,0.359606,0.053403,0.112979,0.022789,31,31,0,2909
NSGA-II,205,0.376531,0.100229,0.128823,0.011646,45,45,0,2958
NSGA-II,206,0.335083,0.081733,0.124687,0.026437,23,23,0,2970
NSGA-II,207,0.344189,0.051304,0.115898,0.030194,21,21,0,2916
NSGA-II,208,0.324491,0.087616,0.124541,0.030408,25,25,0,2918
NSGA-II,209,0.325356,0.086744,0.134312,0.020243,36,36,0,2921
NSGA-II,MEAN,0.352134,0.074342,0.123175,0.019283,32,32,0,2960
NSGA-II,STDDEV,0.021167,0.014681,0.009270,0.007382,,,,
SPEA-II,200,0.369501,0.051369,0.103033,0.010370,38,38,0,3662
SPEA-II,201,0.447114,0.055128,0.079145,0.015656,35,35,4,3638
SPEA-II,202,0.373200,0.015515,0.100764,0.020232,27,27,3,3617
SPEA-II,203,0.406182,0.050494,0.097007,0.024463,32,32,0,3641
SPEA-II,204,0.387586,0.068341,0.116388,0.009172,42,42,0,3632
SPEA-II,205,0.372305,0.035914,0.107461,0.025941,25,25,5,3609
SPEA-II,206,0.384127,0.048454,0.099257,0.013572,30,30,0,3608
SPEA-II,207,0.414188,0.006949,0.067018,0.012010,36,36,22,3591
SPEA-II,208,0.420656,0.066492,0.092709,0.022133,41,41,2,3630
SPEA-II,209,0.363824,0.044143,0.109636,0.011262,31,31,0,3616
SPEA-II,MEAN,0.393868,0.044280,0.097242,0.016481,34,34,36,3624
SPEA-II,STDDEV,0.025768,0.018940,0.013915,0.005885,,,,
AMOSA,200,0.323000,0.071877,0.153612,0.005865,57,57,0,2722
AMOSA,201,0.304173,0.085260,0.145793,0.005932,51,51,0,2694
AMOSA,202,0.306486,0.082488,0.169704,0.008166,51,51,0,2684
AMOSA,203,0.325117,0.094436,0.182178,0.008815,48,48,0,2682
AMOSA,204,0.298228,0.049650,0.194648,0.004731,50,51,0,2680
AMOSA,205,0.291954,0.036001,0.180004,0.005680,51,51,7,2683
AMOSA,206,0.312383,0.056082,0.180723,0.010052,47,47,0,2677
AMOSA,207,0.359508,0.075402,0.140830,0.006286,48,48,0,2679
AMOSA,208,0.284380,0.065041,0.157954,0.012831,53,53,0,2693
AMOSA,209,0.315607,0.067531,0.135055,0.004764,62,62,0,2701
AMOSA,MEAN,0.312083,0.068377,0.164050,0.007312,52,52,7,2689
AMOSA,STDDEV,0.020023,0.016693,0.019206,0.002486,,,,
Universal_Pareto,ALL,0.498705,0.000000,0.000000,0.000000,51,51,51,0
