Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best,PeakPower_Min,PeakPower_Mean
1,Balanced,GA_WaitingTime_Dominance,200,0.398801,0.007179,0.155069,0.009688,25,3,2631,4.200000,0.517524118,195151.049,220458.125
1,Balanced,GA_WaitingTime_Dominance,201,0.362190,0.011101,0.183915,0.015391,24,1,1941,4.208000,0.537162202,198454.299,227568.642
1,Balanced,GA_WaitingTime_Dominance,202,0.382139,0.007128,0.171054,0.008870,25,0,1922,4.228000,0.526504577,198454.299,225379.895
1,Balanced,GA_WaitingTime_Dominance,203,0.361641,0.012182,0.182492,0.014531,27,1,1851,4.166000,0.537162202,198454.299,231078.522
1,Balanced,GA_WaitingTime_Dominance,204,0.360964,0.013075,0.184837,0.014728,25,0,1845,4.212000,0.537162202,197061.809,224767.344
1,Balanced,GA_WaitingTime_Dominance,205,0.361544,0.014902,0.183354,0.006449,27,0,1846,4.238000,0.537162202,198454.299,223376.996
1,Balanced,GA_WaitingTime_Dominance,206,0.375808,0.009126,0.170437,0.008662,24,8,1853,4.184000,0.530051816,198341.911,220278.358
1,Balanced,GA_WaitingTime_Dominance,207,0.362845,0.008504,0.183206,0.005448,29,4,1840,4.202000,0.537162202,198454.299,223121.646
1,Balanced,GA_WaitingTime_Dominance,208,0.363121,0.012408,0.181407,0.008256,34,1,1853,4.176000,0.537162202,198454.299,231846.598
1,Balanced,GA_WaitingTime_Dominance,209,0.361684,0.012741,0.183970,0.012159,27,0,1853,4.220000,0.537162202,198454.299,229712.401
1,Balanced,GA_WaitingTime_Dominance,MEAN,0.369074,0.010835,0.177974,0.010418,,18,1943,4.166000,0.517524118,195151.049,225989.918
1,Balanced,GA_Energy_Dominance,200,0.636481,0.119007,0.135647,0.012148,61,0,1962,5.528000,0.235761881,49830.794,109627.734
1,Balanced,GA_Energy_Dominance,201,0.661479,0.113553,0.124830,0.012603,72,0,1952,5.482000,0.240875138,41461.615,114168.056
1,Balanced,GA_Energy_Dominance,202,0.621970,0.123577,0.145541,0.013562,63,0,1957,5.536000,0.238161662,42724.605,121192.875
1,Balanced,GA_Energy_Dominance,203,0.613233,0.129878,0.141517,0.019321,53,0,1919,5.536000,0.240414529,44362.003,117405.821
1,Balanced,GA_Energy_Dominance,204,0.632899,0.132931,0.142432,0.018669,72,0,1986,5.536000,0.245840069,38587.503,115968.437
1,Balanced,GA_Energy_Dominance,205,0.652032,0.117787,0.126399,0.010786,58,0,1964,5.430000,0.235488199,46068.177,120705.682
1,Balanced,GA_Energy_Dominance,206,0.640394,0.136903,0.140646,0.018766,60,0,1933,5.536000,0.239480967,53737.120,113772.485
1,Balanced,GA_Energy_Dominance,207,0.630612,0.115110,0.140102,0.010488,67,0,1950,5.490000,0.233496194,42565.268,131841.429
1,Balanced,GA_Energy_Dominance,208,0.628717,0.129254,0.130655,0.009289,86,0,1943,5.490000,0.241666513,42577.467,116794.200
1,Balanced,GA_Energy_Dominance,209,0.613853,0.137174,0.142686,0.012377,54,0,1947,5.468000,0.242075049,50342.243,123832.649
1,Balanced,GA_Energy_Dominance,MEAN,0.633167,0.125517,0.137045,0.013801,,0,1951,5.430000,0.233496194,38587.503,118431.420
1,Balanced,SA_WaitingTime_Dominance,200,0.397669,0.011935,0.195256,0.082537,22,0,779,4.494000,0.534561628,197504.814,201078.855
1,Balanced,SA_WaitingTime_Dominance,201,0.366009,0.014028,0.184551,0.065381,19,0,763,4.230000,0.534459369,196954.432,212747.098
1,Balanced,SA_WaitingTime_Dominance,202,0.364618,0.008203,0.187793,0.054135,27,1,778,4.148000,0.532969582,198454.299,206181.463
1,Balanced,SA_WaitingTime_Dominance,203,0.366305,0.012367,0.185965,0.052969,21,0,769,4.352000,0.531172746,198398.319,212869.373
1,Balanced,SA_WaitingTime_Dominance,204,0.355349,0.010620,0.196180,0.072608,16,0,785,4.474000,0.535604993,197979.299,212661.867
1,Balanced,SA_WaitingTime_Dominance,205,0.357519,0.019255,0.188986,0.076164,10,0,767,4.236000,0.533589696,198454.299,215634.990
1,Balanced,SA_WaitingTime_Dominance,206,0.355689,0.011420,0.198820,0.106854,10,0,774,4.334000,0.534762882,198454.299,222471.443
1,Balanced,SA_WaitingTime_Dominance,207,0.362603,0.007923,0.199657,0.125978,10,0,767,4.308000,0.530374152,197999.370,211672.733
1,Balanced,SA_WaitingTime_Dominance,208,0.360558,0.019823,0.192297,0.017977,18,1,780,4.028000,0.532220901,196954.432,216802.665
1,Balanced,SA_WaitingTime_Dominance,209,0.364931,0.012678,0.188960,0.004709,28,0,782,4.178000,0.531172746,198289.830,211110.882
1,Balanced,SA_WaitingTime_Dominance,MEAN,0.365125,0.012825,0.191846,0.065931,,2,774,4.028000,0.530374152,196954.432,211321.347
1,Balanced,SA_Energy_Dominance,200,0.650868,0.151899,0.139629,0.061454,47,2,871,5.478000,0.225697731,33964.518,165699.667
1,Balanced,SA_Energy_Dominance,201,0.702549,0.104854,0.142769,0.159071,11,1,855,5.442000,0.234379312,36817.646,128624.352
1,Balanced,SA_Energy_Dominance,202,0.697869,0.087872,0.152092,0.161919,13,0,888,5.500000,0.231153438,36279.626,117909.904
1,Balanced,SA_Energy_Dominance,203,0.694633,0.108712,0.135476,0.167557,13,0,878,5.434000,0.248280583,78849.753,143469.236
1,Balanced,SA_Energy_Dominance,204,0.659516,0.103458,0.142695,0.100230,26,1,878,5.448000,0.235346730,31435.697,144695.425
1,Balanced,SA_Energy_Dominance,205,0.676091,0.100132,0.145741,0.045292,15,1,1325,5.474000,0.226405794,35334.044,105815.683
1,Balanced,SA_Energy_Dominance,206,0.706069,0.103317,0.149862,0.001742,14,2,860,5.496000,0.251656879,65165.212,131371.752
1,Balanced,SA_Energy_Dominance,207,0.670674,0.132900,0.137387,0.003205,56,2,940,5.476000,0.229460266,33927.350,168012.298
1,Balanced,SA_Energy_Dominance,208,0.679065,0.172124,0.132019,0.014566,35,0,911,5.420000,0.227106900,41082.697,168252.791
1,Balanced,SA_Energy_Dominance,209,0.705985,0.099092,0.147404,0.002373,13,0,865,5.448000,0.244821799,45669.187,111749.252
1,Balanced,SA_Energy_Dominance,MEAN,0.684332,0.116436,0.142508,0.071741,,9,927,5.420000,0.225697731,31435.697,150018.823
1,Balanced,NSGA-II,200,0.585216,0.021485,0.063795,0.013048,56,0,2698,4.584000,0.391030635,137471.911,190715.505
1,Balanced,NSGA-II,201,0.600424,0.011884,0.065244,0.009718,43,3,2503,4.664000,0.383963518,135364.988,188512.325
1,Balanced,NSGA-II,202,0.587363,0.019797,0.065826,0.024528,42,2,2527,4.656000,0.390678310,142406.646,191264.553
1,Balanced,NSGA-II,203,0.603233,0.020085,0.065487,0.012890,59,4,2554,4.618000,0.377078035,140257.131,190029.078
1,Balanced,NSGA-II,204,0.593781,0.030526,0.082659,0.033281,41,0,2560,4.706000,0.380562203,134974.564,181040.984
1,Balanced,NSGA-II,205,0.599887,0.027839,0.073027,0.010754,65,0,2569,4.670000,0.373967697,138485.728,184120.011
1,Balanced,NSGA-II,206,0.603162,0.019042,0.070209,0.013717,56,1,2532,4.688000,0.375462402,131974.544,187730.669
1,Balanced,NSGA-II,207,0.593143,0.026084,0.081349,0.008177,61,0,2544,4.696000,0.381586718,131474.355,183502.886
1,Balanced,NSGA-II,208,0.594985,0.027295,0.060646,0.011779,47,0,2552,4.604000,0.379454977,135082.314,191817.010
1,Balanced,NSGA-II,209,0.594241,0.020071,0.073049,0.007528,51,1,2560,4.686000,0.383390537,139310.039,192016.992
1,Balanced,NSGA-II,MEAN,0.595544,0.022411,0.070129,0.014542,,11,2559,4.584000,0.373967697,131474.355,187977.477
1,Balanced,SPEA-II,200,0.608424,0.014064,0.060816,0.018425,51,4,3176,4.586000,0.376414204,117659.054,187437.153
1,Balanced,SPEA-II,201,0.616065,0.013405,0.067365,0.013793,40,3,3163,4.666000,0.367203497,138254.666,189284.820
1,Balanced,SPEA-II,202,0.596102,0.013199,0.063242,0.010497,53,3,3151,4.652000,0.386139423,127662.932,190359.590
1,Balanced,SPEA-II,203,0.597792,0.020870,0.076496,0.014255,53,2,3165,4.654000,0.381510675,126386.835,184309.304
1,Balanced,SPEA-II,204,0.586584,0.023712,0.075446,0.009267,55,0,3191,4.646000,0.388454018,129002.289,184922.015
1,Balanced,SPEA-II,205,0.597288,0.011825,0.060412,0.006343,78,3,3108,4.572000,0.386461314,152085.217,193754.362
1,Balanced,SPEA-II,206,0.599423,0.016939,0.079971,0.006584,55,0,3149,4.632000,0.381580082,135421.161,184654.519
1,Balanced,SPEA-II,207,0.599008,0.016736,0.057649,0.012625,55,1,3150,4.630000,0.382174991,143736.626,189092.680
1,Balanced,SPEA-II,208,0.602257,0.009317,0.057811,0.007418,51,15,3101,4.624000,0.384712777,151982.309,190490.744
1,Balanced,SPEA-II,209,0.587738,0.016066,0.078310,0.013070,55,1,3166,4.626000,0.391488534,143963.809,192396.559
1,Balanced,SPEA-II,MEAN,0.599068,0.015613,0.067752,0.011228,,32,3152,4.572000,0.367203497,117659.054,188872.939
1,Balanced,AMOSA,200,0.420660,0.063230,0.136152,0.015312,26,0,4055,4.638000,0.495966014,195369.156,208663.913
1,Balanced,AMOSA,201,0.411152,0.027758,0.148479,0.025593,17,0,4089,4.760000,0.501548038,180953.263,202351.397
1,Balanced,AMOSA,202,0.423376,0.021785,0.145315,0.032592,19,0,4024,4.700000,0.496781333,187065.294,200374.657
1,Balanced,AMOSA,203,0.419957,0.050231,0.153516,0.008724,17,4,4020,4.646000,0.497525698,198022.381,211121.338
1,Balanced,AMOSA,204,0.401460,0.013634,0.153269,0.007705,26,0,4033,4.584000,0.511333908,183651.544,208835.422
1,Balanced,AMOSA,205,0.433794,0.024670,0.140862,0.048011,24,0,4056,4.638000,0.491013718,190120.600,203474.865
1,Balanced,AMOSA,206,0.439609,0.030408,0.131531,0.016870,23,9,4028,4.608000,0.482406137,177696.600,203238.560
1,Balanced,AMOSA,207,0.394997,0.015722,0.171015,0.010985,17,0,4042,4.714000,0.513142340,196682.467,202724.687
1,Balanced,AMOSA,208,0.406577,0.017113,0.159420,0.022763,17,3,4050,4.666000,0.506818269,194425.544,205868.878
1,Balanced,AMOSA,209,0.430529,0.040002,0.146023,0.010251,22,0,4038,4.672000,0.489475024,180296.529,201848.317
1,Balanced,AMOSA,MEAN,0.418211,0.030455,0.148558,0.019881,,16,4043,4.584000,0.482406137,177696.600,204979.687
