Scenario,ScenarioName,Algorithm,CapWatts,WaitingTime,Energy,PeakPowerWatts,Seed
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.258000,0.653450749,218933.177,204
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.306000,0.647833585,219642.187,209
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.316000,0.639443113,216396.845,209
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.368000,0.625995621,214241.503,202
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.370000,0.624019585,215159.886,201
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.478000,0.620909950,218360.748,207
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.500000,0.620696397,212608.427,208
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.502000,0.618348335,210189.411,208
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.508000,0.617170106,205999.243,208
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.534000,0.613896820,212216.636,208
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.550000,0.607330459,217735.743,207
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.552000,0.596939144,211419.263,207
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.608000,0.592662567,206090.845,207
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.634000,0.590644146,203977.238,207
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.662000,0.579536829,207097.569,208
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.666000,0.575614671,203727.748,205
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.668000,0.570014001,195151.049,200
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.698000,0.569342373,202964.809,202
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.700000,0.568521066,217163.273,200
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.708000,0.562595985,212200.105,200
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.732000,0.560688859,205971.518,203
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.734000,0.559543154,211465.733,208
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.774000,0.545940546,204366.784,202
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.810000,0.537885957,208699.187,200
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.842000,0.537162202,198454.299,200
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.848000,0.534693037,201395.034,200
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.854000,0.532343000,202439.161,200
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.894000,0.526504577,200153.171,202
1,Balanced,GA_WaitingTime_Dominance,220000.0,4.954000,0.521809328,212682.559,200
1,Balanced,GA_WaitingTime_Dominance,220000.0,5.104000,0.517524118,201912.151,200
1,Balanced,GA_Energy_Dominance,220000.0,5.430000,0.543814195,192004.574,205
