Scenario,ScenarioName,Algorithm,Seed,CapWatts,TotalSolutions,FeasibleSolutions,FeasibilityRate,PeakPowerMax
1,Balanced,FirstAvailable,200,20000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,200,15000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,200,12000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,200,10000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,200,8000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,201,20000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,201,15000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,201,12000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,201,10000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,201,8000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,202,20000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,202,15000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,202,12000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,202,10000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,202,8000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,203,20000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,203,15000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,203,12000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,203,10000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,203,8000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,204,20000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,204,15000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,204,12000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,204,10000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,204,8000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,205,20000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,205,15000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,205,12000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,205,10000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,205,8000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,206,20000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,206,15000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,206,12000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,206,10000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,206,8000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,207,20000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,207,15000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,207,12000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,207,10000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,207,8000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,208,20000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,208,15000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,208,12000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,208,10000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,208,8000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,209,20000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,209,15000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,209,12000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,209,10000.0,1,0,0.0000,27647.416
1,Balanced,FirstAvailable,209,8000.0,1,0,0.0000,27647.416
1,Balanced,ShortestQueue,200,20000.0,1,0,0.0000,257870.906
1,Balanced,ShortestQueue,200,15000.0,1,0,0.0000,257870.906
1,Balanced,ShortestQueue,200,12000.0,1,0,0.0000,257870.906
1,Balanced,ShortestQueue,200,10000.0,1,0,0.0000,257870.906
