Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
FirstAvailable,200,0.000000,1.193484,1.285148,0.000000,1,1,0,498
FirstAvailable,201,0.000000,1.193484,1.285148,0.000000,1,1,0,2
FirstAvailable,202,0.000000,1.193484,1.285148,0.000000,1,1,0,2
FirstAvailable,203,0.000000,1.193484,1.285148,0.000000,1,1,0,2
FirstAvailable,204,0.000000,1.193484,1.285148,0.000000,1,1,0,2
FirstAvailable,205,0.000000,1.193484,1.285148,0.000000,1,1,0,2
FirstAvailable,206,0.000000,1.193484,1.285148,0.000000,1,1,0,2
FirstAvailable,207,0.000000,1.193484,1.285148,0.000000,1,1,0,2
FirstAvailable,208,0.000000,1.193484,1.285148,0.000000,1,1,0,2
FirstAvailable,209,0.000000,1.193484,1.285148,0.000000,1,1,0,2
FirstAvailable,MEAN,0.000000,1.193484,1.285148,0.000000,1,1,0,51
FirstAvailable,STDDEV,0.000000,0.000000,0.000000,0.000000,,,,
ShortestQueue,200,0.000000,0.656423,0.752844,0.000000,1,1,0,2
ShortestQueue,201,0.000000,0.656423,0.752844,0.000000,1,1,0,2
ShortestQueue,202,0.000000,0.656423,0.752844,0.000000,1,1,0,2
ShortestQueue,203,0.000000,0.656423,0.752844,0.000000,1,1,0,1
ShortestQueue,204,0.000000,0.656423,0.752844,0.000000,1,1,0,2
ShortestQueue,205,0.000000,0.656423,0.752844,0.000000,1,1,0,2
ShortestQueue,206,0.000000,0.656423,0.752844,0.000000,1,1,0,1
ShortestQueue,207,0.000000,0.656423,0.752844,0.000000,1,1,0,2
ShortestQueue,208,0.000000,0.656423,0.752844,0.000000,1,1,0,2
ShortestQueue,209,0.000000,0.656423,0.752844,0.000000,1,1,0,1
ShortestQueue,MEAN,0.000000,0.656423,0.752844,0.000000,1,1,0,1
ShortestQueue,STDDEV,0.000000,0.000000,0.000000,0.000000,,,,
WorkloadAware,200,0.399794,0.000000,0.227052,0.000000,1,1,1,2
WorkloadAware,201,0.399794,0.000000,0.227052,0.000000,1,1,1,2
WorkloadAware,202,0.399794,0.000000,0.227052,0.000000,1,1,1,1
WorkloadAware,203,0.399794,0.000000,0.227052,0.000000,1,1,1,2
WorkloadAware,204,0.399794,0.000000,0.227052,0.000000,1,1,1,2
WorkloadAware,205,0.399794,0.000000,0.227052,0.000000,1,1,1,1
WorkloadAware,206,0.399794,0.000000,0.227052,0.000000,1,1,1,2
WorkloadAware,207,0.399794,0.000000,0.227052,0.000000,1,1,1,1
WorkloadAware,208,0.399794,0.000000,0.227052,0.000000,1,1,1,2
WorkloadAware,209,0.399794,0.000000,0.227052,0.000000,1,1,1,2
WorkloadAware,MEAN,0.399794,0.000000,0.227052,0.000000,1,1,1,1
WorkloadAware,STDDEV,0.000000,0.000000,0.000000,0.000000,,,,
EnergyAware,200,0.528206,0.000000,0.388438,0.000000,1,1,1,1
EnergyAware,201,0.528206,0.000000,0.388438,0.000000,1,1,1,2
EnergyAware,202,0.528206,0.000000,0.388438,0.000000,1,1,1,1
EnergyAware,203,0.528206,0.000000,0.388438,0.000000,1,1,1,2
EnergyAware,204,0.528206,0.000000,0.388438,0.000000,1,1,1,1
EnergyAware,205,0.528206,0.000000,0.388438,0.000000,1,1,1,2
EnergyAware,206,0.528206,0.000000,0.388438,0.000000,1,1,1,1
EnergyAware,207,0.528206,0.000000,0.388438,0.000000,1,1,1,2
EnergyAware,208,0.528206,0.000000,0.388438,0.000000,1,1,1,2
EnergyAware,209,0.528206,0.000000,0.388438,0.000000,1,1,1,2
EnergyAware,MEAN,0.528206,0.000000,0.388438,0.000000,1,1,1,1
EnergyAware,STDDEV,0.000000,0.000000,0.000000,0.000000,,,,
RoundRobin,200,0.000000,0.816514,0.885040,0.000000,1,1,0,2
RoundRobin,201,0.000000,0.816514,0.885040,0.000000,1,1,0,2
RoundRobin,202,0.000000,0.816514,0.885040,0.000000,1,1,0,3
RoundRobin,203,0.000000,0.816514,0.885040,0.000000,1,1,0,2
RoundRobin,204,0.000000,0.816514,0.885040,0.000000,1,1,0,3
RoundRobin,205,0.000000,0.816514,0.885040,0.000000,1,1,0,2
RoundRobin,206,0.000000,0.816514,0.885040,0.000000,1,1,0,2
RoundRobin,207,0.000000,0.816514,0.885040,0.000000,1,1,0,3
RoundRobin,208,0.000000,0.816514,0.885040,0.000000,1,1,0,2
RoundRobin,209,0.000000,0.816514,0.885040,0.000000,1,1,0,2
RoundRobin,MEAN,0.000000,0.816514,0.885040,0.000000,1,1,0,2
RoundRobin,STDDEV,0.000000,0.000000,0.000000,0.000000,,,,
GA_WaitingTime,200,0.079638,0.009784,0.426878,0.000000,1,1,0,1819
GA_WaitingTime,201,0.045599,0.016945,0.458547,0.000000,1,1,0,1819
GA_WaitingTime,202,0.070920,0.000000,0.435695,0.000000,1,1,1,1806
GA_WaitingTime,203,0.062911,0.001068,0.442769,0.000000,1,1,0,1808
GA_WaitingTime,204,0.088326,0.001451,0.420011,0.000000,1,1,0,1813
GA_WaitingTime,205,0.075374,0.004580,0.431563,0.000000,1,1,0,1809
GA_WaitingTime,206,0.089513,0.000000,0.419298,0.000000,1,1,1,1808
GA_WaitingTime,207,0.000000,0.000000,0.502310,0.000000,1,1,1,1802
GA_WaitingTime,208,0.065408,0.004048,0.439575,0.000000,1,1,0,1804
GA_WaitingTime,209,0.062463,0.000000,0.443466,0.000000,1,1,1,1813
GA_WaitingTime,MEAN,0.064015,0.003788,0.442011,0.000000,1,1,4,1810
GA_WaitingTime,STDDEV,0.024708,0.005292,0.023013,0.000000,,,,
GA_Energy,200,0.041505,0.056933,0.950967,0.000000,1,1,0,1920
GA_Energy,201,0.039080,0.050174,0.955948,0.000000,1,1,0,1897
GA_Energy,202,0.087043,0.089720,0.917113,0.000000,1,1,0,1905
GA_Energy,203,0.056346,0.067434,0.938529,0.000000,1,1,0,1918
GA_Energy,204,0.113917,0.108965,0.905617,0.000000,1,1,0,1908
GA_Energy,205,0.074655,0.080631,0.925031,0.000000,1,1,0,1934
GA_Energy,206,0.070160,0.068482,0.936372,0.000000,1,1,0,1914
GA_Energy,207,0.108183,0.110520,0.899534,0.000000,1,1,0,1889
GA_Energy,208,0.087771,0.093534,0.913408,0.000000,1,1,0,1929
GA_Energy,209,0.102018,0.106440,0.902355,0.000000,1,1,0,1924
GA_Energy,MEAN,0.078068,0.083283,0.924488,0.000000,1,1,0,1913
GA_Energy,STDDEV,0.025186,0.020861,0.019171,0.000000,,,,
SA_WaitingTime,200,0.003077,0.073196,0.490863,0.000000,1,1,0,803
SA_WaitingTime,201,0.000000,0.110642,0.519567,0.000000,1,1,0,799
SA_WaitingTime,202,0.000000,0.132349,0.534688,0.000000,1,1,0,793
SA_WaitingTime,203,0.000000,0.102164,0.528358,0.000000,1,1,0,780
SA_WaitingTime,204,0.001403,0.067686,0.492694,0.000000,1,1,0,764
SA_WaitingTime,205,0.000000,0.063436,0.500582,0.000000,1,1,0,766
SA_WaitingTime,206,0.000000,0.068529,0.516190,0.000000,1,1,0,772
SA_WaitingTime,207,0.000000,0.137713,0.552593,0.000000,1,1,0,798
SA_WaitingTime,208,0.070702,0.207017,0.437427,0.000000,1,1,0,817
SA_WaitingTime,209,0.000000,0.097955,0.530850,0.000000,1,1,0,779
SA_WaitingTime,MEAN,0.007518,0.106069,0.510381,0.000000,1,1,0,787
SA_WaitingTime,STDDEV,0.021083,0.042149,0.030570,0.000000,,,,
SA_Energy,200,0.455133,0.096163,0.569572,0.000000,1,1,0,836
SA_Energy,201,0.449503,0.065667,0.618329,0.000000,1,1,0,844
SA_Energy,202,0.000000,0.121376,0.985475,0.000000,1,1,0,823
SA_Energy,203,0.418058,0.081408,0.634571,0.000000,1,1,0,837
SA_Energy,204,0.475031,0.072857,0.577147,0.000000,1,1,0,844
SA_Energy,205,0.494416,0.041152,0.606198,0.000000,1,1,0,844
SA_Energy,206,0.531544,0.023309,0.588860,0.000000,1,1,0,842
SA_Energy,207,0.474312,0.094710,0.551726,0.000000,1,1,0,860
SA_Energy,208,0.525865,0.019190,0.595185,0.000000,1,1,0,863
SA_Energy,209,0.433743,0.061498,0.643264,0.000000,1,1,0,877
SA_Energy,MEAN,0.425761,0.067733,0.637032,0.000000,1,1,0,847
SA_Energy,STDDEV,0.146127,0.031155,0.119266,0.000000,,,,
GA_WaitingTime_Dominance,200,0.315211,0.022048,0.215362,0.007733,23,23,0,1853
GA_WaitingTime_Dominance,201,0.309216,0.022266,0.217530,0.020811,20,20,0,1837
GA_WaitingTime_Dominance,202,0.290868,0.015278,0.234683,0.005785,25,25,1,1832
GA_WaitingTime_Dominance,203,0.311175,0.028635,0.216683,0.015792,30,30,0,1835
GA_WaitingTime_Dominance,204,0.301337,0.010890,0.227278,0.009263,20,20,8,1835
GA_WaitingTime_Dominance,205,0.297096,0.011088,0.225192,0.013738,31,31,2,1835
GA_WaitingTime_Dominance,206,0.321416,0.014921,0.209527,0.014735,30,30,2,1836
GA_WaitingTime_Dominance,207,0.294092,0.016268,0.230685,0.006325,33,33,4,1829
GA_WaitingTime_Dominance,208,0.284813,0.012886,0.239595,0.006272,25,25,1,1833
GA_WaitingTime_Dominance,209,0.284909,0.016604,0.240127,0.005951,28,28,3,1842
GA_WaitingTime_Dominance,MEAN,0.301013,0.017088,0.225666,0.010641,27,27,21,1836
GA_WaitingTime_Dominance,STDDEV,0.012151,0.005345,0.010129,0.005000,,,,
GA_Energy_Dominance,200,0.698688,0.136051,0.128141,0.019411,66,66,0,2002
GA_Energy_Dominance,201,0.697717,0.137006,0.115169,0.011229,62,62,0,2030
GA_Energy_Dominance,202,0.706188,0.136121,0.131541,0.013800,70,70,0,2013
GA_Energy_Dominance,203,0.693817,0.137158,0.132431,0.023158,54,54,0,1994
GA_Energy_Dominance,204,0.705046,0.136417,0.133227,0.019247,58,58,0,1973
GA_Energy_Dominance,205,0.719232,0.105891,0.094629,0.008906,88,88,0,2023
GA_Energy_Dominance,206,0.697924,0.138003,0.118354,0.010127,61,61,0,1982
GA_Energy_Dominance,207,0.686465,0.145862,0.114861,0.013242,55,55,0,1947
GA_Energy_Dominance,208,0.695172,0.128539,0.133381,0.014887,57,57,0,1984
GA_Energy_Dominance,209,0.694884,0.141045,0.131232,0.013005,64,64,0,1983
