Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
GA_WaitingTime,200,0.018919,0.009356,0.557512,0.000000,1,1,0,2423
GA_WaitingTime,201,0.000000,0.000000,0.576576,0.000000,1,1,1,2601
GA_WaitingTime,202,0.000000,0.008807,0.576229,0.000000,1,1,0,2219
GA_WaitingTime,203,0.022255,0.000000,0.561064,0.000000,1,1,1,2204
GA_WaitingTime,204,0.074791,0.000000,0.521989,0.000000,1,1,1,2283
GA_WaitingTime,205,0.000000,0.098701,0.612544,0.000000,1,1,0,2265
GA_WaitingTime,206,0.000000,0.026661,0.585354,0.000000,1,1,0,2251
GA_WaitingTime,207,0.000000,0.051646,0.597330,0.000000,1,1,0,2252
GA_WaitingTime,208,0.000000,0.017203,0.577383,0.000000,1,1,0,2187
GA_WaitingTime,209,0.000000,0.054499,0.597118,0.000000,1,1,0,2197
GA_WaitingTime,MEAN,0.011597,0.026687,0.576310,0.000000,1,1,3,2288
GA_WaitingTime,STDDEV,0.022588,0.030707,0.024098,0.000000,,,,
GA_Energy,200,0.005682,0.032321,0.819397,0.000000,1,1,0,2251
GA_Energy,201,0.043820,0.027235,0.800590,0.000000,1,1,0,2248
GA_Energy,202,0.000000,0.111171,0.875054,0.000000,1,1,0,2259
GA_Energy,203,0.029039,0.042201,0.803236,0.000000,1,1,0,2249
GA_Energy,204,0.000000,0.000000,0.842921,0.000000,1,1,1,2252
GA_Energy,205,0.011015,0.016468,0.827419,0.000000,1,1,0,2251
GA_Energy,206,0.000000,0.076727,0.840801,0.000000,1,1,0,2248
GA_Energy,207,0.000000,0.040711,0.846195,0.000000,1,1,0,2259
GA_Energy,208,0.069799,0.000000,0.788812,0.000000,1,1,1,2275
GA_Energy,209,0.000000,0.026650,0.843076,0.000000,1,1,0,2283
GA_Energy,MEAN,0.015935,0.037348,0.828750,0.000000,1,1,2,2257
GA_Energy,STDDEV,0.022912,0.032408,0.024755,0.000000,,,,
SA_WaitingTime,200,0.000000,0.297440,0.666363,0.000000,1,1,0,971
SA_WaitingTime,201,0.000000,0.263272,0.641103,0.000000,1,1,0,994
SA_WaitingTime,202,0.000000,0.353600,0.641066,0.000000,1,1,0,1014
SA_WaitingTime,203,0.000000,0.284691,0.651977,0.000000,1,1,0,967
SA_WaitingTime,204,0.000000,0.299861,0.668397,0.000000,1,1,0,949
SA_WaitingTime,205,0.000000,0.234107,0.644825,0.000000,1,1,0,992
SA_WaitingTime,206,0.000000,0.336909,0.641734,0.000000,1,1,0,973
SA_WaitingTime,207,0.000000,0.298476,0.688211,0.000000,1,1,0,978
SA_WaitingTime,208,0.000000,0.268867,0.647883,0.000000,1,1,0,971
SA_WaitingTime,209,0.000000,0.380756,0.674760,0.000000,1,1,0,983
SA_WaitingTime,MEAN,0.000000,0.301798,0.656632,0.000000,1,1,0,979
SA_WaitingTime,STDDEV,0.000000,0.041985,0.015818,0.000000,,,,
SA_Energy,200,0.001157,0.014647,0.833089,0.000000,1,1,0,1036
SA_Energy,201,0.142388,0.000000,0.724078,0.000000,1,1,1,1035
SA_Energy,202,0.000000,0.016618,0.834225,0.000000,1,1,0,1039
SA_Energy,203,0.086288,0.032762,0.740666,0.000000,1,1,0,1023
SA_Energy,204,0.000000,0.027770,0.829475,0.000000,1,1,0,1053
SA_Energy,205,0.000000,0.063570,0.844921,0.000000,1,1,0,1049
SA_Energy,206,0.098817,0.000000,0.753333,0.000000,1,1,1,1016
SA_Energy,207,0.000000,0.106653,0.866086,0.000000,1,1,0,1504
SA_Energy,208,0.038515,0.033195,0.802384,0.000000,1,1,0,1512
SA_Energy,209,0.157296,0.000000,0.687037,0.000000,1,1,1,1011
SA_Energy,MEAN,0.052446,0.029521,0.791529,0.000000,1,1,3,1127
SA_Energy,STDDEV,0.060171,0.031840,0.057473,0.000000,,,,
NSGA-II,200,0.391826,0.065250,0.108673,0.012948,41,41,0,3067
NSGA-II,201,0.353674,0.072497,0.134376,0.010339,24,24,0,2880
NSGA-II,202,0.369370,0.071107,0.117296,0.014802,41,41,0,2878
NSGA-II,203,0.341216,0.078020,0.138394,0.013023,30,30,0,2860
NSGA-II,204,0.359606,0.053607,0.115078,0.022789,31,31,0,2864
NSGA-II,205,0.376531,0.101634,0.130581,0.011646,45,45,0,2893
NSGA-II,206,0.335083,0.081341,0.126001,0.026437,23,23,0,2867
NSGA-II,207,0.344189,0.052338,0.117978,0.030194,21,21,0,2845
NSGA-II,208,0.324491,0.087749,0.127094,0.030408,25,25,0,2860
NSGA-II,209,0.325356,0.086971,0.136097,0.020243,36,36,0,2872
NSGA-II,MEAN,0.352134,0.075051,0.125157,0.019283,32,32,0,2888
NSGA-II,STDDEV,0.021167,0.014671,0.009489,0.007382,,,,
SPEA-II,200,0.369501,0.052013,0.104964,0.010370,38,38,0,3599
SPEA-II,201,0.447114,0.059521,0.080584,0.015656,35,35,4,3577
SPEA-II,202,0.373200,0.016968,0.103176,0.020232,27,27,5,3562
SPEA-II,203,0.406182,0.050841,0.098355,0.024463,32,32,0,3566
SPEA-II,204,0.387586,0.069501,0.118836,0.009172,42,42,0,3575
SPEA-II,205,0.372305,0.040148,0.109666,0.025941,25,25,6,3578
SPEA-II,206,0.384127,0.050353,0.100187,0.013572,30,30,0,3575
SPEA-II,207,0.414188,0.007703,0.069036,0.012010,36,36,24,3543
SPEA-II,208,0.420656,0.067782,0.093224,0.022133,41,41,2,3581
SPEA-II,209,0.363824,0.044151,0.111084,0.011262,31,31,0,3551
SPEA-II,MEAN,0.393868,0.045898,0.098911,0.016481,34,34,41,3570
SPEA-II,STDDEV,0.025768,0.019066,0.014065,0.005885,,,,
Universal_Pareto,ALL,0.498411,0.000000,0.000000,0.000000,49,49,49,0
