Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best
1,Balanced,GA_WaitingTime_Dominance,200,0.398801,0.014672,0.124300,0.009688,25,2,2666,4.200000,0.517524118
1,Balanced,GA_WaitingTime_Dominance,201,0.362190,0.014162,0.147883,0.015391,24,1,1966,4.208000,0.537162202
1,Balanced,GA_WaitingTime_Dominance,202,0.382139,0.011059,0.135743,0.008870,25,0,1921,4.228000,0.526504577
1,Balanced,GA_WaitingTime_Dominance,203,0.361641,0.014685,0.147252,0.014531,27,1,1900,4.166000,0.537162202
1,Balanced,GA_WaitingTime_Dominance,204,0.360964,0.015725,0.148734,0.014728,25,0,1886,4.212000,0.537162202
1,Balanced,GA_WaitingTime_Dominance,205,0.361544,0.019318,0.147033,0.006449,27,0,1897,4.238000,0.537162202
1,Balanced,GA_WaitingTime_Dominance,206,0.375808,0.014836,0.138632,0.008662,24,8,1926,4.184000,0.530051816
1,Balanced,GA_WaitingTime_Dominance,207,0.362845,0.012983,0.147101,0.005448,29,1,1875,4.202000,0.537162202
1,Balanced,GA_WaitingTime_Dominance,208,0.363121,0.015342,0.145624,0.008256,34,1,1884,4.176000,0.537162202
1,Balanced,GA_WaitingTime_Dominance,209,0.361684,0.016187,0.148127,0.012159,27,0,1896,4.220000,0.537162202
1,Balanced,GA_WaitingTime_Dominance,MEAN,0.369074,0.014897,0.143043,0.010418,,14,1981,4.166000,0.517524118
1,Balanced,GA_Energy_Dominance,200,0.636481,0.119615,0.125973,0.012148,61,0,2024,5.528000,0.235761881
1,Balanced,GA_Energy_Dominance,201,0.661479,0.114542,0.116702,0.012603,72,0,2032,5.482000,0.240875138
1,Balanced,GA_Energy_Dominance,202,0.621970,0.124013,0.134373,0.013562,63,0,2042,5.536000,0.238161662
1,Balanced,GA_Energy_Dominance,203,0.613233,0.130352,0.134294,0.019321,53,0,2025,5.536000,0.240414529
1,Balanced,GA_Energy_Dominance,204,0.632899,0.133224,0.132307,0.018669,72,0,2051,5.536000,0.245840069
1,Balanced,GA_Energy_Dominance,205,0.652032,0.118684,0.117652,0.010786,58,0,2060,5.430000,0.235488199
1,Balanced,GA_Energy_Dominance,206,0.640394,0.137326,0.131899,0.018766,60,0,2038,5.536000,0.239480967
1,Balanced,GA_Energy_Dominance,207,0.630612,0.116608,0.129646,0.010488,67,0,2058,5.490000,0.233496194
1,Balanced,GA_Energy_Dominance,208,0.628717,0.129683,0.122772,0.009289,86,0,2018,5.490000,0.241666513
1,Balanced,GA_Energy_Dominance,209,0.613853,0.137894,0.131542,0.012377,54,0,2024,5.468000,0.242075049
1,Balanced,GA_Energy_Dominance,MEAN,0.633167,0.126194,0.127716,0.013801,,0,2037,5.430000,0.233496194
1,Balanced,SA_WaitingTime_Dominance,200,0.397669,0.025653,0.154098,0.082537,22,0,790,4.494000,0.534561628
1,Balanced,SA_WaitingTime_Dominance,201,0.366009,0.025729,0.148696,0.065381,19,0,786,4.230000,0.534459369
1,Balanced,SA_WaitingTime_Dominance,202,0.364618,0.018203,0.148783,0.054135,27,1,785,4.148000,0.532969582
1,Balanced,SA_WaitingTime_Dominance,203,0.366305,0.022337,0.147398,0.052969,21,0,768,4.352000,0.531172746
1,Balanced,SA_WaitingTime_Dominance,204,0.355349,0.024352,0.156116,0.072608,16,0,775,4.474000,0.535604993
1,Balanced,SA_WaitingTime_Dominance,205,0.357519,0.027444,0.150685,0.076164,10,0,773,4.236000,0.533589696
1,Balanced,SA_WaitingTime_Dominance,206,0.355689,0.023383,0.157363,0.106854,10,0,778,4.334000,0.534762882
1,Balanced,SA_WaitingTime_Dominance,207,0.362603,0.021767,0.158455,0.125978,10,0,769,4.308000,0.530374152
1,Balanced,SA_WaitingTime_Dominance,208,0.360558,0.029698,0.152438,0.017977,18,1,774,4.028000,0.532220901
1,Balanced,SA_WaitingTime_Dominance,209,0.364931,0.022531,0.149487,0.004709,28,0,787,4.178000,0.531172746
1,Balanced,SA_WaitingTime_Dominance,MEAN,0.365125,0.024110,0.152352,0.065931,,2,778,4.028000,0.530374152
1,Balanced,SA_Energy_Dominance,200,0.650868,0.153878,0.130974,0.061454,47,2,874,5.478000,0.225697731
1,Balanced,SA_Energy_Dominance,201,0.702549,0.113564,0.129257,0.159071,11,1,831,5.442000,0.234379312
1,Balanced,SA_Energy_Dominance,202,0.697869,0.099871,0.136156,0.161919,13,0,864,5.500000,0.231153438
1,Balanced,SA_Energy_Dominance,203,0.694633,0.117950,0.121358,0.167557,13,0,863,5.434000,0.248280583
1,Balanced,SA_Energy_Dominance,204,0.659516,0.115678,0.132863,0.100230,26,1,863,5.448000,0.235346730
1,Balanced,SA_Energy_Dominance,205,0.676091,0.106820,0.131941,0.045292,15,1,1298,5.474000,0.226405794
1,Balanced,SA_Energy_Dominance,206,0.706069,0.112605,0.133819,0.001742,14,2,826,5.496000,0.251656879
1,Balanced,SA_Energy_Dominance,207,0.670674,0.135335,0.129092,0.003205,56,2,880,5.476000,0.229460266
1,Balanced,SA_Energy_Dominance,208,0.679065,0.174109,0.119378,0.014566,35,0,846,5.420000,0.227106900
1,Balanced,SA_Energy_Dominance,209,0.705985,0.107904,0.131508,0.002373,13,0,846,5.448000,0.244821799
1,Balanced,SA_Energy_Dominance,MEAN,0.684332,0.123771,0.129635,0.071741,,9,899,5.420000,0.225697731
1,Balanced,NSGA-II,200,0.585216,0.028780,0.058920,0.013048,56,0,2737,4.584000,0.391030635
1,Balanced,NSGA-II,201,0.600424,0.019782,0.058532,0.009718,43,3,2550,4.664000,0.383963518
1,Balanced,NSGA-II,202,0.587363,0.028307,0.059171,0.024528,42,1,2579,4.656000,0.390678310
1,Balanced,NSGA-II,203,0.603233,0.026836,0.059537,0.012890,59,1,2615,4.618000,0.377078035
1,Balanced,NSGA-II,204,0.593781,0.036429,0.071413,0.033281,41,0,2601,4.706000,0.380562203
1,Balanced,NSGA-II,205,0.599887,0.033985,0.064809,0.010754,65,0,2622,4.670000,0.373967697
1,Balanced,NSGA-II,206,0.603162,0.025563,0.062775,0.013717,56,1,2579,4.688000,0.375462402
1,Balanced,NSGA-II,207,0.593143,0.032440,0.071149,0.008177,61,0,2588,4.696000,0.381586718
1,Balanced,NSGA-II,208,0.594985,0.034399,0.057966,0.011779,47,0,2601,4.604000,0.379454977
1,Balanced,NSGA-II,209,0.594241,0.029010,0.066594,0.007528,51,1,2609,4.686000,0.383390537
1,Balanced,NSGA-II,MEAN,0.595544,0.029553,0.063086,0.014542,,7,2608,4.584000,0.373967697
1,Balanced,SPEA-II,200,0.608424,0.023039,0.055627,0.018425,51,2,3233,4.586000,0.376414204
1,Balanced,SPEA-II,201,0.616065,0.021936,0.060154,0.013793,40,1,3200,4.666000,0.367203497
1,Balanced,SPEA-II,202,0.596102,0.021804,0.057158,0.010497,53,1,3186,4.652000,0.386139423
1,Balanced,SPEA-II,203,0.597792,0.028463,0.066554,0.014255,53,1,3208,4.654000,0.381510675
1,Balanced,SPEA-II,204,0.586584,0.031865,0.067304,0.009267,55,0,3235,4.646000,0.388454018
1,Balanced,SPEA-II,205,0.597288,0.019019,0.055472,0.006343,78,1,3172,4.572000,0.386461314
1,Balanced,SPEA-II,206,0.599423,0.023796,0.068959,0.006584,55,0,3209,4.632000,0.381580082
1,Balanced,SPEA-II,207,0.599008,0.024214,0.053479,0.012625,55,1,3217,4.630000,0.382174991
1,Balanced,SPEA-II,208,0.602257,0.015897,0.052386,0.007418,51,10,3136,4.624000,0.384712777
1,Balanced,SPEA-II,209,0.587738,0.024331,0.067432,0.013070,55,0,3199,4.626000,0.391488534
1,Balanced,SPEA-II,MEAN,0.599068,0.023436,0.060453,0.011228,,17,3199,4.572000,0.367203497
1,Balanced,AMOSA,200,0.474968,0.007993,0.095747,0.003228,70,1,2466,4.482000,0.473968643
1,Balanced,AMOSA,201,0.504122,0.007714,0.085202,0.011944,55,5,2418,4.482000,0.456393813
1,Balanced,AMOSA,202,0.494023,0.023054,0.074102,0.003123,73,2,2460,4.440000,0.460423782
1,Balanced,AMOSA,203,0.515602,0.009806,0.068038,0.003766,63,22,2449,4.498000,0.448699967
1,Balanced,AMOSA,204,0.494203,0.018560,0.082097,0.004996,67,0,2434,4.494000,0.458857790
1,Balanced,AMOSA,205,0.492236,0.017884,0.087555,0.003915,78,0,2454,4.474000,0.460530176
1,Balanced,AMOSA,206,0.470284,0.002951,0.101817,0.003218,65,9,2455,4.478000,0.477506279
1,Balanced,AMOSA,207,0.468230,0.015343,0.094081,0.005781,64,0,2430,4.506000,0.475976537
1,Balanced,AMOSA,208,0.476304,0.009092,0.085649,0.006529,63,33,2440,4.472000,0.472672575
1,Balanced,AMOSA,209,0.463174,0.011262,0.100530,0.004514,49,2,2406,4.474000,0.480025645
1,Balanced,AMOSA,MEAN,0.485315,0.012366,0.087482,0.005101,,74,2441,4.440000,0.448699967
2,GPU_Stress,GA_WaitingTime_Dominance,200,0.362572,0.023067,0.144198,0.029655,20,0,2317,4.698000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,201,0.387950,0.035784,0.145901,0.031831,22,0,1929,4.682000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,202,0.372387,0.028304,0.143459,0.028218,21,0,1925,4.716000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,203,0.372767,0.029229,0.141431,0.013030,31,1,1922,4.666000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,204,0.367634,0.027678,0.142630,0.018052,30,1,1955,4.662000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,205,0.392176,0.031722,0.138531,0.006857,35,0,1944,4.666000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,206,0.391383,0.033216,0.135312,0.010957,26,0,1977,4.656000,0.641113406
2,GPU_Stress,GA_WaitingTime_Dominance,207,0.346035,0.020787,0.143112,0.017158,28,13,1949,4.650000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,208,0.402021,0.032484,0.136214,0.008361,33,0,1942,4.658000,0.646290373
