Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
GA_WaitingTime_Dominance,200,0.398801,0.014672,0.124300,0.009688,25,25,2,2666
GA_WaitingTime_Dominance,201,0.362190,0.014162,0.147883,0.015391,24,24,1,1966
GA_WaitingTime_Dominance,202,0.382139,0.011059,0.135743,0.008870,25,25,0,1921
GA_WaitingTime_Dominance,203,0.361641,0.014685,0.147252,0.014531,27,27,1,1900
GA_WaitingTime_Dominance,204,0.360964,0.015725,0.148734,0.014728,25,25,0,1886
GA_WaitingTime_Dominance,205,0.361544,0.019318,0.147033,0.006449,27,27,0,1897
GA_WaitingTime_Dominance,206,0.375808,0.014836,0.138632,0.008662,24,24,8,1926
GA_WaitingTime_Dominance,207,0.362845,0.012983,0.147101,0.005448,29,29,1,1875
GA_WaitingTime_Dominance,208,0.363121,0.015342,0.145624,0.008256,34,34,1,1884
GA_WaitingTime_Dominance,209,0.361684,0.016187,0.148127,0.012159,27,27,0,1896
GA_WaitingTime_Dominance,MEAN,0.369074,0.014897,0.143043,0.010418,27,27,14,1981
GA_WaitingTime_Dominance,STDDEV,0.012057,0.002028,0.007500,0.003382,,,,
GA_Energy_Dominance,200,0.636481,0.119615,0.125973,0.012148,61,61,0,2024
GA_Energy_Dominance,201,0.661479,0.114542,0.116702,0.012603,72,72,0,2032
GA_Energy_Dominance,202,0.621970,0.124013,0.134373,0.013562,63,63,0,2042
GA_Energy_Dominance,203,0.613233,0.130352,0.134294,0.019321,53,53,0,2025
GA_Energy_Dominance,204,0.632899,0.133224,0.132307,0.018669,72,72,0,2051
GA_Energy_Dominance,205,0.652032,0.118684,0.117652,0.010786,58,58,0,2060
GA_Energy_Dominance,206,0.640394,0.137326,0.131899,0.018766,60,60,0,2038
GA_Energy_Dominance,207,0.630612,0.116608,0.129646,0.010488,67,67,0,2058
GA_Energy_Dominance,208,0.628717,0.129683,0.122772,0.009289,86,86,0,2018
GA_Energy_Dominance,209,0.613853,0.137894,0.131542,0.012377,54,54,0,2024
GA_Energy_Dominance,MEAN,0.633167,0.126194,0.127716,0.013801,65,65,0,2037
GA_Energy_Dominance,STDDEV,0.014639,0.008196,0.006282,0.003543,,,,
SA_WaitingTime_Dominance,200,0.397669,0.025653,0.154098,0.082537,22,23,0,790
SA_WaitingTime_Dominance,201,0.366009,0.025729,0.148696,0.065381,19,20,0,786
SA_WaitingTime_Dominance,202,0.364618,0.018203,0.148783,0.054135,27,27,1,785
SA_WaitingTime_Dominance,203,0.366305,0.022337,0.147398,0.052969,21,21,0,768
SA_WaitingTime_Dominance,204,0.355349,0.024352,0.156116,0.072608,16,18,0,775
SA_WaitingTime_Dominance,205,0.357519,0.027444,0.150685,0.076164,10,11,0,773
SA_WaitingTime_Dominance,206,0.355689,0.023383,0.157363,0.106854,10,12,0,778
SA_WaitingTime_Dominance,207,0.362603,0.021767,0.158455,0.125978,10,12,0,769
SA_WaitingTime_Dominance,208,0.360558,0.029698,0.152438,0.017977,18,20,1,774
SA_WaitingTime_Dominance,209,0.364931,0.022531,0.149487,0.004709,28,28,0,787
SA_WaitingTime_Dominance,MEAN,0.365125,0.024110,0.152352,0.065931,18,19,2,778
SA_WaitingTime_Dominance,STDDEV,0.011538,0.003065,0.003758,0.034729,,,,
SA_Energy_Dominance,200,0.650868,0.153878,0.130974,0.061454,47,51,2,874
SA_Energy_Dominance,201,0.702549,0.113564,0.129257,0.159071,11,12,1,831
SA_Energy_Dominance,202,0.697869,0.099871,0.136156,0.161919,13,15,0,864
SA_Energy_Dominance,203,0.694633,0.117950,0.121358,0.167557,13,15,0,863
SA_Energy_Dominance,204,0.659516,0.115678,0.132863,0.100230,26,28,1,863
SA_Energy_Dominance,205,0.676091,0.106820,0.131941,0.045292,15,15,1,1298
SA_Energy_Dominance,206,0.706069,0.112605,0.133819,0.001742,14,14,2,826
SA_Energy_Dominance,207,0.670674,0.135335,0.129092,0.003205,56,56,2,880
SA_Energy_Dominance,208,0.679065,0.174109,0.119378,0.014566,35,35,0,846
SA_Energy_Dominance,209,0.705985,0.107904,0.131508,0.002373,13,14,0,846
SA_Energy_Dominance,MEAN,0.684332,0.123771,0.129635,0.071741,24,26,9,899
SA_Energy_Dominance,STDDEV,0.018922,0.022389,0.005052,0.066509,,,,
NSGA-II,200,0.585216,0.028780,0.058920,0.013048,56,56,0,2737
NSGA-II,201,0.600424,0.019782,0.058532,0.009718,43,43,3,2550
NSGA-II,202,0.587363,0.028307,0.059171,0.024528,42,42,1,2579
NSGA-II,203,0.603233,0.026836,0.059537,0.012890,59,59,1,2615
NSGA-II,204,0.593781,0.036429,0.071413,0.033281,41,41,0,2601
NSGA-II,205,0.599887,0.033985,0.064809,0.010754,65,65,0,2622
NSGA-II,206,0.603162,0.025563,0.062775,0.013717,56,56,1,2579
NSGA-II,207,0.593143,0.032440,0.071149,0.008177,61,61,0,2588
NSGA-II,208,0.594985,0.034399,0.057966,0.011779,47,47,0,2601
NSGA-II,209,0.594241,0.029010,0.066594,0.007528,51,51,1,2609
NSGA-II,MEAN,0.595544,0.029553,0.063086,0.014542,52,52,7,2608
NSGA-II,STDDEV,0.005868,0.004690,0.004919,0.007691,,,,
SPEA-II,200,0.608424,0.023039,0.055627,0.018425,51,51,2,3233
SPEA-II,201,0.616065,0.021936,0.060154,0.013793,40,40,1,3200
SPEA-II,202,0.596102,0.021804,0.057158,0.010497,53,53,1,3186
SPEA-II,203,0.597792,0.028463,0.066554,0.014255,53,53,1,3208
SPEA-II,204,0.586584,0.031865,0.067304,0.009267,55,55,0,3235
SPEA-II,205,0.597288,0.019019,0.055472,0.006343,78,78,1,3172
SPEA-II,206,0.599423,0.023796,0.068959,0.006584,55,55,0,3209
SPEA-II,207,0.599008,0.024214,0.053479,0.012625,55,55,1,3217
SPEA-II,208,0.602257,0.015897,0.052386,0.007418,51,51,10,3136
SPEA-II,209,0.587738,0.024331,0.067432,0.013070,55,55,0,3199
SPEA-II,MEAN,0.599068,0.023436,0.060453,0.011228,55,55,17,3199
SPEA-II,STDDEV,0.008274,0.004234,0.006148,0.003704,,,,
AMOSA,200,0.474968,0.007993,0.095747,0.003228,70,70,1,2466
AMOSA,201,0.504122,0.007714,0.085202,0.011944,55,56,5,2418
AMOSA,202,0.494023,0.023054,0.074102,0.003123,73,73,2,2460
AMOSA,203,0.515602,0.009806,0.068038,0.003766,63,63,22,2449
AMOSA,204,0.494203,0.018560,0.082097,0.004996,67,67,0,2434
AMOSA,205,0.492236,0.017884,0.087555,0.003915,78,78,0,2454
AMOSA,206,0.470284,0.002951,0.101817,0.003218,65,65,9,2455
AMOSA,207,0.468230,0.015343,0.094081,0.005781,64,65,0,2430
AMOSA,208,0.476304,0.009092,0.085649,0.006529,63,63,33,2440
AMOSA,209,0.463174,0.011262,0.100530,0.004514,49,49,2,2406
AMOSA,MEAN,0.485315,0.012366,0.087482,0.005101,65,65,74,2441
AMOSA,STDDEV,0.016340,0.005829,0.010403,0.002527,,,,
Universal_Pareto,ALL,0.791094,0.000000,0.000000,0.000000,123,123,123,0
