Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best
1,Balanced,GA_WaitingTime_Dominance,200,0.098494,0.029159,0.674620,0.015708,11,0,5620,1.748000,0.067842544
1,Balanced,GA_WaitingTime_Dominance,201,0.109832,0.038764,0.660411,0.005248,15,0,4695,1.736000,0.067562848
1,Balanced,GA_WaitingTime_Dominance,202,0.102943,0.038173,0.668714,0.015388,8,1,4659,1.692000,0.067749420
1,Balanced,GA_WaitingTime_Dominance,203,0.189894,0.054871,0.521431,0.037835,20,0,4828,1.702000,0.066823635
1,Balanced,GA_WaitingTime_Dominance,204,0.125494,0.046934,0.659014,0.007087,11,0,4805,1.716000,0.068071830
1,Balanced,GA_WaitingTime_Dominance,205,0.119550,0.051213,0.600359,0.024209,14,0,4603,1.740000,0.067486505
1,Balanced,GA_WaitingTime_Dominance,206,0.173239,0.044949,0.634611,0.007229,18,0,4549,1.670000,0.067467539
1,Balanced,GA_WaitingTime_Dominance,207,0.118702,0.043329,0.666286,0.013514,13,0,4675,1.760000,0.067930809
1,Balanced,GA_WaitingTime_Dominance,208,0.120121,0.035235,0.625985,0.012701,17,0,4739,1.732000,0.067238261
1,Balanced,GA_WaitingTime_Dominance,209,0.143442,0.054936,0.582636,0.031240,13,0,4747,1.688000,0.067418451
1,Balanced,GA_WaitingTime_Dominance,MEAN,0.130171,0.043756,0.629407,0.017016,,1,4792,1.670000,0.066823635
1,Balanced,GA_Energy_Dominance,200,0.407655,0.087581,0.164915,0.031789,29,0,4981,3.966000,0.056141525
1,Balanced,GA_Energy_Dominance,201,0.597394,0.279199,0.177032,0.017493,42,0,5353,4.358000,0.050838701
1,Balanced,GA_Energy_Dominance,202,0.620976,0.292910,0.213896,0.028043,49,0,5329,4.112000,0.050516968
1,Balanced,GA_Energy_Dominance,203,0.606658,0.239635,0.175036,0.026603,37,0,5163,4.218000,0.051352725
1,Balanced,GA_Energy_Dominance,204,0.609554,0.312406,0.236123,0.027015,53,0,5226,4.036000,0.050229246
1,Balanced,GA_Energy_Dominance,205,0.608990,0.216990,0.170336,0.018533,56,0,5318,4.146000,0.051093412
1,Balanced,GA_Energy_Dominance,206,0.533430,0.229555,0.152293,0.032240,37,0,5236,4.052000,0.052164751
1,Balanced,GA_Energy_Dominance,207,0.507157,0.123378,0.114901,0.036184,34,0,5185,4.064000,0.052178402
1,Balanced,GA_Energy_Dominance,208,0.576268,0.230847,0.171897,0.020432,41,0,5207,4.188000,0.051903647
1,Balanced,GA_Energy_Dominance,209,0.606919,0.249838,0.148219,0.020797,35,0,5282,4.004000,0.051540463
1,Balanced,GA_Energy_Dominance,MEAN,0.567500,0.226234,0.172465,0.025913,,0,5228,3.966000,0.050229246
1,Balanced,SA_WaitingTime_Dominance,200,0.132951,0.018953,0.663059,0.008476,13,0,2562,1.278000,0.067993438
1,Balanced,SA_WaitingTime_Dominance,201,0.113547,0.015204,0.675356,0.042023,8,0,2524,1.268000,0.067993438
1,Balanced,SA_WaitingTime_Dominance,202,0.117376,0.019020,0.670929,0.013929,10,0,2477,1.278000,0.067973738
1,Balanced,SA_WaitingTime_Dominance,203,0.098736,0.019206,0.682678,0.006932,11,0,2633,1.278000,0.068060299
1,Balanced,SA_WaitingTime_Dominance,204,0.092936,0.011462,0.686440,0.016595,9,5,2616,1.236000,0.068038878
1,Balanced,SA_WaitingTime_Dominance,205,0.132291,0.023906,0.663991,0.045054,9,0,2602,1.296000,0.067906235
1,Balanced,SA_WaitingTime_Dominance,206,0.147133,0.028636,0.654568,0.010204,12,0,2506,1.294000,0.067987203
1,Balanced,SA_WaitingTime_Dominance,207,0.097077,0.020000,0.683385,0.008660,10,0,2488,1.268000,0.068047027
1,Balanced,SA_WaitingTime_Dominance,208,0.120619,0.017248,0.666815,0.004582,7,0,2479,1.272000,0.067854527
1,Balanced,SA_WaitingTime_Dominance,209,0.137680,0.028688,0.661761,0.014456,15,0,2550,1.286000,0.068061295
1,Balanced,SA_WaitingTime_Dominance,MEAN,0.119035,0.020232,0.670898,0.017091,,5,2543,1.236000,0.067854527
1,Balanced,SA_Energy_Dominance,200,0.492389,0.071817,0.086248,0.006828,154,27,3607,3.676000,0.052609313
1,Balanced,SA_Energy_Dominance,201,0.437604,0.119393,0.121759,0.008027,84,0,3640,4.016000,0.053272049
1,Balanced,SA_Energy_Dominance,202,0.505744,0.054494,0.110282,0.003163,100,15,3489,3.674000,0.053887769
1,Balanced,SA_Energy_Dominance,203,0.485132,0.067057,0.098370,0.002225,162,0,3744,3.764000,0.053407043
1,Balanced,SA_Energy_Dominance,204,0.344165,0.228941,0.242859,0.018314,63,7,3273,4.034000,0.048469449
1,Balanced,SA_Energy_Dominance,205,0.492082,0.074080,0.107935,0.002841,114,51,3566,3.736000,0.054070829
1,Balanced,SA_Energy_Dominance,206,0.388007,0.223657,0.206492,0.004627,89,0,3444,4.038000,0.051654419
1,Balanced,SA_Energy_Dominance,207,0.487335,0.059705,0.085925,0.003607,136,8,3733,3.866000,0.052449018
1,Balanced,SA_Energy_Dominance,208,0.429649,0.220624,0.200309,0.012025,62,7,3194,4.364000,0.049999258
1,Balanced,SA_Energy_Dominance,209,0.495483,0.076590,0.089495,0.003738,112,22,3534,3.770000,0.052903311
1,Balanced,SA_Energy_Dominance,MEAN,0.455759,0.119636,0.134967,0.006539,,137,3522,3.674000,0.048469449
1,Balanced,NSGA-II,200,0.468517,0.052690,0.176927,0.054343,26,0,8627,2.182000,0.057797608
1,Balanced,NSGA-II,201,0.470058,0.048751,0.170020,0.015720,44,0,7956,2.198000,0.057688709
1,Balanced,NSGA-II,202,0.487427,0.025389,0.242563,0.010036,39,1,7901,2.010000,0.057579191
1,Balanced,NSGA-II,203,0.478113,0.064290,0.154515,0.016623,42,0,7715,2.112000,0.056648641
1,Balanced,NSGA-II,204,0.477100,0.038034,0.200700,0.013419,34,0,7815,2.198000,0.057661768
1,Balanced,NSGA-II,205,0.436493,0.079909,0.192325,0.019558,41,0,7949,2.220000,0.058133889
1,Balanced,NSGA-II,206,0.487196,0.051757,0.151517,0.008866,53,0,7612,2.146000,0.056921080
1,Balanced,NSGA-II,207,0.462111,0.048631,0.175067,0.026846,44,0,7817,2.184000,0.057856904
1,Balanced,NSGA-II,208,0.483027,0.058813,0.147716,0.011552,44,0,7655,2.220000,0.056952094
1,Balanced,NSGA-II,209,0.359027,0.071763,0.322293,0.008989,49,0,7653,2.162000,0.060798570
1,Balanced,NSGA-II,MEAN,0.460907,0.054003,0.193364,0.018595,,1,7870,2.010000,0.056648641
1,Balanced,SPEA-II,200,0.481158,0.060905,0.162064,0.037623,52,0,8930,2.080000,0.057415353
1,Balanced,SPEA-II,201,0.452721,0.052754,0.213540,0.010394,35,0,8737,2.094000,0.058363759
1,Balanced,SPEA-II,202,0.456288,0.027671,0.291724,0.020995,19,0,8883,2.152000,0.058506069
1,Balanced,SPEA-II,203,0.426492,0.082659,0.205367,0.016763,45,1,8930,2.064000,0.058230223
1,Balanced,SPEA-II,204,0.378076,0.058998,0.309258,0.009098,38,0,8741,2.080000,0.060470017
1,Balanced,SPEA-II,205,0.438350,0.050720,0.267113,0.009089,37,0,8754,2.122000,0.058624514
1,Balanced,SPEA-II,206,0.436094,0.058523,0.206743,0.016419,32,0,8752,2.148000,0.058874294
1,Balanced,SPEA-II,207,0.457816,0.063174,0.176839,0.030809,34,0,8830,2.144000,0.057768468
1,Balanced,SPEA-II,208,0.490757,0.048458,0.138324,0.030154,38,0,8605,2.136000,0.056763308
1,Balanced,SPEA-II,209,0.431664,0.034423,0.252625,0.028729,24,1,8436,2.088000,0.059246420
1,Balanced,SPEA-II,MEAN,0.444942,0.053829,0.222360,0.021007,,2,8759,2.064000,0.056763308
1,Balanced,AMOSA,200,0.304101,0.182206,0.331571,0.010366,29,0,7906,2.168000,0.061332227
1,Balanced,AMOSA,201,0.290216,0.203051,0.334687,0.008969,39,0,7749,2.186000,0.061354162
1,Balanced,AMOSA,202,0.316004,0.157394,0.323344,0.011654,35,0,7921,2.106000,0.061223115
1,Balanced,AMOSA,203,0.297576,0.208362,0.329715,0.007364,44,0,8140,2.188000,0.061291724
1,Balanced,AMOSA,204,0.292045,0.177987,0.334551,0.007075,39,0,7873,2.172000,0.061367430
1,Balanced,AMOSA,205,0.293782,0.179431,0.333243,0.007811,35,0,7894,2.116000,0.061272535
1,Balanced,AMOSA,206,0.286774,0.194976,0.331722,0.007445,38,0,7907,2.164000,0.061243753
1,Balanced,AMOSA,207,0.299170,0.177278,0.332124,0.009049,34,0,7803,2.166000,0.061343644
1,Balanced,AMOSA,208,0.302140,0.206160,0.328156,0.007395,47,0,7983,2.196000,0.061224711
1,Balanced,AMOSA,209,0.302521,0.182565,0.328830,0.007685,47,0,8018,2.164000,0.061231196
1,Balanced,AMOSA,MEAN,0.298433,0.186941,0.330794,0.008481,,0,7919,2.106000,0.061223115
1,Balanced,GA_WaitingTime_Dominance_PC90,200,0.095270,0.032805,0.676461,0.003517,10,0,13905,1.794000,0.067842544
1,Balanced,GA_WaitingTime_Dominance_PC90,201,0.108938,0.042681,0.660786,0.006473,15,0,13642,1.736000,0.067562848
1,Balanced,GA_WaitingTime_Dominance_PC90,202,0.109174,0.054030,0.664611,0.008147,15,0,13740,1.790000,0.067749420
1,Balanced,GA_WaitingTime_Dominance_PC90,203,0.178565,0.043817,0.590988,0.018829,13,0,13681,1.724000,0.066981105
1,Balanced,GA_WaitingTime_Dominance_PC90,204,0.167514,0.062710,0.635572,0.006550,13,0,13595,1.748000,0.068071830
1,Balanced,GA_WaitingTime_Dominance_PC90,205,0.106211,0.056934,0.608425,0.041968,14,0,13568,1.820000,0.067486505
1,Balanced,GA_WaitingTime_Dominance_PC90,206,0.142875,0.059527,0.594190,0.037148,11,0,13514,1.728000,0.067528180
1,Balanced,GA_WaitingTime_Dominance_PC90,207,0.088561,0.045561,0.688275,0.009732,8,0,13580,1.782000,0.067978187
1,Balanced,GA_WaitingTime_Dominance_PC90,208,0.098395,0.034154,0.672242,0.005743,9,0,13498,1.788000,0.067756259
1,Balanced,GA_WaitingTime_Dominance_PC90,209,0.134866,0.053942,0.587197,0.023852,16,0,13676,1.742000,0.067418451
1,Balanced,GA_WaitingTime_Dominance_PC90,MEAN,0.123037,0.048616,0.637875,0.016196,,0,13639,1.724000,0.066981105
1,Balanced,GA_Energy_Dominance_PC90,200,0.410847,0.088890,0.164750,0.042905,29,0,13098,4.250000,0.056141525
1,Balanced,GA_Energy_Dominance_PC90,201,0.596563,0.283951,0.178098,0.020098,41,0,13399,4.470000,0.050838701
1,Balanced,GA_Energy_Dominance_PC90,202,0.581002,0.307364,0.231084,0.018961,47,0,13333,4.170000,0.050516968
1,Balanced,GA_Energy_Dominance_PC90,203,0.606658,0.239635,0.175036,0.026603,37,0,13266,4.218000,0.051352725
1,Balanced,GA_Energy_Dominance_PC90,204,0.609525,0.316811,0.236123,0.027389,52,0,13236,4.036000,0.050229246
1,Balanced,GA_Energy_Dominance_PC90,205,0.608756,0.222792,0.170337,0.019113,53,0,13134,4.146000,0.051093412
1,Balanced,GA_Energy_Dominance_PC90,206,0.533173,0.231763,0.152303,0.032197,36,0,13129,4.052000,0.052164751
1,Balanced,GA_Energy_Dominance_PC90,207,0.504889,0.119004,0.115799,0.039881,32,0,13645,4.322000,0.052178402
1,Balanced,GA_Energy_Dominance_PC90,208,0.576161,0.236385,0.172794,0.020305,39,0,13611,4.244000,0.051903647
1,Balanced,GA_Energy_Dominance_PC90,209,0.606919,0.249838,0.148219,0.020797,35,0,13435,4.004000,0.051540463
1,Balanced,GA_Energy_Dominance_PC90,MEAN,0.563449,0.229643,0.174454,0.026825,,0,13328,4.004000,0.050229246
1,Balanced,SA_WaitingTime_Dominance_PC90,200,0.086100,0.025466,0.688166,0.000559,4,0,10997,2.196000,0.067993438
1,Balanced,SA_WaitingTime_Dominance_PC90,201,0.086112,0.021583,0.689353,0.000000,1,0,10944,2.196000,0.067993438
1,Balanced,SA_WaitingTime_Dominance_PC90,202,0.086845,0.024443,0.687367,0.003547,3,0,11106,2.204000,0.067973738
1,Balanced,SA_WaitingTime_Dominance_PC90,203,0.083245,0.025861,0.690667,0.000421,5,0,11068,2.204000,0.068060299
1,Balanced,SA_WaitingTime_Dominance_PC90,204,0.084115,0.025789,0.689387,0.000667,4,0,11085,2.206000,0.068038878
1,Balanced,SA_WaitingTime_Dominance_PC90,205,0.089771,0.018073,0.686159,0.000000,1,0,11166,2.194000,0.067906235
