Scenario,ScenarioName,Algorithm,CapWatts,NumSeeds,MeanFeasibilityRate,StdFeasibilityRate,MinFeasibilityRate,MaxFeasibilityRate,TotalSolutionsAcrossSeeds,TotalFeasibleAcrossSeeds
1,Balanced,GA_WaitingTime_Dominance,16592.3,10,0.2539,0.1136,0.1250,0.4545,140,35
1,Balanced,GA_WaitingTime_Dominance,15807.7,10,0.0221,0.0364,0.0000,0.0909,140,3
1,Balanced,GA_WaitingTime_Dominance,14092.8,10,0.0000,0.0000,0.0000,0.0000,140,0
1,Balanced,GA_WaitingTime_Dominance,11702.2,10,0.0000,0.0000,0.0000,0.0000,140,0
1,Balanced,GA_Energy_Dominance,16592.3,10,0.9552,0.0342,0.9118,1.0000,413,394
1,Balanced,GA_Energy_Dominance,15807.7,10,0.8238,0.0697,0.7027,0.8966,413,338
1,Balanced,GA_Energy_Dominance,14092.8,10,0.5345,0.1157,0.3673,0.7586,413,213
1,Balanced,GA_Energy_Dominance,11702.2,10,0.0356,0.0403,0.0000,0.1081,413,14
1,Balanced,SA_WaitingTime_Dominance,16592.3,10,0.2862,0.1240,0.1111,0.4545,104,30
1,Balanced,SA_WaitingTime_Dominance,15807.7,10,0.0904,0.0982,0.0000,0.2727,104,9
1,Balanced,SA_WaitingTime_Dominance,14092.8,10,0.0000,0.0000,0.0000,0.0000,104,0
1,Balanced,SA_WaitingTime_Dominance,11702.2,10,0.0000,0.0000,0.0000,0.0000,104,0
1,Balanced,SA_Energy_Dominance,16592.3,10,0.8428,0.0933,0.6866,0.9667,1118,956
1,Balanced,SA_Energy_Dominance,15807.7,10,0.7261,0.1204,0.4891,0.8889,1118,838
1,Balanced,SA_Energy_Dominance,14092.8,10,0.5813,0.2387,0.1667,0.8363,1118,710
1,Balanced,SA_Energy_Dominance,11702.2,10,0.4414,0.2127,0.1667,0.7143,1118,549
1,Balanced,NSGA-II,16592.3,10,0.8395,0.1076,0.6122,0.9545,416,347
1,Balanced,NSGA-II,15807.7,10,0.4913,0.1502,0.1837,0.7045,416,205
1,Balanced,NSGA-II,14092.8,10,0.0253,0.0305,0.0000,0.0769,416,11
1,Balanced,NSGA-II,11702.2,10,0.0000,0.0000,0.0000,0.0000,416,0
1,Balanced,SPEA-II,16592.3,10,0.8085,0.0835,0.6216,0.9375,354,286
1,Balanced,SPEA-II,15807.7,10,0.4439,0.0972,0.3333,0.6250,354,158
1,Balanced,SPEA-II,14092.8,10,0.0019,0.0061,0.0000,0.0192,354,1
1,Balanced,SPEA-II,11702.2,10,0.0000,0.0000,0.0000,0.0000,354,0
1,Balanced,AMOSA,16592.3,10,0.6685,0.1215,0.4571,0.8235,387,261
1,Balanced,AMOSA,15807.7,10,0.3351,0.0791,0.1714,0.4318,387,131
1,Balanced,AMOSA,14092.8,10,0.0000,0.0000,0.0000,0.0000,387,0
1,Balanced,AMOSA,11702.2,10,0.0000,0.0000,0.0000,0.0000,387,0
1,Balanced,GA_WaitingTime_Dominance_PC90,16592.3,10,1.0000,0.0000,1.0000,1.0000,124,124
1,Balanced,GA_WaitingTime_Dominance_PC90,15807.7,10,0.0555,0.0413,0.0000,0.1111,124,7
1,Balanced,GA_WaitingTime_Dominance_PC90,14092.8,10,0.0000,0.0000,0.0000,0.0000,124,0
1,Balanced,GA_WaitingTime_Dominance_PC90,11702.2,10,0.0000,0.0000,0.0000,0.0000,124,0
1,Balanced,GA_Energy_Dominance_PC90,16592.3,10,1.0000,0.0000,1.0000,1.0000,401,401
1,Balanced,GA_Energy_Dominance_PC90,15807.7,10,0.8513,0.0558,0.7500,0.9063,401,340
1,Balanced,GA_Energy_Dominance_PC90,14092.8,10,0.5483,0.1112,0.3830,0.7586,401,213
1,Balanced,GA_Energy_Dominance_PC90,11702.2,10,0.0364,0.0407,0.0000,0.1081,401,14
