Scenario,ScenarioName,Algorithm,Seed,WaitingTime,Energy,PeakPowerWatts
1,Balanced,GA_WaitingTime_Dominance,200,2.136000,0.067887292,16820.535
1,Balanced,GA_WaitingTime_Dominance,200,1.902000,0.068411577,17126.018
1,Balanced,GA_WaitingTime_Dominance,200,1.830000,0.068809456,16144.230
1,Balanced,GA_WaitingTime_Dominance,200,2.320000,0.067842544,16441.818
1,Balanced,GA_WaitingTime_Dominance,200,1.748000,0.070125990,16883.016
1,Balanced,GA_WaitingTime_Dominance,200,1.984000,0.068257017,16322.804
1,Balanced,GA_WaitingTime_Dominance,200,1.880000,0.068643634,16243.450
1,Balanced,GA_WaitingTime_Dominance,200,1.760000,0.068918005,16702.013
1,Balanced,GA_WaitingTime_Dominance,200,1.812000,0.068814050,16757.360
1,Balanced,GA_WaitingTime_Dominance,200,2.064000,0.068226556,16428.951
1,Balanced,GA_WaitingTime_Dominance,200,1.810000,0.068845278,17216.072
1,Balanced,GA_WaitingTime_Dominance,201,2.394000,0.067562848,16286.026
1,Balanced,GA_WaitingTime_Dominance,201,2.138000,0.068103733,17474.064
1,Balanced,GA_WaitingTime_Dominance,201,2.078000,0.068290708,17425.374
1,Balanced,GA_WaitingTime_Dominance,201,2.232000,0.067787202,16835.423
1,Balanced,GA_WaitingTime_Dominance,201,2.216000,0.067889197,16702.038
1,Balanced,GA_WaitingTime_Dominance,201,2.162000,0.068051778,17127.768
1,Balanced,GA_WaitingTime_Dominance,201,2.240000,0.067681334,16804.117
1,Balanced,GA_WaitingTime_Dominance,201,2.024000,0.069106996,16900.277
1,Balanced,GA_WaitingTime_Dominance,201,2.036000,0.068782382,17390.573
1,Balanced,GA_WaitingTime_Dominance,201,1.794000,0.070031764,16747.997
1,Balanced,GA_WaitingTime_Dominance,201,1.822000,0.069372944,16613.931
1,Balanced,GA_WaitingTime_Dominance,201,1.994000,0.069141250,16896.010
1,Balanced,GA_WaitingTime_Dominance,201,1.868000,0.069249712,16804.639
1,Balanced,GA_WaitingTime_Dominance,201,1.814000,0.069971646,16391.577
1,Balanced,GA_WaitingTime_Dominance,201,1.736000,0.070155745,16385.962
1,Balanced,GA_WaitingTime_Dominance,202,2.368000,0.067749420,15965.679
1,Balanced,GA_WaitingTime_Dominance,202,2.338000,0.067938554,16962.526
1,Balanced,GA_WaitingTime_Dominance,202,2.330000,0.068084271,17711.241
1,Balanced,GA_WaitingTime_Dominance,202,1.826000,0.068090705,16761.236
1,Balanced,GA_WaitingTime_Dominance,202,1.768000,0.069810155,17784.987
1,Balanced,GA_WaitingTime_Dominance,202,1.776000,0.069271017,17192.010
1,Balanced,GA_WaitingTime_Dominance,202,1.692000,0.070140252,17028.101
1,Balanced,GA_WaitingTime_Dominance,202,1.754000,0.070064963,17739.842
1,Balanced,GA_WaitingTime_Dominance,203,2.112000,0.067329064,16048.676
1,Balanced,GA_WaitingTime_Dominance,203,4.652000,0.066823635,16962.428
1,Balanced,GA_WaitingTime_Dominance,203,2.108000,0.067794943,16511.645
1,Balanced,GA_WaitingTime_Dominance,203,2.912000,0.066981105,16321.979
1,Balanced,GA_WaitingTime_Dominance,203,2.328000,0.067215457,16121.355
1,Balanced,GA_WaitingTime_Dominance,203,2.072000,0.068205376,16767.618
1,Balanced,GA_WaitingTime_Dominance,203,2.992000,0.066928419,16699.925
1,Balanced,GA_WaitingTime_Dominance,203,1.978000,0.068560797,17391.419
1,Balanced,GA_WaitingTime_Dominance,203,1.898000,0.068832426,17236.690
1,Balanced,GA_WaitingTime_Dominance,203,2.008000,0.068435344,17125.874
1,Balanced,GA_WaitingTime_Dominance,203,2.068000,0.068389448,16940.272
1,Balanced,GA_WaitingTime_Dominance,203,1.964000,0.068612290,16999.935
1,Balanced,GA_WaitingTime_Dominance,203,1.858000,0.069114339,16215.112
1,Balanced,GA_WaitingTime_Dominance,203,1.914000,0.068792692,16823.714
1,Balanced,GA_WaitingTime_Dominance,203,1.790000,0.069388349,16347.164
1,Balanced,GA_WaitingTime_Dominance,203,1.772000,0.069688758,17642.819
1,Balanced,GA_WaitingTime_Dominance,203,1.702000,0.071596788,17499.468
1,Balanced,GA_WaitingTime_Dominance,203,1.744000,0.069753233,17332.180
1,Balanced,GA_WaitingTime_Dominance,203,1.722000,0.070150224,17462.591
1,Balanced,GA_WaitingTime_Dominance,203,1.710000,0.071534604,18046.147
1,Balanced,GA_WaitingTime_Dominance,204,2.220000,0.068098702,15807.680
1,Balanced,GA_WaitingTime_Dominance,204,2.398000,0.068071830,16120.156
1,Balanced,GA_WaitingTime_Dominance,204,2.160000,0.068637227,16951.194
1,Balanced,GA_WaitingTime_Dominance,204,2.116000,0.068708829,16158.914
1,Balanced,GA_WaitingTime_Dominance,204,1.788000,0.070012707,17333.657
1,Balanced,GA_WaitingTime_Dominance,204,1.716000,0.071119495,16965.393
1,Balanced,GA_WaitingTime_Dominance,204,1.738000,0.070051744,16979.192
1,Balanced,GA_WaitingTime_Dominance,204,1.960000,0.068834287,16353.077
1,Balanced,GA_WaitingTime_Dominance,204,1.724000,0.070814538,17930.612
1,Balanced,GA_WaitingTime_Dominance,204,1.736000,0.070260829,16938.743
1,Balanced,GA_WaitingTime_Dominance,204,1.790000,0.069055503,17034.429
1,Balanced,GA_WaitingTime_Dominance,205,2.220000,0.068098702,15807.680
1,Balanced,GA_WaitingTime_Dominance,205,3.748000,0.067486505,15997.115
1,Balanced,GA_WaitingTime_Dominance,205,2.332000,0.067875038,16862.677
1,Balanced,GA_WaitingTime_Dominance,205,2.244000,0.067990650,15998.307
1,Balanced,GA_WaitingTime_Dominance,205,3.050000,0.067534209,17002.295
1,Balanced,GA_WaitingTime_Dominance,205,1.810000,0.069078668,16972.480
1,Balanced,GA_WaitingTime_Dominance,205,1.760000,0.069565573,17278.382
1,Balanced,GA_WaitingTime_Dominance,205,1.764000,0.069090939,17260.085
1,Balanced,GA_WaitingTime_Dominance,205,1.948000,0.068183370,16726.695
1,Balanced,GA_WaitingTime_Dominance,205,1.864000,0.068666112,16748.042
1,Balanced,GA_WaitingTime_Dominance,205,1.758000,0.069918627,17364.107
1,Balanced,GA_WaitingTime_Dominance,205,1.740000,0.070341726,17165.426
1,Balanced,GA_WaitingTime_Dominance,205,1.940000,0.068313966,16969.536
1,Balanced,GA_WaitingTime_Dominance,205,1.746000,0.070270250,17405.109
1,Balanced,GA_WaitingTime_Dominance,206,2.084000,0.067729307,17379.620
1,Balanced,GA_WaitingTime_Dominance,206,2.204000,0.067467539,17026.634
1,Balanced,GA_WaitingTime_Dominance,206,2.154000,0.067716500,17264.781
1,Balanced,GA_WaitingTime_Dominance,206,1.980000,0.068892319,16896.533
