Algorithm,Seed,WaitingTime,Energy,PeakPowerWatts,IsUniversalPareto
GA_WaitingTime_Dominance,200,5.338000,0.085856375,16086.209,false
GA_WaitingTime_Dominance,200,5.712000,0.085644926,16652.319,false
GA_WaitingTime_Dominance,200,5.314000,0.086813750,16396.129,false
GA_WaitingTime_Dominance,200,5.190000,0.087549258,16345.377,false
GA_WaitingTime_Dominance,200,5.220000,0.087314486,16583.559,false
GA_WaitingTime_Dominance,200,5.254000,0.087055507,16408.984,false
GA_WaitingTime_Dominance,200,5.034000,0.087976812,16294.315,false
GA_WaitingTime_Dominance,200,5.054000,0.087657871,16110.456,false
GA_WaitingTime_Dominance,200,4.712000,0.088733548,16376.914,false
GA_WaitingTime_Dominance,200,4.772000,0.088223705,16197.684,false
GA_WaitingTime_Dominance,200,4.722000,0.088555258,15341.994,false
GA_WaitingTime_Dominance,200,4.742000,0.088496782,16635.634,false
GA_WaitingTime_Dominance,200,4.408000,0.089478424,15773.417,false
GA_WaitingTime_Dominance,200,4.584000,0.088845337,16169.070,false
GA_WaitingTime_Dominance,201,5.338000,0.085856375,16086.209,false
GA_WaitingTime_Dominance,201,5.240000,0.085903552,16279.089,false
GA_WaitingTime_Dominance,201,5.116000,0.087223499,16431.862,false
GA_WaitingTime_Dominance,201,5.048000,0.087489696,16603.590,false
GA_WaitingTime_Dominance,201,5.062000,0.087468352,16173.278,false
GA_WaitingTime_Dominance,201,4.788000,0.087649965,15995.891,false
GA_WaitingTime_Dominance,201,5.144000,0.086966339,16613.260,false
GA_WaitingTime_Dominance,201,5.084000,0.087433652,16351.489,false
GA_WaitingTime_Dominance,201,4.760000,0.088288126,16853.391,false
GA_WaitingTime_Dominance,201,4.926000,0.087504632,16708.129,false
GA_WaitingTime_Dominance,201,4.580000,0.088467777,16849.270,false
GA_WaitingTime_Dominance,201,4.780000,0.088228021,17334.982,false
GA_WaitingTime_Dominance,201,4.738000,0.088349934,16911.225,false
GA_WaitingTime_Dominance,201,4.536000,0.091730299,16967.671,false
GA_WaitingTime_Dominance,202,5.338000,0.085856375,16086.209,false
