Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
GA_WaitingTime_Dominance,200,0.232237,0.007271,0.469635,0.006325,14,14,0,5206
GA_WaitingTime_Dominance,201,0.224382,0.008725,0.477482,0.033211,14,14,0,5220
GA_WaitingTime_Dominance,202,0.234446,0.011225,0.465791,0.009946,16,16,0,5166
GA_WaitingTime_Dominance,203,0.229114,0.009344,0.469793,0.008995,22,22,0,5182
GA_WaitingTime_Dominance,204,0.232544,0.011426,0.471869,0.005591,21,21,1,5222
GA_WaitingTime_Dominance,205,0.235956,0.010547,0.469486,0.003567,15,15,7,5147
GA_WaitingTime_Dominance,206,0.246887,0.008022,0.455224,0.012006,18,18,0,5203
GA_WaitingTime_Dominance,207,0.227820,0.008413,0.472385,0.007095,18,18,1,5078
GA_WaitingTime_Dominance,208,0.231361,0.005953,0.470616,0.004390,16,16,3,5181
GA_WaitingTime_Dominance,209,0.228181,0.006969,0.473650,0.002520,28,28,0,5353
GA_WaitingTime_Dominance,MEAN,0.232293,0.008790,0.469593,0.009365,18,18,12,5195
GA_WaitingTime_Dominance,STDDEV,0.005844,0.001752,0.005601,0.008426,,,,
GA_Energy_Dominance,200,0.697777,0.134903,0.157121,0.014607,46,46,0,5946
GA_Energy_Dominance,201,0.688977,0.152757,0.185315,0.017695,66,66,0,6072
GA_Energy_Dominance,202,0.653557,0.137916,0.214963,0.016597,57,57,0,6057
GA_Energy_Dominance,203,0.687694,0.121538,0.187560,0.015414,58,58,12,6197
GA_Energy_Dominance,204,0.710902,0.174888,0.159547,0.025950,56,56,0,6086
GA_Energy_Dominance,205,0.647342,0.036426,0.115107,0.013869,62,62,0,5779
GA_Energy_Dominance,206,0.634310,0.125437,0.228914,0.022891,52,52,1,6187
GA_Energy_Dominance,207,0.654625,0.041309,0.140342,0.003299,51,51,0,5608
GA_Energy_Dominance,208,0.668964,0.129605,0.181570,0.019951,61,61,0,5893
GA_Energy_Dominance,209,0.683959,0.135558,0.208435,0.031374,50,50,0,5934
GA_Energy_Dominance,MEAN,0.672811,0.119034,0.177887,0.018165,56,56,13,5975
GA_Energy_Dominance,STDDEV,0.023513,0.042618,0.033455,0.007232,,,,
SA_WaitingTime_Dominance,200,0.260986,0.020063,0.456783,0.006959,15,15,0,2984
SA_WaitingTime_Dominance,201,0.234737,0.001865,0.468973,0.009360,9,9,6,2914
SA_WaitingTime_Dominance,202,0.285004,0.030282,0.444561,0.002829,28,28,0,2986
SA_WaitingTime_Dominance,203,0.230478,0.008639,0.472314,0.001403,21,21,6,2947
SA_WaitingTime_Dominance,204,0.290741,0.050741,0.442054,0.003991,21,21,0,2993
SA_WaitingTime_Dominance,205,0.239327,0.009669,0.469359,0.002042,19,19,0,2987
SA_WaitingTime_Dominance,206,0.262949,0.030232,0.457855,0.003294,13,13,0,3014
SA_WaitingTime_Dominance,207,0.271619,0.024933,0.451130,0.006293,19,19,0,3032
SA_WaitingTime_Dominance,208,0.269723,0.030135,0.453636,0.002103,18,18,0,2988
SA_WaitingTime_Dominance,209,0.263744,0.017578,0.456505,0.003708,15,15,0,3033
SA_WaitingTime_Dominance,MEAN,0.260931,0.022414,0.457317,0.004198,18,18,12,2987
SA_WaitingTime_Dominance,STDDEV,0.019370,0.013397,0.009770,0.002418,,,,
SA_Energy_Dominance,200,0.809351,0.029987,0.152949,0.003840,56,56,12,4182
SA_Energy_Dominance,201,0.733781,0.014669,0.082717,0.002662,172,175,58,4585
SA_Energy_Dominance,202,0.780704,0.027030,0.078238,0.003624,162,167,2,4648
SA_Energy_Dominance,203,0.716778,0.022726,0.090019,0.002298,136,138,0,4343
SA_Energy_Dominance,204,0.813771,0.035101,0.102248,0.016643,48,48,11,3787
SA_Energy_Dominance,205,0.722306,0.022225,0.082431,0.002031,141,143,69,4558
SA_Energy_Dominance,206,0.742329,0.052434,0.095285,0.010430,42,42,0,3801
SA_Energy_Dominance,207,0.794412,0.044099,0.135911,0.004349,57,58,0,3890
SA_Energy_Dominance,208,0.686538,0.046839,0.106066,0.005203,80,81,0,4504
SA_Energy_Dominance,209,0.798983,0.045824,0.153104,0.003479,34,34,7,3833
SA_Energy_Dominance,MEAN,0.759895,0.034093,0.107897,0.005456,93,94,159,4213
SA_Energy_Dominance,STDDEV,0.042596,0.012049,0.027449,0.004365,,,,
NSGA-II,200,0.577312,0.017038,0.170003,0.013881,41,41,0,8240
NSGA-II,201,0.563175,0.015826,0.186941,0.012137,41,41,0,8327
NSGA-II,202,0.603958,0.043572,0.160242,0.007124,47,47,0,8181
NSGA-II,203,0.493174,0.010489,0.247023,0.003399,48,48,1,8215
NSGA-II,204,0.541470,0.054551,0.208968,0.009269,42,42,0,8238
NSGA-II,205,0.561713,0.020853,0.184517,0.007355,46,46,0,8207
NSGA-II,206,0.504724,0.015396,0.236724,0.003029,48,48,0,8265
NSGA-II,207,0.474653,0.012124,0.255416,0.018625,34,34,0,8425
NSGA-II,208,0.507519,0.033579,0.230719,0.005686,45,45,0,8289
NSGA-II,209,0.455629,0.012756,0.279100,0.007039,38,38,0,8184
NSGA-II,MEAN,0.528333,0.023618,0.215965,0.008754,43,43,1,8257
NSGA-II,STDDEV,0.045840,0.014339,0.037754,0.004624,,,,
SPEA-II,200,0.450243,0.019038,0.277439,0.005791,34,34,0,9110
SPEA-II,201,0.468473,0.014979,0.267503,0.004609,46,46,2,9058
SPEA-II,202,0.548562,0.016519,0.195643,0.006802,40,40,0,9190
SPEA-II,203,0.527726,0.015052,0.210314,0.005153,52,52,2,9286
SPEA-II,204,0.472964,0.022665,0.256444,0.005370,41,41,0,9312
SPEA-II,205,0.438260,0.017355,0.291542,0.002935,37,37,0,9440
