Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
GA_WaitingTime_Dominance,200,0.232237,0.005631,0.459360,0.006325,14,14,0,5235
GA_WaitingTime_Dominance,201,0.224382,0.006513,0.467066,0.033211,14,14,1,5316
GA_WaitingTime_Dominance,202,0.234446,0.009426,0.455630,0.009946,16,16,0,5205
GA_WaitingTime_Dominance,203,0.229114,0.007521,0.459475,0.008995,22,22,0,5132
GA_WaitingTime_Dominance,204,0.232544,0.008776,0.461518,0.005591,21,21,1,5220
GA_WaitingTime_Dominance,205,0.235956,0.002061,0.459105,0.003567,15,15,9,5139
GA_WaitingTime_Dominance,206,0.246887,0.005659,0.445286,0.012006,18,18,0,5330
GA_WaitingTime_Dominance,207,0.227820,0.006276,0.462048,0.007095,18,18,1,5193
GA_WaitingTime_Dominance,208,0.231361,0.003412,0.460301,0.004390,16,16,3,5292
GA_WaitingTime_Dominance,209,0.228181,0.005702,0.463265,0.002520,28,28,0,5295
GA_WaitingTime_Dominance,MEAN,0.232293,0.006098,0.459305,0.009365,18,18,15,5235
GA_WaitingTime_Dominance,STDDEV,0.005844,0.002111,0.005472,0.008426,,,,
GA_Energy_Dominance,200,0.697777,0.133162,0.153885,0.014607,46,46,0,5914
GA_Energy_Dominance,201,0.688977,0.151929,0.180678,0.017695,66,66,0,6210
GA_Energy_Dominance,202,0.653557,0.137195,0.209839,0.016597,57,57,0,6175
GA_Energy_Dominance,203,0.687694,0.119783,0.184146,0.015414,58,58,12,6261
GA_Energy_Dominance,204,0.710902,0.173400,0.156041,0.025950,56,56,0,5980
GA_Energy_Dominance,205,0.647342,0.033656,0.112486,0.013869,62,62,0,5584
GA_Energy_Dominance,206,0.634310,0.124152,0.223316,0.022891,52,52,1,6162
GA_Energy_Dominance,207,0.654625,0.037744,0.139403,0.003299,51,51,0,5763
GA_Energy_Dominance,208,0.668964,0.127990,0.177081,0.019951,61,61,0,6202
GA_Energy_Dominance,209,0.683959,0.134319,0.203565,0.031374,50,50,0,6179
GA_Energy_Dominance,MEAN,0.672811,0.117333,0.174044,0.018165,56,56,13,6043
GA_Energy_Dominance,STDDEV,0.023513,0.043332,0.032335,0.007232,,,,
