Algorithm,WaitingTime,Energy
GA_WaitingTime_Dominance,0.986000,0.050462305
GA_WaitingTime_Dominance,1.014000,0.049936343
GA_WaitingTime_Dominance,1.054000,0.049836940
GA_WaitingTime_Dominance,1.072000,0.049677292
GA_WaitingTime_Dominance,1.140000,0.049626646
GA_WaitingTime_Dominance,1.206000,0.049552024
GA_WaitingTime_Dominance,1.236000,0.049260341
GA_WaitingTime_Dominance,2.002000,0.049241957
GA_WaitingTime_Dominance,2.150000,0.049230404
GA_WaitingTime_Dominance,2.316000,0.048728029
GA_Energy_Dominance,1.646000,0.051998196
GA_Energy_Dominance,1.734000,0.050948990
GA_Energy_Dominance,1.828000,0.050800245
GA_Energy_Dominance,1.868000,0.050046103
GA_Energy_Dominance,1.954000,0.048507166
GA_Energy_Dominance,2.014000,0.048101814
GA_Energy_Dominance,2.070000,0.046896374
GA_Energy_Dominance,2.248000,0.046818661
GA_Energy_Dominance,2.410000,0.046804346
GA_Energy_Dominance,2.514000,0.046750342
GA_Energy_Dominance,2.602000,0.046505493
GA_Energy_Dominance,2.676000,0.046069135
GA_Energy_Dominance,2.682000,0.045663909
GA_Energy_Dominance,2.778000,0.045020045
GA_Energy_Dominance,2.822000,0.045009896
GA_Energy_Dominance,2.860000,0.043816924
GA_Energy_Dominance,2.946000,0.042387875
GA_Energy_Dominance,2.986000,0.041683669
GA_Energy_Dominance,3.120000,0.041604280
GA_Energy_Dominance,3.130000,0.040832161
GA_Energy_Dominance,3.158000,0.040633587
GA_Energy_Dominance,3.212000,0.040592048
GA_Energy_Dominance,3.298000,0.040385878
GA_Energy_Dominance,3.306000,0.040358774
GA_Energy_Dominance,3.326000,0.040203640
GA_Energy_Dominance,3.346000,0.040072986
GA_Energy_Dominance,3.368000,0.039889497
GA_Energy_Dominance,3.386000,0.038986260
GA_Energy_Dominance,3.390000,0.038547682
GA_Energy_Dominance,3.678000,0.037982897
GA_Energy_Dominance,3.938000,0.037743390
GA_Energy_Dominance,4.044000,0.037622523
GA_Energy_Dominance,4.068000,0.037534982
GA_Energy_Dominance,4.148000,0.037455344
GA_Energy_Dominance,4.170000,0.036486843
GA_Energy_Dominance,4.480000,0.036334067
GA_Energy_Dominance,4.492000,0.036303873
GA_Energy_Dominance,4.584000,0.036004018
GA_Energy_Dominance,4.808000,0.035857110
GA_Energy_Dominance,4.964000,0.035764240
GA_Energy_Dominance,5.050000,0.035725588
GA_Energy_Dominance,5.114000,0.035711621
GA_Energy_Dominance,5.142000,0.035572957
GA_Energy_Dominance,5.302000,0.035563083
GA_Energy_Dominance,5.318000,0.035469535
GA_Energy_Dominance,5.612000,0.035376987
GA_Energy_Dominance,5.776000,0.035350721
GA_Energy_Dominance,5.876000,0.035248264
GA_Energy_Dominance,6.216000,0.035181960
GA_Energy_Dominance,10.816000,0.034829757
GA_Energy_Dominance,11.222000,0.034824906
GA_Energy_Dominance,11.466000,0.034608826
GA_Energy_Dominance,11.958000,0.034565559
GA_Energy_Dominance,12.178000,0.034447732
GA_Energy_Dominance,12.530000,0.034420632
GA_Energy_Dominance,12.562000,0.034375351
GA_Energy_Dominance,12.666000,0.034333699
GA_Energy_Dominance,12.792000,0.034296026
GA_Energy_Dominance,12.884000,0.034124019
GA_Energy_Dominance,13.430000,0.034106364
GA_Energy_Dominance,13.742000,0.034096072
GA_Energy_Dominance,13.890000,0.034094163
GA_Energy_Dominance,13.976000,0.034063849
GA_Energy_Dominance,14.068000,0.034058895
GA_Energy_Dominance,14.136000,0.033999406
GA_Energy_Dominance,14.868000,0.033980191
GA_Energy_Dominance,14.994000,0.033971455
GA_Energy_Dominance,15.596000,0.033959754
GA_Energy_Dominance,15.662000,0.033935443
SA_WaitingTime_Dominance,0.878000,0.051860282
SA_WaitingTime_Dominance,0.880000,0.051436209
SA_WaitingTime_Dominance,0.882000,0.051063198
SA_WaitingTime_Dominance,0.892000,0.051060586
SA_WaitingTime_Dominance,0.894000,0.050703352
SA_WaitingTime_Dominance,0.896000,0.050600687
SA_WaitingTime_Dominance,0.898000,0.050130100
SA_WaitingTime_Dominance,0.948000,0.049732711
SA_WaitingTime_Dominance,0.950000,0.049697620
SA_WaitingTime_Dominance,0.952000,0.049671979
SA_WaitingTime_Dominance,0.954000,0.049482412
SA_WaitingTime_Dominance,1.086000,0.049445717
SA_WaitingTime_Dominance,1.088000,0.049126076
SA_Energy_Dominance,1.828000,0.049250265
SA_Energy_Dominance,1.838000,0.049235636
SA_Energy_Dominance,1.890000,0.048882499
SA_Energy_Dominance,1.950000,0.047270309
SA_Energy_Dominance,1.978000,0.046705734
SA_Energy_Dominance,2.014000,0.046675059
SA_Energy_Dominance,2.020000,0.046669502
SA_Energy_Dominance,2.074000,0.046654951
SA_Energy_Dominance,2.088000,0.046270018
SA_Energy_Dominance,2.090000,0.045585426
SA_Energy_Dominance,2.112000,0.045564373
SA_Energy_Dominance,2.116000,0.045563376
SA_Energy_Dominance,2.120000,0.045525970
