Algorithm,Config,AvgMakespan,AvgEnergy
GA_Makespan,GA_base,9.0667,0.032121174
GA_Makespan,GA_pop100,9.1667,0.031500077
GA_Makespan,GA_pop300,9.3333,0.032219556
GA_Makespan,GA_pop500,9.5333,0.033008695
GA_Makespan,GA_cx70,9.4667,0.031968615
GA_Makespan,GA_cx80,9.4000,0.031612517
GA_Makespan,GA_cx95,9.1333,0.031782722
GA_Makespan,GA_mut01,9.5000,0.029502807
GA_Makespan,GA_mut05,8.8333,0.029750913
GA_Makespan,GA_mut20,9.9333,0.034610420
GA_Makespan,GA_mut30,10.2333,0.035677287
GA_Makespan,GA_elite5,9.5333,0.032735816
GA_Makespan,GA_elite10,9.4000,0.032371129
GA_Makespan,GA_elite40,9.1333,0.031882495
GA_Makespan,GA_tourn2,9.4333,0.033201100
GA_Makespan,GA_tourn5,9.0000,0.031390271
GA_Makespan,GA_tourn7,8.8667,0.031068423
GA_Makespan,GA_explore,10.3333,0.035720648
GA_Makespan,GA_exploit,9.1000,0.028756455
GA_Energy,GA_base,10.4000,0.028027263
GA_Energy,GA_pop100,10.6333,0.027740908
GA_Energy,GA_pop300,10.5000,0.028150361
GA_Energy,GA_pop500,10.6000,0.028477252
GA_Energy,GA_cx70,10.7000,0.028161438
GA_Energy,GA_cx80,10.6000,0.028031373
GA_Energy,GA_cx95,10.3333,0.027994126
GA_Energy,GA_mut01,10.3333,0.026654483
GA_Energy,GA_mut05,10.2000,0.026627593
GA_Energy,GA_mut20,11.4000,0.029724049
GA_Energy,GA_mut30,12.1333,0.030896775
GA_Energy,GA_elite5,10.8000,0.028704682
GA_Energy,GA_elite10,10.7667,0.028295317
GA_Energy,GA_elite40,10.4000,0.027801716
GA_Energy,GA_tourn2,10.6000,0.028766952
GA_Energy,GA_tourn5,10.4000,0.027573645
GA_Energy,GA_tourn7,10.3667,0.027294565
GA_Energy,GA_explore,12.1333,0.031135158
GA_Energy,GA_exploit,10.5333,0.026219956
SA_Makespan,SA_base,10.1667,0.035656774
SA_Makespan,SA_temp100,10.2667,0.032683239
SA_Makespan,SA_temp500,10.2000,0.035306520
SA_Makespan,SA_temp5000,10.2000,0.036080158
SA_Makespan,SA_temp10000,10.2333,0.035922918
SA_Makespan,SA_cool85,10.2667,0.030667819
SA_Makespan,SA_cool90,10.2667,0.030112426
SA_Makespan,SA_cool97,10.2667,0.036535593
SA_Makespan,SA_cool99,12.6333,0.039216231
SA_Makespan,SA_ipt50,10.2333,0.029994888
SA_Makespan,SA_ipt200,10.3333,0.036830486
SA_Makespan,SA_ipt500,12.6000,0.039087260
SA_Makespan,SA_hot_slow,12.7000,0.039525383
SA_Makespan,SA_moderate,11.7000,0.039537039
SA_Makespan,SA_hot_fast_ipt,10.2667,0.036442699
SA_Energy,SA_base,12.2667,0.027288535
SA_Energy,SA_temp100,12.2333,0.027472263
SA_Energy,SA_temp500,12.6333,0.027005168
SA_Energy,SA_temp5000,12.5000,0.027349647
SA_Energy,SA_temp10000,12.1667,0.027768435
SA_Energy,SA_cool85,13.1000,0.027531820
SA_Energy,SA_cool90,12.8333,0.027534669
SA_Energy,SA_cool97,14.1333,0.036438002
SA_Energy,SA_cool99,14.1667,0.036427891
SA_Energy,SA_ipt50,12.6667,0.027606584
SA_Energy,SA_ipt200,13.8333,0.036604681
SA_Energy,SA_ipt500,14.1667,0.036427891
SA_Energy,SA_hot_slow,14.2333,0.036483462
SA_Energy,SA_moderate,14.1667,0.036421114
SA_Energy,SA_hot_fast_ipt,13.9333,0.036521126
